"My Requisition Lists","Οι Λίστες Απαιτήσεων μου"
"The SKU was not found in the catalog.","Το SKU δεν βρέθηκε στον κατάλογο."
"We can't update your requisition list right now.","Αυτή τη στιγμή δεν μπορούμε να ενημερώσουμε τη λίστα απαιτήσεών σας."
"We can't add the item to the Requisition List right now: %1.","Δεν μπορούμε να προσθέσουμε το στοιχείο στη Λίστα Απαιτήσεων αυτή τη στιγμή: %1."
"We can't specify a requisition list.","Δεν μπορούμε να καθορίσουμε μία λίστα απαιτήσεων."
"We couldn't find the requested requisition list.","We couldn't find the requested requisition list."
"%1 has been added to the ""<a href=""%2"">%3</a>"" requisition list.","%1 has been added to the ""<a href=""%2"">%3</a>"" requisition list."
"You must choose options for your item.","Πρέπει να επιλέξετε τις επιλογές για το στοιχείο σας."
"We can't specify a product.","Δεν μπορούμε να καθορίσουμε ένα προϊόν."
"We couldn't find the product you requested to add to your requisition list.","We couldn't find the product you requested to add to your requisition list."
"Invalid request, missing parameter list_id","Invalid request, missing parameter list_id"
"Product with requested SKU could not be found.","Product with requested SKU could not be found."
"You added %1 item(s) to your shopping cart.","Προσθέσατε %1 στοιχείο(α) στο καλάθι αγορών σας."
"Something went wrong.","Κάτι πήγε στραβά."
"We can't configure the product right now.","Δεν μπορούμε να διαμορφώσουμε το προϊόν αυτή τη στιγμή."
"%1 item(s) were copied to %2","%1 στοιχείο(α) αντιγράφηκαν στο %2"
"%1 item(s) were added to the ""%2""","%1 στοιχείο(α) προστέθηκαν στα %2"""
"%1 item(s) were moved to %2","%1 στοιχείο(α) μεταφέρθηκαν στα %2"
"Requisition Lists","Λίστες Απαιτήσεων"
"Requisition List","Λίστα Απαιτήσεων"
"Invalid item option format.","Μη έγκυρη επιλογή μορφής στοιχείου."
"An item option with code %1 already exists.","Υπάρχει ήδη μια επιλογή στοιχείου με κωδικό %1."
"Could not save Requisition List","Δεν ήταν δυνατή η αποθήκευση της Λίστας Απαιτήσεων"
"Cannot delete Requisition List with id %1","Δεν είναι δυνατό να διαγράψετε την Λίστα Απαιτήσεων με id %1"
"Cannot specify product.","Δεν μπορούμε να καθορίσουμε προϊόν."
"%1 has been updated in your requisition list.","%1 έχει ενημερωθεί στη λίστα απαιτήσεων σας."
"Product %1 has been added to the requisition list %2.","Το προϊόν %1 έχει προστεθεί στη λίστα απαιτήσεων %2."
"%1 has been added to the","%1 has been added to the"
"requisition list.","requisition list."
"Options were updated. Please review available configurations.","Οι επιλογές ενημερώθηκαν. Ανατρέξτε στις διαθέσιμες διαμορφώσεις."
"The SKU is out of stock.","Το SKU είναι εκτός αποθέματος."
"Could not save Requisition List. Maximum number of requisition lists was exceeded.","Δεν ήταν δυνατή η αποθήκευση της Λίστας Απαιτήσεων. Ξεπεράστηκε ο μέγιστος αριθμός λιστών απαιτήσεων."
"Exception","Εξαίρεση"
"exception","εξαίρεση"
"No such entity","Καμία τέτοια οντότητα"
"Could not save","Δεν ήταν δυνταή η αποθήκευση"
"Exception Message","Μήνυμα Εξαίρεσης"
"View","Προβολή"
"All the items in your Shopping Cart have been added to the %1"" requisition list.""","All the items in your Shopping Cart have been added to the %1"" requisition list."""
"All items in your Shopping Cart could not be added to the %1"" requisition list.""","All items in your Shopping Cart could not be added to the %1"" requisition list."""
"Add Shopping Cart to Requisition List","Add Shopping Cart to Requisition List"
"Add item to requisition list","Add item to requisition list"
"Add items to requisition list","Add items to requisition list"
"Add item","Add item"
"Add items","Add items"
"The quantity of the item will be updated","The quantity of the item will be updated"
"Quantities for identical items will be combined.","Quantities for identical items will be combined."
"Some items in your Shopping Cart are already in the %1 requisition list.","Some items in your Shopping Cart are already in the %1 requisition list."
"The item %1 is already in the %2 requisition list.","The item %1 is already in the %2 requisition list."
"Add to Requisition List","Προσθήκη στη Λίστα Απαιτήσεων"
"Update Requisition List","Ενημέρωση Λίστας Απαιτήσεων"
"Create Requisition List","Δημιουργία Λίστας Απαιτήσεων"
"Create New Requisition List","Δημιουργία Νέας Λίστας Απαιτήσεων"
"Print","Εκτύπωση"
"Rename","Μετονομασία"
"Rename Requisition List","Μετονομασία Λίστας Απαιτήσεων"
"items","στοιχεία"
"item","στοιχείο"
"in requisition list","σε λίστα απαιτήσεων"
"Contact Us","Επικοινωνείστε μαζί μας"
"Add to Cart","Προσθήκη στο Καλάθι"
"Update List","Ενημερώστε Λίστας"
"Delete Requisition List","Διαγραφή Λίστας Απαιτήσεων"
"Delete Requisition List?","Delete Requisition List?"
"Are you sure you want to delete ""%1"" list? This action cannot be undone.","Are you sure you want to delete ""%1"" list? This action cannot be undone."
"You have no items in this requisition list.","Δεν έχετε στοιχεία σε αυτή τη λίστα απαιτήσεων."
"Product Name","Όνομα Προϊόντος"
"Item","Είδος"
"Price","Τιμή"
"Qty","Ποσότητα"
"Subtotal","Υποσύνολο"
"Product","Προϊόν"
"SKU","Κωδικός"
"Excl. Tax","Χωρίς ΦΠΑ"
"Edit item","Επεξεργασία στοιχείου"
"Remove item","Αφαίρεση είδους"
"Select all","Επιλογή όλων"
"With Selected","Με τα Επιλεγμένα"
"Copy Selected","Αντιγραφή Επιλεγμένων"
"Copy","Αντιγραφή"
"Move Selected","Μετακίνηση Επιλεγμένων"
"Move","Μετακίνηση"
"Remove Selected","Αφαίρεση Επιλεγμένων"
"Remove","Διαγραφή"
"Delete","Διαγραφή"
"product(s) require your attention","προϊόν(τα) απαιτούν την προσοχή σας"
"Requisition List Name","Όνομα Λίστας Απαιτήσεων"
"Description","Περιγραφή"
"The shopping cart isn't empty","Το καλάθι αγορών δεν είναι άδειο"
"You have items in your shopping cart. Would you like to merge items in this order with items of this shopping cart or replace them?","Έχετε αντικείμενα στο καλάθι αγορών σας. Θέλετε να συγχωνεύσετε τα αντικείμενα σε αυτή τη παραγγελία με τα αντικείμενα αυτού του καλαθιού αγορών ή να τα αντικαταστήσετε;"
"Select Cancel to stay on the current page.","Επιλέξτε Ακύρωση για να παραμείνετε στην τρέχουσα σελίδα."
"Merge","Συγχώνευση"
"Replace","Αντικατάσταση"
"Cancel","Άκυρο"
"Ok","Οκ"
"Cannot Perform the Requested Action","Δεν είναι Δυνατή η Εκτέλεση της Ζητούμενης Ενέργειας"
"This action cannot be performed because the selected product(s) require attention. You must resolve these issues before you can continue.","Αυτή η ενέργεια δεν μπορεί να εκτελεστεί επειδή το επιλεγμένο προϊόν ή τα επιλεγμένα προϊόντα απαιτούν προσοχή. Πρέπει να επιλύσετε αυτά τα ζητήματα προτού συνεχίσετε."
"Please Select Product","Παρακαλώ Επιλέξτε Προϊόν"
"Please select at least one product to proceed.","Επιλέξτε τουλάχιστον ένα προϊόν για να προχωρήσετε."
"Save","Αποθήκευση"
"B2B Requisition List","Λίστα Απαιτήσεων B2B"
"Enable Requisition List","Ενεργοποίηση Λίστας Απαιτήσεων"
"General","Γενικά"
"Number of Requisition Lists","Αριθμός Λιστών Απαιτήσεων"
"The number of requisition lists should be equal or more than 2.","Ο αριθμός των λιστών απαιτήσεων πρέπει να είναι ίσος ή μεγαλύτερος των 2."
"Name & Description","Όνομα & Περιγραφή"
"Items","Είδη"
"Latest Activity","Τελευταία Δραστηριότητα"
"The requisition list does not exist.","The requisition list does not exist."
"Invalid request, please try again.","Invalid request, please try again."
"The item ""%1"" is already in the ""%2"" requisition list.","The item ""%1"" is already in the ""%2"" requisition list."
"The product","The product",""
"Requisition list ""%1"" could not be saved.","Requisition list ""%1"" could not be saved."
"%1 could not be added to the ""%2"" requisition list.","%1 could not be added to the ""%2"" requisition list."
"The requisition list could not be saved.","The requisition list could not be saved."
"%1 could not be added to the requisition list.","%1 could not be added to the requisition list."
