"My Requisition Lists","Mi Lista de Reposición"
"The SKU was not found in the catalog.","El SKU no fue encontrado en el catálogo."
"We can't update your requisition list right now.","No podemos actualizar tu lista de requisitos en este momento."
"We can't add the item to the Requisition List right now: %1.","No podemos agregar el item a la Lista de Requisitos en estos momentos: %1."
"We can't specify a requisition list.","No podemos especificar una lista de requisitos."
"We couldn't find the requested requisition list.","We couldn't find the requested requisition list."
"%1 has been added to the ""<a href=""%2"">%3</a>"" requisition list.","%1 has been added to the ""<a href=""%2"">%3</a>"" requisition list."
"You must choose options for your item.","Tiene que elegir opciones para su producto."
"We can't specify a product.","No podemos especificar un producto."
"We couldn't find the product you requested to add to your requisition list.","We couldn't find the product you requested to add to your requisition list."
"Invalid request, missing parameter list_id","Invalid request, missing parameter list_id"
"Product with requested SKU could not be found.","Product with requested SKU could not be found."
"You added %1 item(s) to your shopping cart.","Añadiste %1 artículo(s) a su carrito de compras."
"Something went wrong.","Algo salió mal."
"We can't configure the product right now.","No se puede configurar el artículo ahora mismo."
"%1 item(s) were copied to %2","%1 artículo(s) fueron copiados a %2"
"%1 item(s) were added to the ""%2""","%1 artículo(s) fueron agregados al ""%2"""
"%1 item(s) were moved to %2","%1 artículo(s) fueron trasladados a %2"
"Requisition Lists","Lista de Requisitos"
"Requisition List","Lista de Requisitos"
"Invalid item option format.","Formato de opción de artículo no válido."
"An item option with code %1 already exists.","Ya existe una opción de artículo con el código %1."
"Could not save Requisition List","No se pudo guardar la Lista de Requisitos"
"Cannot delete Requisition List with id %1","No se puede eliminar la Lista de Requisitos con id %1"
"Cannot specify product.","No se pudo especificar artículo."
"%1 has been updated in your requisition list.","%1 se ha actualizado en su Lista de Requisitos."
"Product %1 has been added to the requisition list %2.","El producto %1 se ha agregado a la Lista de Requisitos %2."
"%1 has been added to the","%1 has been added to the"
"requisition list.","requisition list."
"Options were updated. Please review available configurations.","Las opciones fueron actualizadas. Por favor revise las configuraciones disponibles."
"The SKU is out of stock.","El SKU está fuera de stock."
"Could not save Requisition List. Maximum number of requisition lists was exceeded.","No se pueden guardar la Lista de Requisitos. Se superó el número máximo de listas."
"Exception","Excepción"
"exception","excepción"
"No such entity","No existe la entidad"
"Could not save","No se pueden guardar"
"Exception Message","Mensaje de excepción"
"View","Ver"
"All the items in your Shopping Cart have been added to the %1"" requisition list.""","All the items in your Shopping Cart have been added to the %1"" requisition list."""
"All items in your Shopping Cart could not be added to the %1"" requisition list.""","All items in your Shopping Cart could not be added to the %1"" requisition list."""
"Add Shopping Cart to Requisition List","Add Shopping Cart to Requisition List"
"Add item to requisition list","Add item to requisition list"
"Add items to requisition list","Add items to requisition list"
"Add item","Add item"
"Add items","Add items"
"The quantity of the item will be updated","The quantity of the item will be updated"
"Quantities for identical items will be combined.","Quantities for identical items will be combined."
"Some items in your Shopping Cart are already in the %1 requisition list.","Some items in your Shopping Cart are already in the %1 requisition list."
"The item %1 is already in the %2 requisition list.","The item %1 is already in the %2 requisition list."
"Add to Requisition List","Añadir a la lista de Reposición"
"Update Requisition List","Actualizar Lista de Reposición"
"Create Requisition List","Crear Lista de Reposición"
"Create New Requisition List","Crear nueva lista de reposición"
"Print","Imprimir"
"Rename","Renombrar"
"Rename Requisition List","Renombrar Lista de Reposición"
"items","artículos"
"item","artículo"
"in requisition list","en la lista de reposición"
"Contact Us","Contáctenos"
"Add to Cart","Añadir al carrito"
"Update List","Actualizar lista"
"Delete Requisition List","Eliminar Lista de Reposición"
"Delete Requisition List?","Delete Requisition List?"
"Are you sure you want to delete ""%1"" list? This action cannot be undone.","Are you sure you want to delete ""%1"" list? This action cannot be undone."
"You have no items in this requisition list.","No tienen ningún elemento en esta lista de reposición."
"Product Name","Nombre del producto"
"Item","Articulo"
"Price","Precio"
"Qty","Cantidad"
"Subtotal","Subtotal"
"Product","Producto"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Excl. Tax","Impuestos NO Incl."
"Edit item","Editar artículo"
"Remove item","Quitar artículo"
"Select all","Seleccionar todo"
"With Selected","Con selección"
"Copy Selected","Copiar selección"
"Copy","Copiar"
"Move Selected","Mover selección"
"Move","Mover"
"Remove Selected","Eliminar selección"
"Remove","Eliminar"
"Delete","Borrar"
"product(s) require your attention","producto(s) requiere(n) su atención"
