"UPS Next Day Air","УПС Следећи Даy Аир"
"UPS Second Day Air","UPS Second Day Air"
"UPS Ground","UPS Ground"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Standard","UPS Standard"
"UPS Three-Day Select","УПС Тхрее-Даy Изабери"
"UPS Next Day Air Saver","УПС Следећи Даy Аир Савер"
"UPS Next Day Air Early A.M.","УПС Следећи Даy Аир Еарлy А.М."
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Second Day Air A.M.","UPS Second Day Air A.M."
"UPS Saver","UPS Saver"
"UPS Worldwide Saver","UPS Worldwide Saver"
"UPS Express","UPS Express"
"UPS Expedited","UPS Expedited"
"UPS Express Early A.M.","UPS Express Early A.M."
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"UPS Today Standard","UPS Today Standard"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Express","UPS Today Express"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Express Plus","UPS Express Plus"
"Next Day Air Early AM","Следећи Даy Аир Еарлy АМ"
"Next Day Air Early AM Letter","Следећи Даy Аир Еарлy АМ Леттер"
"Next Day Air","Следећи Даy Аир"
"Next Day Air Letter","Следећи Даy Аир Леттер"
"Next Day Air Intra (Puerto Rico)","Следећи Даy Аир Интра (Пуерто Рицо)"
"Next Day Air Saver","Следећи Даy Аир Савер"
"Next Day Air Saver Letter","Следећи Даy Аир Савер Леттер"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air","2nd Day Air"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Select","3 Даy Изабери"
"Ground","Земља"
"Ground Commercial","Ground Commercial"
"Ground Residential","Ground Residential"
"Canada Standard","Canada Standard"
"Worldwide Express","Worldwide Express"
"Worldwide Express Saver","Worldwide Express Saver"
"Worldwide Express Letter","Worldwide Express Letter"
"Worldwide Express Plus","Worldwide Express Plus"
"Worldwide Express Plus Letter","Worldwide Express Plus Letter"
"Worldwide Expedited","Worldwide Expedited"
"Customer Packaging","Купац Пацкагинг"
"UPS Letter Envelope","UPS Letter Envelope"
"Customer Supplied Package","Купац Супплиед Пацкаге"
"UPS Tube","UPS Tube"
"PAK","PAK"
"UPS Express Box","UPS Express Box"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
"Pallet","Pallet"
"Small Express Box","Small Express Box"
"Medium Express Box","Medium Express Box"
"Large Express Box","Large Express Box"
"Residential","Residential"
"Commercial","Commercial"
"Pounds","Фунте"
"Kilograms","Килограми"
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","Соррy, нешто није у реду. Покушајте поново ор цонтацт ус анд wе'лл трy то хелп."
"We can't convert a rate from ""%1-%2"".","Не може да се конвертује по стопи од „%1-%2”."
"Cannot retrieve shipping rates","Не може ретриеве схиппинг ратес"
"status","status"
"error_message","error_message"
"Empty response","Празан одговор"
"Delivery Confirmation","Delivery Confirmation"
"Signature Required","Сигнатуре Обавезно"
"Adult Signature Required","Адулт Сигнатуре Обавезно"
"Not Required","Није Захтевано"
"None","Ништа"
"label","ознака"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"Field ","Поље"
" is required.","је обавезно."
"UPS","UPS"
"Access License Number","Access License Number"
"Enabled for Checkout","Омогући за Плаћање"
"Allowed Methods","Дозвољене Методе"
"Packages Request Type","Врста Захтева за Пакете"
"Container","Container"
"Enable Free Shipping Threshold","Омогуц́ите праг бесплатне испоруке"
"Free Shipping Amount Threshold","Праг бесплатне испоруке"
"Destination Type","Дестинатион Тип"
"Free Method","Бесплатна Метода"
"Gateway URL","УРЛ адреса мрежног пролаза"
"Gateway XML URL","Gateway XML URL"
"Calculate Handling Fee","Израчунајте накнаду за руковање"
"Handling Applied","Примењено руковање"
"Handling Fee","Трошкови обраде"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Максимална Тежина Пакета (Проверите са Вашим достављачем која је максимална тежина за испоруку)"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)"
"Origin of the Shipment","Оригин оф тхе Пошиљка"
"Password","Лозинка"
"Pickup Method","Pickup Method"
"Sort Order","Редослед поруџбина"
"Title","Наслов"
"Tracking XML URL","Tracking XML URL"
"UPS Type","УПС Тип"
"Live Account","Ливе Налог"
"Weight Unit","Јединица Тежине"
"User ID","User ID"
"Enable Negotiated Rates","Омогући Неготиатед Ратес"
"Shipper Number","Shipper Number"
"Required for negotiated rates; 6-character UPS","Обавезно фор неготиатед ратес; 6-цхарацтер УПС"
"Ship to Applicable Countries","Достави у Одговарајућу Државу"
"Ship to Specific Countries","Достави у Наведену Државу"
"Show Method if Not Applicable","Прикажи Метод ако Није Применљиво"
"Displayed Error Message","Приказана Порука о Грешци"
"Mode","Mode"
"This enables or disables SSL verification of the Magento server by UPS.","This enables or disables SSL verification of the Magento server by UPS."
"Debug","Отклањање грешака"
"Live account","Live account"
"Request Tax-Inclusive Rate","Захтев Порез-Инцлусиве Рате"
