"UPS Next Day Air","Keesokan harinya udara"
"UPS Second Day Air","UPS pengiriman hari kedua"
"UPS Ground","UPS tanah"
"UPS Worldwide Express","UPS express di seluruh dunia"
"UPS Worldwide Expedited","UPS dipercepat diseluruh dunia"
"UPS Standard","UPS standar"
"UPS Three-Day Select","UPS pilihan tiga hari"
"UPS Next Day Air Saver","UPS hari berikutnya penghemat udara"
"UPS Next Day Air Early A.M.","UPS hari berikutnya udara awal A.M."
"UPS Worldwide Express Plus","UPS express plus di seluruh dunia"
"UPS Second Day Air A.M.","UPS pengiriman awal hari kedua A.M."
"UPS Saver","UPS penghemat"
"UPS Worldwide Saver","UPS penghemat di seluruh dunia"
"UPS Express","UPS express"
"UPS Expedited","UPS dipercepat"
"UPS Express Early A.M.","UPS express awal A,M."
"UPS Worldwide Express PlusSM","UPS express plusSM di seluruh dunia"
"UPS Today Standard","Standar UPS hari ini"
"UPS Today Dedicated Courrier","UPS hari ini didedikasikan courrier"
"UPS Today Intercity","UPS antar kota hari ini"
"UPS Today Express","UPS express hari ini"
"UPS Today Express Saver","UPS express penghemat hari ini"
"UPS Express Plus","UPS express plus"
"Next Day Air Early AM","Hari berikutnya udara awal AM"
"Next Day Air Early AM Letter","Selanjutnya hari udara surat awal AM"
"Next Day Air","Hari berikutnya udara"
"Next Day Air Letter","Surat udara hari berikutnya"
"Next Day Air Intra (Puerto Rico)","Hari berikutnya udara intra (puerto rico)"
"Next Day Air Saver","Hari berikutnya penghemat udara"
"Next Day Air Saver Letter","Surat penghemat udara hari berikutnya"
"2nd Day Air AM","2 hari udara AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air","2nd Day Air"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Select","3 hari yang dipilih"
"Ground","Tanah"
"Ground Commercial","Komersial tanah"
"Ground Residential","Tanah perumahan"
"Canada Standard","Standar kanada"
"Worldwide Express","Express di seluruh dunia"
"Worldwide Express Saver","Express penghemat di seluruh dunia"
"Worldwide Express Letter","Express surat di seluruh dunia"
"Worldwide Express Plus","Express plus di seluruh dunia"
"Worldwide Express Plus Letter","Express plus surat di seluruh dunia"
"Worldwide Expedited","Dipercepat di seluruh dunia"
"Customer Packaging","Kemasan pelanggan"
"UPS Letter Envelope","Amplop surat UPS"
"Customer Supplied Package","Paket yang di sediakan pelanggan"
"UPS Tube","Tabung UPS"
"PAK","PAK"
"UPS Express Box","Kotak express UPS"
"UPS Worldwide 25 kilo","UPS di seluruh dunia 25 kilo"
"UPS Worldwide 10 kilo","UPS di seluruh dunia 10 kilo"
"Pallet","Pallet"
"Small Express Box","Kotak express kecil"
"Medium Express Box","Kotak medium express"
"Large Express Box","Kotak express besar"
"Residential","Perumahan"
"Commercial","Komersial"
"Pounds","Pound"
"Kilograms","Kilogram"
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","Sorry, something went wrong. Please try again or contact us and we'll try to help."
"We can't convert a rate from ""%1-%2"".","We can't convert a rate from ""%1-%2""."
"Cannot retrieve shipping rates","Tidak dapat mengambil tarif pengirim"
"status","status"
"error_message","kesalahan pesan"
"Empty response","Respon kosong"
"Delivery Confirmation","Konfirmasi pengiriman"
"Signature Required","Tanda tangan yang di syaratkan"
"Adult Signature Required","Tanda tangan dewasa diperlukan"
"Not Required","Tidak Diperlukan"
"None","Kosong"
"label","lebel"
"United Parcel Service","Layanan united parsel"
"United Parcel Service XML","Layanan unuted parsel XML"
"Field ","Bidang "
" is required."," di perlukan."
"UPS","UPS"
"Access License Number","Nomor lisensi akses"
"Enabled for Checkout","Diaktifkan untuk Periksa"
"Allowed Methods","Metode yang diizinkan"
"Packages Request Type","Jenis Permintaan Paket"
"Container","Wadah"
"Enable Free Shipping Threshold","Aktifkan ambang batas untuk pengiriman gratis"
"Free Shipping Amount Threshold","Ambang batas pengiriman gratis"
"Destination Type","Jenis tujuan"
"Free Method","Cara bebas"
"Gateway URL","Pintu Masuk URL"
"Gateway XML URL","Gateway URL XML"
"Calculate Handling Fee","Menghitung biaya penanganan"
"Handling Applied","Penanganan terapan"
"Handling Fee","Biaya penanganan"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maksimum Berat Paket (Silahkan konsultasikan dengan operator pelayaran untuk maksimum didukung berat pengiriman)"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)"
"Origin of the Shipment","Origin of the Shipment"
"Password","Sandi"
"Pickup Method","Pickup Method"
"Sort Order","Urutan"
"Title","Judul"
"Tracking XML URL","Melacak URL XML"
"UPS Type","Tipe UPS"
"Live Account","Akun hidup"
"Weight Unit","Satuan berat"
"User ID","ID Pengguna"
"Enable Negotiated Rates","Aktifkan tarif negosiasi"
"Shipper Number","Nomor pengirim"
"Required for negotiated rates; 6-character UPS","Diperlukan untuk tingkat negosiasi; 6-karakter UPS"
"Ship to Applicable Countries","Kirim ke Negara yang Berlaku"
"Ship to Specific Countries","Kirim ke Negara Tertentu"
"Show Method if Not Applicable","Tampilkan metode jika tidak diberlakukan"
"Displayed Error Message","Tampilkan pesan kesalahan"
"Mode","Mode"
"This enables or disables SSL verification of the Magento server by UPS.","Ini memungkinkan atau menonaktifkan verifikasi SSL dari server Magento oleh UPS."
"Debug","Menulusuri"
"Live account","Live account"
"Request Tax-Inclusive Rate","Request Tax-Inclusive Rate"
