"UPS Next Day Air","UPS ඊළඟ දවසේ වාතය"
"UPS Second Day Air","UPS දෙවන දින වාතය"
"UPS Ground","UPS පිටිය"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Expedited","UPS ලොව පුරා කඩිනම්"
"UPS Standard","UPS සම්මතය"
"UPS Three-Day Select","UPS තුන්දින තේරීම"
"UPS Next Day Air Saver","UPS පසුදින වායු සුරැකුම"
"UPS Next Day Air Early A.M.","UPS පසුදින ගුවන් ‍පෙ.ව"
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Second Day Air A.M.","UPS දෙවන දින ගුවන් AM"
"UPS Saver","UPS සේවර්"
"UPS Worldwide Saver","UPS Worldwide Saver"
"UPS Express","UPS Express"
"UPS Expedited","UPS ඉක්මන් කර ඇත"
"UPS Express Early A.M.","UPS Express උදේ පාන්දර"
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"UPS Today Standard","UPS Today Standard"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courier"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Express","UPS Today Express"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Express Plus","UPS Express Plus"
"Next Day Air Early AM","ඊළඟ දවසේ එයාර් එම්.එම්"
"Next Day Air Early AM Letter","ඊළඟ දවසේ එයාර්ලි AM ලිපිය"
"Next Day Air","ඊළඟ දවසේ වාතය"
"Next Day Air Letter","ඊළඟ දවසේ ගුවන් ලිපිය"
"Next Day Air Intra (Puerto Rico)","ඊළඟ දවසේ ගුවන් අභ්‍යන්තර (Puerto Rico)"
"Next Day Air Saver","ඊළඟ දවසේ එයාර් සේවර්"
"Next Day Air Saver Letter","ඊළඟ දවසේ එයාර් සේවර් ලිපිය"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2 වන දින ගුවන් AM ලිපිය"
"2nd Day Air","2 වන දින වාතය"
"2nd Day Air Letter","2 වන දින ගුවන් ලිපිය"
"3 Day Select","3 දින තේරීම"
"Ground","බිම"
"Ground Commercial","බිම් වාණිජ"
"Ground Residential","බිම් නේවාසික"
"Canada Standard","කැනඩා සම්මත"
"Worldwide Express","Worldwide Express"
"Worldwide Express Saver","Worldwide Express Saver"
"Worldwide Express Letter","Worldwide Express ලිපිය"
"Worldwide Express Plus","Worldwide Express Plus"
"Worldwide Express Plus Letter","Worldwide Express Plus ලිපිය"
"Worldwide Expedited","ලොව පුරා කඩිනම්"
"Customer Packaging","පාරිභෝගික ඇසුරුම්"
"UPS Letter Envelope","UPS ලිපි ලියුම් කවරය"
"Customer Supplied Package","පාරිභෝගික සැපයූ පැකේජය"
"UPS Tube","UPS ටියුබ්"
"PAK","PAK"
"UPS Express Box","UPS එක්ස්ප්‍රස් පෙට්ටිය"
"UPS Worldwide 25 kilo","UPS ලොව පුරා කිලෝ 25 කි"
