"It is impossible to log user action","It is impossible to log user action"
"Error message","Fejlmeddelelse"
"An error occurred while logging process.","An error occurred while logging process."
"Release Notification","Release Notification"
"What’s new with Magento 2.2.4","What’s new with Magento 2.2.4"
"
                        <p>Magento 2.2.4 provides powerful new tools to help reduce cart abandonment and simplify store operations:</p>
                        <br />
                        <div class=""trusted-payments-highlight"">
                        <h3>Trusted Payment Options</h3>
                        <p>Online or on the go, your shoppers can easily purchase in a familiar, trusted way with Amazon Pay.</p>
                        </div>
                        <div class=""flexible-payments-highlight"">
                        <h3>Flexible Payment Terms</h3>
                        <p>Increase sales by providing shoppers with the flexibility to pay now, later, or in installments using Klarna&#8217;s integrated payment option.</p>
                        </div>
                        <div class=""tax-automation-highlight"">
                        <h3>Sales and Use Tax Automation</h3>
                        <p>Merchants can now automatically perform instant and accurate sales tax calculations on shopping cart items with Vertex Cloud.</p>
                        </div>
                        <p>To learn more, see the <a href=""http://devdocs.magento.com/guides/v2.2/release-notes/bk-release-notes.html"" target=""_blank"">Release Notes</a> and the <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank"">Magento User Guide</a>.</p>
                        ","
                        <p>Magento 2.2.4 giver kraftfulde nye redskaber til at reducere antallet af forladte indkøbskurve og forenkle butiks operationer:</p>
                        <br />
                        <div class=""trusted-payments-highlight"">
                        <h3>Godkendte betaling muligheder</h3>
                        <p>Online eller på farten, dine kunder nemt betale på en velkendt og betroede måde med Amazon Pay.</p>
                        </div>
                        <div class=""flexible-payments-highlight"">
                        <h3>Fleksible betalingsbetingelser</h3>
                        <p>Øge salget ved at give kunderne muligheden for at betale nu, senere, eller i rater ved hjælp af Klarna&#8217;s integreret betalingsmuligheder.</p>
                        </div>
                        <div class=""tax-automation-highlight"">
                        <h3>Salg og Automatiserede afgift beregning</h3>
                        <p>Forhandlere kan nu automatisk lave øjeblikkelige og præcise moms beregninger på alle vare i indkøbskurven med Vertex Cloud.</p>
                        </div>
                        <p>For at få vide mere, se <a href=""http://devdocs.magento.com/guides/v2.2/release-notes/bk-release-notes.html"" target=""_blank"">Release Notes</a> og <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank"">Magento Brugervejledning</a>.</p>
                        "
"Trusted Payment Options","Trusted Payment Options"
"<p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank"">Amazon Pay</a>, we make it simple for the hundreds of millions of Amazon customers worldwide to easily log in and purchase from your store using information already stored their Amazon account. With easy setup in Magento 2.2.4, Amazon Pay provides your customers with a trusted and familiar checkout experience. In just a few taps, they can complete a transaction without ever leaving your site.</p>
                        <ul>
                        <li><span>Your customers use one familiar login to identify themselves and transact anywhere Amazon Pay is offered.</span></li>
                        <li><span>Checkout experience is covered by the Amazon A-to-z Guarantee at no additional cost.</span></li>
                        <li><span>Built on years of Amazon eCommerce innovation, and trusted by merchants and buyers alike.</span></li>
                        <li><span>Available across platforms and devices, in the home and on the go.</span></li>
                        </ul>
                        ","<p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank"">Amazon Pay</a>, we make it simple for the hundreds of millions of Amazon customers worldwide to easily log in and purchase from your store using information already stored their Amazon account. With easy setup in Magento 2.2.4, Amazon Pay provides your customers with a trusted and familiar checkout experience. In just a few taps, they can complete a transaction without ever leaving your site.</p>
                        <ul>
                        <li><span>Your customers use one familiar login to identify themselves and transact anywhere Amazon Pay is offered.</span></li>
                        <li><span>Checkout experience is covered by the Amazon A-to-z Guarantee at no additional cost.</span></li>
                        <li><span>Built on years of Amazon eCommerce innovation, and trusted by merchants and buyers alike.</span></li>
                        <li><span>Available across platforms and devices, in the home and on the go.</span></li>
                        </ul>
                        "
"Flexible Payment Terms","Flexible Payment Terms"
"
                        <p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"" target=""_blank"">Klarna</a>, reduce purchase stress and improve your shopping experience with several retail finance and direct-payment options that are easily integrated into your existing buying journey. Shoppers can choose to pay now by online payment or direct debit, pay later by invoice, or pay in installments.</p>
                        <ul>
                        <li><span>Customers never leave your site, and enjoy a smoother shopping experience.</span></li>
                        <li><span>Easy application process with the ability to pay over time increases average order value and conversion rates.</span></li>
                        <li><span>Assumes all credit and fraud risk, and ensures you are paid for ordered goods.</span></li>
                        <li><span>Ready for all devices, and enables shoppers to use their Klarna account at any Klarna merchant with just a few clicks.</span></li>
                        <li><span>Fast and easy setup, right from the Magento Admin.</span></li>
                        </ul>
                        ","                        <p> Med <a href=""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"" target=""_blank"">Klarna</a>, reducere købsstress og forbedrer din indtrykket af oplevelsen med flere finansierings- og direkte betalingsmuligheder, der nemt integreres i din eksisterende købsrejse. Købere kan vælge at betale nu ved online betaling eller direkte debitering, betal senere efter faktura eller på afbetaling. </p>
                        <ul>
                        <li><span> Kunder forlader aldrig dit websted og nyder en problemfri shoppingoplevelse. </span></li>
                        <li><span> Med en nem ansøgningsproces med muligheden for at betale over tid øger den gennemsnitlige ordreværdi og konverteringsrate. </span></li>
                        <li><span> Tager ansvar for alle kredit- og risiko for bedrageri, og sikrer dermed at du bliver betalt for enhver bestilt varer. </span></li>
                        <li><span> Klar til alle enheder, og giver kunderne mulighed for at bruge deres Klarna-konto hos enhver Klarna-forhandler med et par klik. </span></li>
                        <li><span> Hurtig og nem opsætning, lige fra Magento Admin. </span></li>
                         </ul>                     "
"Sales and Use Tax Automation","Sales and Use Tax Automation"
