"It is impossible to log user action","É impossível registrar a ação do usuário"
"Error message","Mensagem de erro"
"An error occurred while logging process.","Ocorreu um erro ao registrar o processo."
"Release Notification","Última notificação"
"What’s new with Magento 2.2.4","O que há de novo com Magento 2.2.4"
"
                        <p>Magento 2.2.4 provides powerful new tools to help reduce cart abandonment and simplify store operations:</p>
                        <br />
                        <div class=""trusted-payments-highlight"">
                        <h3>Trusted Payment Options</h3>
                        <p>Online or on the go, your shoppers can easily purchase in a familiar, trusted way with Amazon Pay.</p>
                        </div>
                        <div class=""flexible-payments-highlight"">
                        <h3>Flexible Payment Terms</h3>
                        <p>Increase sales by providing shoppers with the flexibility to pay now, later, or in installments using Klarna&#8217;s integrated payment option.</p>
                        </div>
                        <div class=""tax-automation-highlight"">
                        <h3>Sales and Use Tax Automation</h3>
                        <p>Merchants can now automatically perform instant and accurate sales tax calculations on shopping cart items with Vertex Cloud.</p>
                        </div>
                        <p>To learn more, see the <a href=""http://devdocs.magento.com/guides/v2.2/release-notes/bk-release-notes.html"" target=""_blank"">Release Notes</a> and the <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank"">Magento User Guide</a>.</p>
                        ","
<p>Magento 2.2.4 fornece novas ferramentas poderosas para ajudar a reduzir o abandono do carrinho e simplificar as operações da loja:</p>
<br />
<div class=""trusted-payments-highlight"">
<h3>Opções de Pagamento Confiável</h3>
<p>Os seus compradores pode facilmente comprar Online de forma familiarizada com o confiavel Amazon Pay.</p>
</div>
<div class=""flexible-payments-highlight"">
<h3>Termos de Pagamento Flexíve</h3>
<p>Aumentar as vendas, fornecendo aos clientes a flexibilidade de pagar agora, mais tarde, ou em prestações usando Klarna&#8217;s integrado nas opções de pagamento.</p>
</div>
<div class=""tax-automation-highlight"">
<h3>Vendas e Automatização de Taxas Ficais</h3>
<p>Comerciantes podem agora automaticamente executar cálculos de imposto de forma instantânea e precisa sobre os itens a vender no carrinho de compras com Vertex Cloud.</p>
</div>
<p>Para saber mais, consulte <a href=""http://devdocs.magento.com/guides/v2.2/release-notes/bk-release-notes.html"" target=""_blank"">Release Notes</a> e <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank"">> Magento User Guide</a>.</p>                        "
"Trusted Payment Options","Opções de pagamento confiável"
"<p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank"">Amazon Pay</a>, we make it simple for the hundreds of millions of Amazon customers worldwide to easily log in and purchase from your store using information already stored their Amazon account. With easy setup in Magento 2.2.4, Amazon Pay provides your customers with a trusted and familiar checkout experience. In just a few taps, they can complete a transaction without ever leaving your site.</p>
                        <ul>
                        <li><span>Your customers use one familiar login to identify themselves and transact anywhere Amazon Pay is offered.</span></li>
                        <li><span>Checkout experience is covered by the Amazon A-to-z Guarantee at no additional cost.</span></li>
                        <li><span>Built on years of Amazon eCommerce innovation, and trusted by merchants and buyers alike.</span></li>
                        <li><span>Available across platforms and devices, in the home and on the go.</span></li>
                        </ul>
                        ","<p> Com <a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank""> Amazon Pay </a>, simplificamos para que as centenas de milhões de clientes da Amazon em todo o mundo acedam e comprem facilmente na sua loja usando informações já armazenadas na sua conta da Amazon. Com uma fácil configuração no Magento 2.2.4, o Amazon Pay oferece aos seus clientes uma experiência de compra confiável e familiar. Em apenas alguns toques, podem concluir a transação sem sair do site. </p>
                        <ul>
                        <li> <span> Seus clientes usam um login familiar para se identificar e transacionar em qualquer lugar onde o Amazon Pay é oferecido. </span> </li>
                        <li> <span>A experiência Checkout é coberta pela Garantia Amazon A-to-z sem nenhum custo adicional.</span> </li>
                        <li> <span>Criado a partir de anos de inovação do Amazon eCommerce e reconhecido por comerciantes e compradores como confiável. </span> </li>
                        <li> <span> Disponível em todas as plataformas e dispositivos, em casa e em trânsito. </span> </li>
                        </ul>                        "
"Flexible Payment Terms","Condições de pagamento flexíveis"
"
                        <p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"" target=""_blank"">Klarna</a>, reduce purchase stress and improve your shopping experience with several retail finance and direct-payment options that are easily integrated into your existing buying journey. Shoppers can choose to pay now by online payment or direct debit, pay later by invoice, or pay in installments.</p>
                        <ul>
                        <li><span>Customers never leave your site, and enjoy a smoother shopping experience.</span></li>
                        <li><span>Easy application process with the ability to pay over time increases average order value and conversion rates.</span></li>
                        <li><span>Assumes all credit and fraud risk, and ensures you are paid for ordered goods.</span></li>
                        <li><span>Ready for all devices, and enables shoppers to use their Klarna account at any Klarna merchant with just a few clicks.</span></li>
                        <li><span>Fast and easy setup, right from the Magento Admin.</span></li>
                        </ul>
                        ","
<p> Com o <a href=""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"" target=""_blank"">Klarna</a>, reduza o stress na compra e melhore as experiências de compra com várias opções de financiamento e pagamento direto que são facilmente integradas forma de compra existente. Os compradores podem optar por pagar agora com pagamento on-line ou débito direto, pagar posteriormente por fatura ou pagar parceladamente. </p> <ul> <li> <span> Os clientes nunca saem do site e desfrutam de uma experiência de compra mais tranquila.</span> </li> <li> <span> O processo de inscrição fácil com a capacidade de pagar ao longo do tempo aumenta o valor médio dos pedidos e as taxas de conversão.</span></li> <li> <span> Assume todo o risco de crédito e de fraude garantindo que você é pago pelos produtos pedidos.</span></li> <li> <span>Preparado para todos os dispositivos, permitindo que os compradores usem sua conta do Klarna em qualquer comerciante Klarna com apenas alguns cliques. </span></li> <li> <span>Rápida e fácil configuração, diretamente no Magento Admin.</span></li></ul>                        "
"Sales and Use Tax Automation","Vendas e Uso de Automação de Imposto"
