"It is impossible to log user action","عمل ورود کاربر غیرممکن است"
"Error message","پیغام خطا"
"An error occurred while logging process.","هنگام ورود به سیستم خطایی رخ داد."
"Release Notification","اطلاعیه انتشار"
"What’s new with Magento 2.2.4","تازه های جدید در Magento 2.2.4"
"
                        <p>Magento 2.2.4 provides powerful new tools to help reduce cart abandonment and simplify store operations:</p>
                        <br />
                        <div class=""trusted-payments-highlight"">
                        <h3>Trusted Payment Options</h3>
                        <p>Online or on the go, your shoppers can easily purchase in a familiar, trusted way with Amazon Pay.</p>
                        </div>
                        <div class=""flexible-payments-highlight"">
                        <h3>Flexible Payment Terms</h3>
                        <p>Increase sales by providing shoppers with the flexibility to pay now, later, or in installments using Klarna&#8217;s integrated payment option.</p>
                        </div>
                        <div class=""tax-automation-highlight"">
                        <h3>Sales and Use Tax Automation</h3>
                        <p>Merchants can now automatically perform instant and accurate sales tax calculations on shopping cart items with Vertex Cloud.</p>
                        </div>
                        <p>To learn more, see the <a href=""http://devdocs.magento.com/guides/v2.2/release-notes/bk-release-notes.html"" target=""_blank"">Release Notes</a> and the <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank"">Magento User Guide</a>.</p>
                        ","
                        <p>Magento 2.2.4 قدرتمند ابزار جدید برای کمک به کاهش سبد رها و ساده عملیات ذخیره فراهم می کند:</p>
                        <br />
                        <div class=""trusted-payments-highlight"">
                        -
                        <h3>مورد اعتماد گزینه های پرداخت</h3>
                        <p>آنلاین و یا بر روی بروید، شما خریداران به راحتی در خرید می توانید آشنا، قابل اعتماد راه با آمازون پرداخت.</p>
                        </div>
                        <div class=""flexible-payments-highlight"">
                        <h3>پرداخت انعطاف پذیر شرایط</h3>
                        <p>افزایش فروش ارائه خریداران با انعطاف پذیری لازم برای پرداخت الان، یا یکپارچه در اقساط Klarna&#8217;ثانیه با استفاده از گزینه پرداخت.</p>
                        </div>
                        <div class=""tax-automation-highlight"">
                        <h3>فروش و اتوماسیون مالیاتی استفاده <div class=""notranslate""> 18-/ div >
                        <p>بازرگانان می تواند در حال حاضر به طور خودکار انجام محاسبات مالیات بر فروش فوری و دقیق در خرید سبد خرید اقلام با ابر راس.</p>
                        </div>
                        <p> <a href=""http://devdocs.magento.com/guides/v2.2/release-notes/bk-release-notes.html"" target=""_blank"">نکات انتشار</a> برای بیشتر رجوع کنید و تا دیو کلاس = ""notranslate"" > 25</div> راهنمای کاربر Magento</a>.</p>
                        "
"Trusted Payment Options","گزینه های پرداخت قابل اعتماد"
"<p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank"">Amazon Pay</a>, we make it simple for the hundreds of millions of Amazon customers worldwide to easily log in and purchase from your store using information already stored their Amazon account. With easy setup in Magento 2.2.4, Amazon Pay provides your customers with a trusted and familiar checkout experience. In just a few taps, they can complete a transaction without ever leaving your site.</p>
                        <ul>
                        <li><span>Your customers use one familiar login to identify themselves and transact anywhere Amazon Pay is offered.</span></li>
                        <li><span>Checkout experience is covered by the Amazon A-to-z Guarantee at no additional cost.</span></li>
                        <li><span>Built on years of Amazon eCommerce innovation, and trusted by merchants and buyers alike.</span></li>
                        <li><span>Available across platforms and devices, in the home and on the go.</span></li>
                        </ul>
                        ","<p>با <a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank"">پرداخت آمازون</a>، ما در سراسر جهان به راحتی وارد سایت شده و خرید از فروشگاه خود را با استفاده از ساده برای صدها میلیون مشتریان آمازون را اطلاعات در حال حاضر حساب آمازون خود را ذخیره می شود. نصب آسان در Magento 2.2.4, آمازون پرداخت مشتریان خود را با تجربه آشنا و مورد اعتماد را فراهم می کند. در شیپور خاموشی فقط چند آنها معامله بدون ترک همیشه سایت شما تکمیل می.</p>
                        <ul>
                        <li><span>مشتریان خود استفاده از ورود یک آشنا به خود را شناسایی و در هر نقطه و ستد آمازون پرداخت ارائه می گردد.</span></li>
                        <li><span>تجربه پرداخت توسط آمازون به الف گارانتی بدون هزینه اضافی تحت پوشش است.</span></li>
                        <li><span>سال نوآوری تجارت الکترونیک آمازون در ساخته شده و مورد اعتماد تجار و خریداران توزیع های مبتنی بر.</span></li>
                        <li><span>موجود در سراسر سیستم عامل و دستگاه ها در خانه و در رفتن.</span></li>
                        </ul>
                        "
"Flexible Payment Terms","شرایط پرداخت انعطاف پذیر"
"
                        <p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"" target=""_blank"">Klarna</a>, reduce purchase stress and improve your shopping experience with several retail finance and direct-payment options that are easily integrated into your existing buying journey. Shoppers can choose to pay now by online payment or direct debit, pay later by invoice, or pay in installments.</p>
                        <ul>
                        <li><span>Customers never leave your site, and enjoy a smoother shopping experience.</span></li>
                        <li><span>Easy application process with the ability to pay over time increases average order value and conversion rates.</span></li>
                        <li><span>Assumes all credit and fraud risk, and ensures you are paid for ordered goods.</span></li>
                        <li><span>Ready for all devices, and enables shoppers to use their Klarna account at any Klarna merchant with just a few clicks.</span></li>
                        <li><span>Fast and easy setup, right from the Magento Admin.</span></li>
                        </ul>
                        ","
<p>با <a href=""""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"""" target=""""_blank"""">Klarna</a>، کاهش خرید استرس و بهبود تجربه خرید خود را با خرده فروشی امور مالی و پرداخت مستقیم گزینه های مختلف که به راحتی به سفر خرید موجود خود را یکپارچه. خریداران می توانید هم اکنون با پرداخت آنلاین و یا اعتباری مستقیم پرداخت بعد پرداخت صورت حساب یا پرداخت در اقساط.</p>
                        <ul>
                        <li><span>مشتریان هرگز ترک سایت شما و لذت بردن از تجربه خرید نرم و صاف.</span></li>
                        <li><span>روند درخواست آسان با قابلیت پرداخت بیش از زمان سفارش متوسط ارزش و تبدیل نرخ را افزایش می دهد.</span></li>
                        <li><span>فرض تمام خطر اعتباری و تقلب و تضمین می کند شما می توانید برای کالا، پرداخت می شود.</span></li>
                        <li><span>آماده برای تمام دستگاه ها و خریداران را قادر می سازد به اشتراک Klarna خود را در هر تاجر Klarna با تنها چند کلیک استفاده کنید.</span></li>
                        <li><span>نصب سریع و آسان از Magento مدیریت.</span></li>
                        </ul>
                        "
"Sales and Use Tax Automation","فروش و استفاده از اتوماسیون مالیاتی"
