"It is impossible to log user action","Es imposible registrar la acción del usuario"
"Error message","Mensaje de error"
"An error occurred while logging process.","Se produjo un error durante el proceso de registro."
"Release Notification","Notificación de la versión"
"What’s new with Magento 2.2.4","Que es nuevo en Magento 2.2.4"
"
                        <p>Magento 2.2.4 provides powerful new tools to help reduce cart abandonment and simplify store operations:</p>
                        <br />
                        <div class=""trusted-payments-highlight"">
                        <h3>Trusted Payment Options</h3>
                        <p>Online or on the go, your shoppers can easily purchase in a familiar, trusted way with Amazon Pay.</p>
                        </div>
                        <div class=""flexible-payments-highlight"">
                        <h3>Flexible Payment Terms</h3>
                        <p>Increase sales by providing shoppers with the flexibility to pay now, later, or in installments using Klarna&#8217;s integrated payment option.</p>
                        </div>
                        <div class=""tax-automation-highlight"">
                        <h3>Sales and Use Tax Automation</h3>
                        <p>Merchants can now automatically perform instant and accurate sales tax calculations on shopping cart items with Vertex Cloud.</p>
                        </div>
                        <p>To learn more, see the <a href=""http://devdocs.magento.com/guides/v2.2/release-notes/bk-release-notes.html"" target=""_blank"">Release Notes</a> and the <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank"">Magento User Guide</a>.</p>
                        ","
<p> Magento 2.2.4 proporciona nuevas y poderosas herramientas para ayudar a reducir el abandono del carrito y simplificar las operaciones de la tienda: </p>
                        <br />
                        <div class = ""trust-payment-highlight"">
                        <h3> Opciones de pago de confianza </h3>
                        <p> En línea o mientras viaja, sus compradores pueden comprar fácilmente de forma familiar y confiable con Amazon Pay. </p>
                        </div>
                        <div class = ""flexible-payment-highlight"">
                        <h3> Condiciones de pago flexibles </h3>
                        <p> Aumente las ventas proporcionando a los compradores la flexibilidad de pagar ahora, más adelante o en cuotas utilizando la opción de pago integrada de Klarna. </p>
                        </div>
                        <div class = ""tax-automation-highlight"">
                        <h3> Automatización de impuestos de ventas y uso </h3>
                        <p> Los comerciantes ahora pueden realizar automáticamente cálculos de impuestos de ventas instantáneos y precisos en los artículos del carrito de compras con Vertex Cloud. </p>
                        </div>
                        <p> Para obtener más información, consulte <a href=""http://devdocs.magento.com/guides/v2.2/release-notes/bk-release-notes.html"" target=""_blank""> Notas de la versión </a> y la <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank""> Guía del usuario de Magento </a>. </p>                        "
"Trusted Payment Options","Opciones de pago de confianza"
"<p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank"">Amazon Pay</a>, we make it simple for the hundreds of millions of Amazon customers worldwide to easily log in and purchase from your store using information already stored their Amazon account. With easy setup in Magento 2.2.4, Amazon Pay provides your customers with a trusted and familiar checkout experience. In just a few taps, they can complete a transaction without ever leaving your site.</p>
                        <ul>
                        <li><span>Your customers use one familiar login to identify themselves and transact anywhere Amazon Pay is offered.</span></li>
                        <li><span>Checkout experience is covered by the Amazon A-to-z Guarantee at no additional cost.</span></li>
                        <li><span>Built on years of Amazon eCommerce innovation, and trusted by merchants and buyers alike.</span></li>
                        <li><span>Available across platforms and devices, in the home and on the go.</span></li>
                        </ul>
                        ","<p> Con <a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank""> Amazon Pay </a>, lo hacemos simple para los cientos de millones de clientes de Amazon en todo el mundo para iniciar sesión y comprar fácilmente en su tienda utilizando información que ya está almacenada en su cuenta de Amazon. Con una configuración sencilla en Magento 2.2.4, Amazon Pay les brinda a sus clientes una experiencia de pago confiable y familiar. Con solo unos pocos toques, pueden completar una transacción sin tener que abandonar su sitio. </p>
                        <ul>
                        <li> <span> Sus clientes utilizan un inicio de sesión familiar para identificarse y realizar transacciones en cualquier lugar donde se ofrezca Amazon Pay. </span> </li>
                        <li> <span> La experiencia de Checkout está cubierta por la garantía de Amazon A-to-z sin costo adicional. </span> </li>
                        <li> <span> Basado en años de innovación en el comercio electrónico de Amazon, y con la confianza de comerciantes y compradores por igual. </span> </li>
                        <li> <span> Disponible en todas las plataformas y dispositivos, en el hogar y sobre la marcha. </span> </li>
                        </ul>                        "
"Flexible Payment Terms","Opciones de pago flexibles"
"
                        <p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"" target=""_blank"">Klarna</a>, reduce purchase stress and improve your shopping experience with several retail finance and direct-payment options that are easily integrated into your existing buying journey. Shoppers can choose to pay now by online payment or direct debit, pay later by invoice, or pay in installments.</p>
                        <ul>
                        <li><span>Customers never leave your site, and enjoy a smoother shopping experience.</span></li>
                        <li><span>Easy application process with the ability to pay over time increases average order value and conversion rates.</span></li>
                        <li><span>Assumes all credit and fraud risk, and ensures you are paid for ordered goods.</span></li>
                        <li><span>Ready for all devices, and enables shoppers to use their Klarna account at any Klarna merchant with just a few clicks.</span></li>
                        <li><span>Fast and easy setup, right from the Magento Admin.</span></li>
                        </ul>
                        ","
<p> Con <a href=""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"" target=""_blank""> Klarna </a>, reduzca el estrés de compra y mejore sus compras Experimente con varias opciones de financiamiento directo y pago directo que se integran fácilmente en su proceso de compra existente. Los compradores pueden elegir pagar ahora mediante pago en línea o débito directo, pagar más tarde por factura o pagar en cuotas. </p>
                        <ul>
                        <li> <span> Los clientes nunca abandonan su sitio y disfrutan de una experiencia de compra más fluida. </span> </li>
                        <li> <span> El proceso de solicitud fácil con la capacidad de pagar a lo largo del tiempo aumenta el valor promedio de los pedidos y las tasas de conversión. </span> </li>
                        <li> <span> Asume todos los riesgos de crédito y fraude, y garantiza que se le pague por los productos pedidos. </span> </li>
                        <li> <span> Listo para todos los dispositivos, y permite a los compradores usar su cuenta de Klarna en cualquier comerciante de Klarna con solo unos pocos clics. </span> </li>
                        <li> <span> Configuración rápida y fácil, directamente desde Magento Admin. </span> </li>
                        </ul>                        "
"Sales and Use Tax Automation","Automatización de impuestos de ventas y uso"
