"It is impossible to log user action","Het is onmogelijk om de gebruikersactie te loggen"
"Error message","Foutmelding"
"An error occurred while logging process.","Er is een fout opgetreden tijdens het loggen."
"Release Notification","Opleverings notitficatie"
"What’s new with Magento 2.2.4","Wat is nieuw in Magento 2.2.4"
"
                        <p>Magento 2.2.4 provides powerful new tools to help reduce cart abandonment and simplify store operations:</p>
                        <br />
                        <div class=""trusted-payments-highlight"">
                        <h3>Trusted Payment Options</h3>
                        <p>Online or on the go, your shoppers can easily purchase in a familiar, trusted way with Amazon Pay.</p>
                        </div>
                        <div class=""flexible-payments-highlight"">
                        <h3>Flexible Payment Terms</h3>
                        <p>Increase sales by providing shoppers with the flexibility to pay now, later, or in installments using Klarna&#8217;s integrated payment option.</p>
                        </div>
                        <div class=""tax-automation-highlight"">
                        <h3>Sales and Use Tax Automation</h3>
                        <p>Merchants can now automatically perform instant and accurate sales tax calculations on shopping cart items with Vertex Cloud.</p>
                        </div>
                        <p>To learn more, see the <a href=""http://devdocs.magento.com/guides/v2.2/release-notes/bk-release-notes.html"" target=""_blank"">Release Notes</a> and the <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank"">Magento User Guide</a>.</p>
                        ","
                        <p> Magento 2.2.4 biedt krachtige nieuwe hulpmiddelen om het verlaten van de winkelwagen te verminderen en de winkelactiviteiten te vereenvoudigen: </p>
                        <br />
                        <div class = ""trusted-payments-highlight"">
                        <h3> Betrouwbare betalingsopties </h3>
                        <p> Online of onderweg, uw klanten kunnen eenvoudig kopen op een vertrouwde, vertrouwde manier met Amazon Pay. </p>
                        </div>
                        <div class = ""flexible-payments-highlight"">
                        <h3> Flexibele betalingsvoorwaarden </h3>
                        <p> Verhoog de omzet door shoppers de flexibiliteit te bieden om nu, later of in termijnen te betalen met de geïntegreerde betalingsoptie van Klarna&#8217;. </p>
                        </div>
                        <div class=""tax-automation-highlight"">
                        <h3> Verkoop- en gebruikstaxeautomatisering </h3>
                        <p> Handelaren kunnen nu direct nauwkeurige en nauwkeurige omzetbelastingberekeningen uitvoeren op winkelwagenitems met Vertex Cloud. </p>
                        </div>
                        <p> Zie de <a href=""http://devdocs.magento.com/guides/v2.2/release-notes/bk-release-notes.html"" target=""_blank""> opmerkingen bij de release voor meer informatie. </a> en de <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank""> Magento gebruikershandleiding </a>. </p>                        "
"Trusted Payment Options","Betrouwbare betalingsopties"
"<p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank"">Amazon Pay</a>, we make it simple for the hundreds of millions of Amazon customers worldwide to easily log in and purchase from your store using information already stored their Amazon account. With easy setup in Magento 2.2.4, Amazon Pay provides your customers with a trusted and familiar checkout experience. In just a few taps, they can complete a transaction without ever leaving your site.</p>
                        <ul>
                        <li><span>Your customers use one familiar login to identify themselves and transact anywhere Amazon Pay is offered.</span></li>
                        <li><span>Checkout experience is covered by the Amazon A-to-z Guarantee at no additional cost.</span></li>
                        <li><span>Built on years of Amazon eCommerce innovation, and trusted by merchants and buyers alike.</span></li>
                        <li><span>Available across platforms and devices, in the home and on the go.</span></li>
                        </ul>
                        ","<p> Met <a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank""> Amazon Pay </a> maken we het eenvoudig voor de honderden miljoenen Amazon-klanten wereldwijd om eenvoudig in te loggen en te kopen bij uw winkel met behulp van informatie die al is opgeslagen op hun Amazon-account. Met eenvoudige installatie in Magento 2.2.4 biedt Amazon Pay uw klanten een vertrouwde en vertrouwde uitcheckervaring. Met slechts enkele tikken kunnen ze een transactie voltooien zonder uw site te verlaten. </p>
                        <ul>
                        <li> <span> Uw klanten gebruiken één bekende login om zichzelf te identificeren en transacties te verrichten waar Amazon Pay wordt aangeboden. </span> </li>
                        <li> <span> De afrekenervaring wordt zonder extra kosten gedekt door de Amazon A-naar-z-garantie. </span> </li>
                        <li> <span> Gebouwd op jarenlange Amazon eCommerce-innovatie, en vertrouwd door verkopers en kopers. </span> </li>
                        <li> <span> Beschikbaar op verschillende platforms en apparaten, zowel thuis als onderweg. </span> </li>
                        </ul>                        "
"Flexible Payment Terms","Flexibele betalingsvoorwaarden"
"
                        <p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"" target=""_blank"">Klarna</a>, reduce purchase stress and improve your shopping experience with several retail finance and direct-payment options that are easily integrated into your existing buying journey. Shoppers can choose to pay now by online payment or direct debit, pay later by invoice, or pay in installments.</p>
                        <ul>
                        <li><span>Customers never leave your site, and enjoy a smoother shopping experience.</span></li>
                        <li><span>Easy application process with the ability to pay over time increases average order value and conversion rates.</span></li>
                        <li><span>Assumes all credit and fraud risk, and ensures you are paid for ordered goods.</span></li>
                        <li><span>Ready for all devices, and enables shoppers to use their Klarna account at any Klarna merchant with just a few clicks.</span></li>
                        <li><span>Fast and easy setup, right from the Magento Admin.</span></li>
                        </ul>
                        ","
<p> Met <a href=""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"" target=""_blank""> Klarna </a> vermindert u stress bij aankopen en verbetert u uw aankopen ervaring met verschillende retailfinancierings- en directbetalingsopties die eenvoudig kunnen worden geïntegreerd in uw bestaande kooptraject. Kopers kunnen ervoor kiezen om nu te betalen via online betaling of automatische incasso, later betalen per factuur of in termijnen betalen. </p>
                        <ul>
                        <li> <span> Klanten verlaten uw site nooit en genieten van een soepele winkelervaring. </span> </li>
                        <li> <span> Eenvoudig aanvraagproces met de mogelijkheid om in de loop van de tijd te betalen verhoogt de gemiddelde bestelwaarde en succespercentages. </span> </li>
                        <li> <span> Gaat uit van alle krediet- en frauderisico's en zorgt ervoor dat u wordt betaald voor bestelde goederen. </span> </li>
                        <li> <span> Klaar voor alle apparaten en stelt klanten in staat om met een paar klikken hun Klarna-account bij elke Klarna-verkoper te gebruiken. </span> </li>
                        <li> <span> Snelle en eenvoudige installatie, rechtstreeks vanuit de Magento Admin. </span> </li>
                        </ul>                        "
"Sales and Use Tax Automation","Verkoop en belastingautomatisering"
"
                        <p><a href=""http://docs.magento.com/m2/ce/user_guide/tax/vertex.html"" target=""_blank"">Vertex Cloud</a> combines sophisticated software with an exceptional team of tax experts to help Magento merchants simplify the sales tax process, and comply with ever-changing tax laws. Merchants can easily access and configure Vertex Cloud from the Magento Admin to meet complex tax challenges.</p>
                        <ul>
                        <li><span>Seamless integration with award-winning support for simple-to-complex tax needs.</span></li>
                        <li><span>Automatically comply with the latest tax rules for each product and every jurisdiction.</span></li>
                        <li><span>Perform tax calculations and generate signature-ready PDF returns in one solution.</span></li>
                        <li><span>No penalty to merchants for tax estimates from abandoned carts.</span></li>
                        <li><span>Flexible deployment options fit the needs of your organization in the cloud, or on premises.</span></li>
                        </ul>
                        ","
<p> <a href=""http://docs.magento.com/m2/ce/user_guide/tax/vertex.html"" target=""_blank""> Vertex Cloud </a> combineert geavanceerde software met een uitzonderlijk team van belastingexperts om Magento-handelaren te helpen het verkoopbelastingproces te vereenvoudigen en te voldoen aan de steeds veranderende belastingwetgeving. Verkopers kunnen Vertex Cloud gemakkelijk openen en configureren vanuit de Magento-beheerder om complexe belastinguitdagingen te overwinnen. </p>
                        <ul>
                        <li> <span> Naadloze integratie met bekroonde ondersteuning voor eenvoudige tot complexe belastingbehoeften. </span> </li>
                        <li> <span> Volg automatisch de nieuwste belastingregels voor elk product en elk rechtsgebied. </span> </li>
                        <li> <span> Voer belastingberekeningen uit en genereer PDF-retourzendingen die klaar zijn voor gebruik in één oplossing. </span> </li>
                        <li> <span> Geen boete voor verkopers voor belastingramingen van verlaten wagentjes. </span> </li>
                        <li> <span> Flexibele implementatieopties voldoen aan de behoeften van uw organisatie in de cloud of op locatie. </span> </li>
                        </ul>                        "
