"It is impossible to log user action","It is impossible to log user action"
"Error message","Съобщение за грешка"
"An error occurred while logging process.","An error occurred while logging process."
"Release Notification","Release Notification"
"What’s new with Magento 2.2.4","Какво е ново в Магенто 2.2.4"
"
                        <p>Magento 2.2.4 provides powerful new tools to help reduce cart abandonment and simplify store operations:</p>
                        <br />
                        <div class=""trusted-payments-highlight"">
                        <h3>Trusted Payment Options</h3>
                        <p>Online or on the go, your shoppers can easily purchase in a familiar, trusted way with Amazon Pay.</p>
                        </div>
                        <div class=""flexible-payments-highlight"">
                        <h3>Flexible Payment Terms</h3>
                        <p>Increase sales by providing shoppers with the flexibility to pay now, later, or in installments using Klarna&#8217;s integrated payment option.</p>
                        </div>
                        <div class=""tax-automation-highlight"">
                        <h3>Sales and Use Tax Automation</h3>
                        <p>Merchants can now automatically perform instant and accurate sales tax calculations on shopping cart items with Vertex Cloud.</p>
                        </div>
                        <p>To learn more, see the <a href=""http://devdocs.magento.com/guides/v2.2/release-notes/bk-release-notes.html"" target=""_blank"">Release Notes</a> and the <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank"">Magento User Guide</a>.</p>
                        ","
                        <p>Magento 2.2.4 предоставя мощни нови инструменти, за да помогне за намаляване на изоставените количкаи и опрости операциите:</p>
                        <br />
                        <div class=""trusted-payments-highlight"">
                        <h3> Опции за надеждно плащане</h3>
                        <p>Онлайн или в движение вашите купувачи лесно купуват в познат, надежден начин с Amazon Pay.</p>
                        </div>
                        <div class=""flexible-payments-highlight"">
                        <h3>Гъвкави условия на плащане</h3>
                        <p>Увеличаване на продажбите чрез предоставяне на гъвкавост, за да плащат сега,  по-късно, или на вноски, използвайки Klarna&#8217;s интегриранa опция за плащане.</p>
                        </div>
                        <div class=""tax-automation-highlight"">
                        <h3>Продажби и използване на автоматични данъчни ставки</h3>
                        <p>Търговците вече могат автоматично да изпълняват мигновенна и точна данъчни ставки върху продажбите в количката с Vertex Cloud.</p>
                        </div>
                        <p>За да научите повече, вижте <div class=""notranslate""> 38 < / Div > Бележките,</a> и <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank"">Ръководство за потребителя на Magento</a>.</p>
                        "
"Trusted Payment Options","Опции за надеждно плащане"
"<p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank"">Amazon Pay</a>, we make it simple for the hundreds of millions of Amazon customers worldwide to easily log in and purchase from your store using information already stored their Amazon account. With easy setup in Magento 2.2.4, Amazon Pay provides your customers with a trusted and familiar checkout experience. In just a few taps, they can complete a transaction without ever leaving your site.</p>
                        <ul>
                        <li><span>Your customers use one familiar login to identify themselves and transact anywhere Amazon Pay is offered.</span></li>
                        <li><span>Checkout experience is covered by the Amazon A-to-z Guarantee at no additional cost.</span></li>
                        <li><span>Built on years of Amazon eCommerce innovation, and trusted by merchants and buyers alike.</span></li>
                        <li><span>Available across platforms and devices, in the home and on the go.</span></li>
                        </ul>
                        ","<p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank"">Amazon Pay</a>, улесняваме стотици милиони клиенти на Amazon от цял свят да могат лесно да влизат и да купуват от магазина си посредством информация, която вече е съхранена в амазонската си сметка. С лесната настройка в Magento 2.2.4, Amazon Pay осигурява на вашите клиенти надежден и познат опит. Само с няколко кликания, те могат да завършат транзакция, без да напускат сайта ви.</p>
                        <ul>
                        <li><span>Вашите клиенти използват един познат вход, за да се идентифицират и да извършват транзакции навсякъде, където се предлага Amazon Pay.</span></li>
                        <li><span>Опитът в Checkout се покрива от гаранцията Amazon A-to-Z без допълнителни разходи.</span></li>
                        <li><span>Изграден на базата на иновациите в електронната търговия на Amazon, както и на търговците и купувачите.</span></li>
                        <li><span>Предлага се на различни платформи и устройства, в дома и в движение.</span></li>
                        </ul>
                        "
"Flexible Payment Terms","Гъвкави условия за плащане"
"
                        <p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"" target=""_blank"">Klarna</a>, reduce purchase stress and improve your shopping experience with several retail finance and direct-payment options that are easily integrated into your existing buying journey. Shoppers can choose to pay now by online payment or direct debit, pay later by invoice, or pay in installments.</p>
                        <ul>
                        <li><span>Customers never leave your site, and enjoy a smoother shopping experience.</span></li>
                        <li><span>Easy application process with the ability to pay over time increases average order value and conversion rates.</span></li>
                        <li><span>Assumes all credit and fraud risk, and ensures you are paid for ordered goods.</span></li>
                        <li><span>Ready for all devices, and enables shoppers to use their Klarna account at any Klarna merchant with just a few clicks.</span></li>
                        <li><span>Fast and easy setup, right from the Magento Admin.</span></li>
                        </ul>
                        ","
<p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"" target=""_blank"">Klarna</a>,намалете стреса от покупката и да подобрите практическата си работа при пазаруване с няколко опции за финансиране на дребно и директни плащания, които лесно могат да се интегрират в съществуващото ви пътуване за пазаруване. Купувачите могат да изберат да плащат сега чрез онлайн плащане или директен дебит, плащат по-късно по фактура или заплащат на вноски.</p>  
                       <ul>
                        <li><span>Клиентите никога не напускат сайта Ви и се наслаждават на по-приятно пазаруване.</span></li>                             <li><span>Лесният процес на кандидатстване с възможност за плащане в течение на времето увеличава средната стойност на поръчката и процентите на реализация.</span></li>  
                       <li><span>Намалява всички рискове по кредит и измами и гарантира, че сте платени за поръчаните стоки.</span></li>
                         <li><span>Готов за всички устройства и позволява на купувачите да използват своята сметка в Klarna при всеки търговец от Klarna само с няколко кликвания.</span></li>
                         <li><span>Бърза и лесна настройка, точно от администратора на Magento.</span></li>
                         </ul>                        "
"Sales and Use Tax Automation","Продажби и използване на данъчна автоматизация"
"
                        <p><a href=""http://docs.magento.com/m2/ce/user_guide/tax/vertex.html"" target=""_blank"">Vertex Cloud</a> combines sophisticated software with an exceptional team of tax experts to help Magento merchants simplify the sales tax process, and comply with ever-changing tax laws. Merchants can easily access and configure Vertex Cloud from the Magento Admin to meet complex tax challenges.</p>
                        <ul>
                        <li><span>Seamless integration with award-winning support for simple-to-complex tax needs.</span></li>
                        <li><span>Automatically comply with the latest tax rules for each product and every jurisdiction.</span></li>
                        <li><span>Perform tax calculations and generate signature-ready PDF returns in one solution.</span></li>
                        <li><span>No penalty to merchants for tax estimates from abandoned carts.</span></li>
                        <li><span>Flexible deployment options fit the needs of your organization in the cloud, or on premises.</span></li>
                        </ul>
                        ","
                        <p><a href=""http://docs.magento.com/m2/ce/user_guide/tax/vertex.html"" target=""_blank"">Vertex Cloud</a> съчетава усъвършенстван софтуер с изключителен екип от данъчни експерти за да помогне на Magento търговци да опростят процеса на данък върху продажбите и в съответствие с непрекъснато променящите данъчни закони. Търговците могат да лесно да достъпят и конфигурират Vertex Cloud от Magento администратор за дасе  отговори на сложни данъчни предизвикателства.</p>
                        <ul>
                        <li><span>Безпроблемна интеграция с всепризнатата поддръжка за прости и сложни данъчни нужди.</span></li>
                        <li><span>Автоматично в съответствие с най-новите данъчни правила за всеки продукт и за всяка юрисдикция./span></li>
                        <li><span>Изпълнява данъчните изчисления и генерира готов за подпис PDF се превръща в едно решение.</span></li>
                        <li><span>Нама наказание на търговците за данъчни оценки от изоставените колички.</span></li>
                        <li><span>Опции за гъвкаво разполагане отговарят на нуждите на вашата организация в облак, или в помещения.</span></li>
                        </ul>
                        "
"What's new with Magento 2.2.2","Какво е ново в Магенто 2.2.2"
