"It is impossible to log user action","It is impossible to log user action"
"Error message","Сообщение об ошибке"
"An error occurred while logging process.","An error occurred while logging process."
"Release Notification","Release Notification"
"What’s new with Magento 2.2.4","Что нового с Magento 2.2.4"
"
                        <p>Magento 2.2.4 provides powerful new tools to help reduce cart abandonment and simplify store operations:</p>
                        <br />
                        <div class=""trusted-payments-highlight"">
                        <h3>Trusted Payment Options</h3>
                        <p>Online or on the go, your shoppers can easily purchase in a familiar, trusted way with Amazon Pay.</p>
                        </div>
                        <div class=""flexible-payments-highlight"">
                        <h3>Flexible Payment Terms</h3>
                        <p>Increase sales by providing shoppers with the flexibility to pay now, later, or in installments using Klarna&#8217;s integrated payment option.</p>
                        </div>
                        <div class=""tax-automation-highlight"">
                        <h3>Sales and Use Tax Automation</h3>
                        <p>Merchants can now automatically perform instant and accurate sales tax calculations on shopping cart items with Vertex Cloud.</p>
                        </div>
                        <p>To learn more, see the <a href=""http://devdocs.magento.com/guides/v2.2/release-notes/bk-release-notes.html"" target=""_blank"">Release Notes</a> and the <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank"">Magento User Guide</a>.</p>
                        ","
                        <p>Magento 2.2.4 предоставляет новые мощные инструменты, чтобы помочь уменьшить оставления корзину и упростить операции хранения:</p>
                        <br />
                        <div class=""trusted-payments-highlight"">
                        <h3>доверенных оплаты варианты</h3>
                        <p>Онлайн или на ходу ваши покупатели могут легко приобрести в знакомые, доверенный путь с Amazon платить.</p>
                        </div>
                        <div class=""flexible-payments-highlight"">
                        <h3>гибкие условия оплаты</h3>
                        <p>увеличение продаж, предоставляя покупателям с гибкостью платить сейчас, позднее, или в рассрочку, используя Кейт&#8217;s интегрированный вариант оплаты.</p>
                        </div>
                        <div class=""tax-automation-highlight"">
                        <h3>продажи и использования налоговых автоматизации</h3>
                        <p>купцы теперь могут автоматически выполняют calcul мгновенный и точный налог с продаж по магазинам корзину предметы с вершины облако.</p>
                        </div>
                        <p>чтобы узнать больше, смотрите <div class=""notranslate""> 38 < / Div > выпуске</a> и <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank"">Magento руководство пользователя</a>.</p>-
                        "
"Trusted Payment Options","Варианты надежных платежей"
"<p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank"">Amazon Pay</a>, we make it simple for the hundreds of millions of Amazon customers worldwide to easily log in and purchase from your store using information already stored their Amazon account. With easy setup in Magento 2.2.4, Amazon Pay provides your customers with a trusted and familiar checkout experience. In just a few taps, they can complete a transaction without ever leaving your site.</p>
                        <ul>
                        <li><span>Your customers use one familiar login to identify themselves and transact anywhere Amazon Pay is offered.</span></li>
                        <li><span>Checkout experience is covered by the Amazon A-to-z Guarantee at no additional cost.</span></li>
                        <li><span>Built on years of Amazon eCommerce innovation, and trusted by merchants and buyers alike.</span></li>
                        <li><span>Available across platforms and devices, in the home and on the go.</span></li>
                        </ul>
                        ","<p>С <a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank"">Amazon Pay</a>, мы упрощаем доступ к сотням миллионов клиентов Amazon по всему миру, чтобы легко входить в систему и покупать их в вашем магазине, используя информацию, уже хранящую их учетную запись Amazon. Благодаря простой настройке в Magento 2.2.4 Amazon Pay предоставляет вашим клиентам надежный и знакомый опыт проверки. Всего за несколько кранов они могут совершить транзакцию, не покидая ваш сайт.</p>
                        <ul>
                        <li><span>Ваши клиенты используют один знакомый логин, чтобы идентифицировать себя и совершать транзакции в любом месте Amazon Pay.</span></li>
                        <li><span>Ознакомиться с опытом покупки можно по гарантии Amazon A-to-z без каких-либо дополнительных затрат.</span></li>
                        <li><span>Построенный на протяжении многих лет инноваций в области электронной коммерции Amazon и доверенных продавцам и покупателям.</span></li>
                        <li><span> Доступно на всех платформах и устройствах, дома и в пути.</span></li>
                        </ul>                        "
"Flexible Payment Terms","Гибкие условия оплаты"
"
                        <p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"" target=""_blank"">Klarna</a>, reduce purchase stress and improve your shopping experience with several retail finance and direct-payment options that are easily integrated into your existing buying journey. Shoppers can choose to pay now by online payment or direct debit, pay later by invoice, or pay in installments.</p>
                        <ul>
                        <li><span>Customers never leave your site, and enjoy a smoother shopping experience.</span></li>
                        <li><span>Easy application process with the ability to pay over time increases average order value and conversion rates.</span></li>
                        <li><span>Assumes all credit and fraud risk, and ensures you are paid for ordered goods.</span></li>
                        <li><span>Ready for all devices, and enables shoppers to use their Klarna account at any Klarna merchant with just a few clicks.</span></li>
                        <li><span>Fast and easy setup, right from the Magento Admin.</span></li>
                        </ul>
                        ","
<p>С помощью <a href=""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"" target=""_blank"">Klarna</a>, уменьшите нагрузку на покупку и улучшите свой опыт покупок с помощью нескольких вариантов розничного финансирования и прямых платежей, которые легко интегрируются в существующую покупку. Покупатели могут выбрать оплату через онлайн-платеж или прямой дебет, оплатить позже по счету или оплатить в рассрочку.</p>
                        <ul>
                        <li><span>Клиенты никогда не покидают ваш сайт и наслаждаются более плавным шопингом.</span></li>
                        <li><span>Легкий процесс подачи заявки с возможностью оплаты со временем увеличивает среднее значение заказа и коэффициенты конверсии.</span></li>
                        <li><span>Принимает все кредитные и мошеннические риски и гарантирует, что вы заплатите за заказанные товары.</span></li>
                        <li><span>Готов для всех устройств и позволяет покупателям использовать свой аккаунт Clarna у любого продавца Klarna всего за несколько кликов.</span></li>
                        <li><span>Быстрая и простая настройка, прямо из Magento Admin.</span></li>
                        </ul>                        "
"Sales and Use Tax Automation","Автоматизация продаж и использования"
