"It is impossible to log user action","Rejestrowanie działań użytkownika jest niemożliwe"
"Error message","Komunikat o błędzie"
"An error occurred while logging process.","Wystąpił błąd podczas rejestrowania procesu."
"Release Notification","Powiadomienie o zwolnieniu"
"What’s new with Magento 2.2.4","Co nowego w Magento 2.2.4"
"
                        <p>Magento 2.2.4 provides powerful new tools to help reduce cart abandonment and simplify store operations:</p>
                        <br />
                        <div class=""trusted-payments-highlight"">
                        <h3>Trusted Payment Options</h3>
                        <p>Online or on the go, your shoppers can easily purchase in a familiar, trusted way with Amazon Pay.</p>
                        </div>
                        <div class=""flexible-payments-highlight"">
                        <h3>Flexible Payment Terms</h3>
                        <p>Increase sales by providing shoppers with the flexibility to pay now, later, or in installments using Klarna&#8217;s integrated payment option.</p>
                        </div>
                        <div class=""tax-automation-highlight"">
                        <h3>Sales and Use Tax Automation</h3>
                        <p>Merchants can now automatically perform instant and accurate sales tax calculations on shopping cart items with Vertex Cloud.</p>
                        </div>
                        <p>To learn more, see the <a href=""http://devdocs.magento.com/guides/v2.2/release-notes/bk-release-notes.html"" target=""_blank"">Release Notes</a> and the <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank"">Magento User Guide</a>.</p>
                        ","
                        <p>Magento 2.2.4 zapewnia nowe, potężne narzędzia, które pomagają zmniejszyć liczbę porzuceń koszyka i uprościć operacje sklepu:</p>
                        <br />
                        <div class=""trusted-payments-highlight"">
                        <h3>Zaufane opcje płatności</h3>
                        <p>Online lub w podróży, Twoi klienci mogą łatwo kupować w znany, zaufany sposób dzięki Amazon Pay.</p>
                        </div>
                        <div class=""flexible-payments-highlight"">
                        <h3>Elastyczne warunki płatności</h3>
                        <p>Zwiększ sprzedaż, zapewniając kupującym elastyczność płacenia teraz, później lub w ratach za pomocą zintegrowanej opcji płatności Klarna.
                        </div>
                        <div class=""tax-automation-highlight"">
                        <h3>Automatyzacja podatku od sprzedaży i użytkowania</h3>
                        <p>Handlowcy mogą teraz automatycznie wykonywać natychmiastowe i dokładne obliczenia podatku od sprzedaży od pozycji w koszyku za pomocą Vertex Cloud.</p>
                        </div>
                        <p>Aby dowiedzieć się więcej, zobacz <a href=""http://devdocs.magento.com/guides/v2.2/release-notes/bk-release-notes.html"" target=""_blank"">Uwagi do wydania</a> i <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank"">Podręcznik użytkownika Magento</a>.</p>
                        "
"Trusted Payment Options","Zaufane opcje płatności"
"<p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank"">Amazon Pay</a>, we make it simple for the hundreds of millions of Amazon customers worldwide to easily log in and purchase from your store using information already stored their Amazon account. With easy setup in Magento 2.2.4, Amazon Pay provides your customers with a trusted and familiar checkout experience. In just a few taps, they can complete a transaction without ever leaving your site.</p>
                        <ul>
                        <li><span>Your customers use one familiar login to identify themselves and transact anywhere Amazon Pay is offered.</span></li>
                        <li><span>Checkout experience is covered by the Amazon A-to-z Guarantee at no additional cost.</span></li>
                        <li><span>Built on years of Amazon eCommerce innovation, and trusted by merchants and buyers alike.</span></li>
                        <li><span>Available across platforms and devices, in the home and on the go.</span></li>
                        </ul>
                        ","<p>Dzięki <a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank"">Amazon Pay</a> ułatwiamy setkom milionów klientów Amazon na całym świecie łatwe logowanie się i dokonywanie zakupów w Twoim sklepie przy użyciu informacji już zapisanych na ich koncie Amazon. Dzięki łatwej konfiguracji w Magento 2.2.4, Amazon Pay zapewnia klientom zaufane i znajome doświadczenie przy kasie. Wystarczy kilka dotknięć, aby sfinalizować transakcję bez opuszczania witryny.
                        <ul>
                        <li><span>Twoi klienci używają jednego znanego loginu do identyfikacji i dokonywania transakcji wszędzie tam, gdzie oferowana jest usługa Amazon Pay.</span></li>
                        <li><span>Obsługa płatności jest objęta gwarancją Amazon od A do Z bez dodatkowych kosztów.</span></li>
                        <li><span>Zbudowany w oparciu o lata innowacji Amazon eCommerce i cieszący się zaufaniem zarówno sprzedawców, jak i kupujących.</span></li>
                        <li><span>Dostępne na różnych platformach i urządzeniach, w domu i w podróży.</span></li>
                        </ul>
                        "
"Flexible Payment Terms","Elastyczne warunki płatności"
"
                        <p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"" target=""_blank"">Klarna</a>, reduce purchase stress and improve your shopping experience with several retail finance and direct-payment options that are easily integrated into your existing buying journey. Shoppers can choose to pay now by online payment or direct debit, pay later by invoice, or pay in installments.</p>
                        <ul>
                        <li><span>Customers never leave your site, and enjoy a smoother shopping experience.</span></li>
                        <li><span>Easy application process with the ability to pay over time increases average order value and conversion rates.</span></li>
                        <li><span>Assumes all credit and fraud risk, and ensures you are paid for ordered goods.</span></li>
                        <li><span>Ready for all devices, and enables shoppers to use their Klarna account at any Klarna merchant with just a few clicks.</span></li>
                        <li><span>Fast and easy setup, right from the Magento Admin.</span></li>
                        </ul>
                        ","
                        <p>Z <a href=""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"" target=""_blank"">Klarna</a>, zmniejsz stres związany z zakupami i popraw swoje doświadczenia zakupowe dzięki kilku opcjom finansowania detalicznego i płatności bezpośrednich, które można łatwo zintegrować z istniejącą ścieżką zakupową. Kupujący mogą wybrać płatność teraz za pomocą płatności online lub polecenia zapłaty, zapłacić później za pomocą faktury lub zapłacić w ratach.</p>
                        <ul>
                        <li><span>Klienci nigdy nie opuszczają Twojej witryny i cieszą się płynniejszymi zakupami.</span></li>
                        <li><span>Łatwy proces aplikacji z możliwością płatności w czasie zwiększa średnią wartość zamówienia i współczynniki konwersji.</span></li>
                        <li><span>Przyjmuje na siebie całe ryzyko kredytowe i ryzyko oszustwa oraz zapewnia zapłatę za zamówione towary.</span></li>
                        <li><span>Ready for all devices, and enables shoppers to use their Klarna account at any Klarna merchant with just a few clicks.</span></li>
                        <li><span>Szybka i łatwa konfiguracja, bezpośrednio z poziomu administratora Magento.</span></li>
                        </ul>
                        "
"Sales and Use Tax Automation","Automatyzacja podatku od sprzedaży i użytkowania"
