"It is impossible to log user action","Δεν είναι δυνατή η καταγραφή της ενέργειας χρήστη"
"Error message","Μήνυμα Σφάλματος"
"An error occurred while logging process.","Παρουσιάστηκε σφάλμα κατά τη διαδικασία καταγραφής."
"Release Notification","Ειδοποίηση Έκδοσης"
"What’s new with Magento 2.2.4","Τι νέο υπάρχει με το Magento 2.2.4"
"
                        <p>Magento 2.2.4 provides powerful new tools to help reduce cart abandonment and simplify store operations:</p>
                        <br />
                        <div class=""trusted-payments-highlight"">
                        <h3>Trusted Payment Options</h3>
                        <p>Online or on the go, your shoppers can easily purchase in a familiar, trusted way with Amazon Pay.</p>
                        </div>
                        <div class=""flexible-payments-highlight"">
                        <h3>Flexible Payment Terms</h3>
                        <p>Increase sales by providing shoppers with the flexibility to pay now, later, or in installments using Klarna&#8217;s integrated payment option.</p>
                        </div>
                        <div class=""tax-automation-highlight"">
                        <h3>Sales and Use Tax Automation</h3>
                        <p>Merchants can now automatically perform instant and accurate sales tax calculations on shopping cart items with Vertex Cloud.</p>
                        </div>
                        <p>To learn more, see the <a href=""http://devdocs.magento.com/guides/v2.2/release-notes/bk-release-notes.html"" target=""_blank"">Release Notes</a> and the <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank"">Magento User Guide</a>.</p>
                        ","
<p>Το Magento 2.2.4 παρέχει ισχυρά νέα εργαλεία για να μειώσετε την εγκατάλειψη του καλαθιού και να απλοποιήσετε τις λειτουργίες αποθήκευσης:</p>
                        <br />
                        <div class=""trusted-payments-highlight"">
                        <h3>Επιλογές αξιόπιστων πληρωμών</h3>
                        <p>Συνδεδεμένοι ή εν κινήσει, οι αγοραστές σας μπορούν εύκολα να αγοράσουν με έναν οικείο και αξιόπιστο τρόπο με την Amazon Pay.</p>
                        </div>
                        <div class=""flexible-payments-highlight"">
                        <h3>Ευέλικτοι όροι πληρωμής</h3>
                        <p>Αυξήστε τις πωλήσεις παρέχοντας στους αγοραστές την ευελιξία να πληρώσουν τώρα, αργότερα ή σε δόσεις χρησιμοποιώντας την ολοκληρωμένη επιλογή πληρωμής του Klarna.</p>
                        </div>
                        <div class=""tax-automation-highlight"">
                        <h3>Αυτόματη φορολογία πωλήσεων και χρήσης</h3>
                        <p>Οι έμποροι μπορούν τώρα να πραγματοποιούν αυτόματα ακριβείς και ακριβείς υπολογισμούς φόρου επί των πωλήσεων σε είδη καλαθιού αγορών με Cloud Cloud.</p>
                        </div>
                        <p>Για να μάθετε περισσότερα, ανατρέξτε στις <a href=""http://devdocs.magento.com/guides/v2.2/release-notes/bk-release-notes.html"" target=""_blank""> Σημειώσεις έκδοσης</a> και τον <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank"">Οδηγό χρήστη Magento</a>.</p>                        "
"Trusted Payment Options","Επιλογές Αξιόπιστων Πληρωμών"
"<p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank"">Amazon Pay</a>, we make it simple for the hundreds of millions of Amazon customers worldwide to easily log in and purchase from your store using information already stored their Amazon account. With easy setup in Magento 2.2.4, Amazon Pay provides your customers with a trusted and familiar checkout experience. In just a few taps, they can complete a transaction without ever leaving your site.</p>
                        <ul>
                        <li><span>Your customers use one familiar login to identify themselves and transact anywhere Amazon Pay is offered.</span></li>
                        <li><span>Checkout experience is covered by the Amazon A-to-z Guarantee at no additional cost.</span></li>
                        <li><span>Built on years of Amazon eCommerce innovation, and trusted by merchants and buyers alike.</span></li>
                        <li><span>Available across platforms and devices, in the home and on the go.</span></li>
                        </ul>
                        ","<p>Με το <a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank""> Amazon Pay</a>, το καθιστούμε απλό για τα εκατοντάδες εκατομμύρια των πελατών της Amazon σε όλο τον κόσμο για να συνδεθείτε εύκολα και να αγοράσετε από το κατάστημά σας χρησιμοποιώντας πληροφορίες που έχουν ήδη αποθηκευτεί στο λογαριασμό τους στο Amazon. Με την εύκολη εγκατάσταση στο Magento 2.2.4, η Amazon Pay παρέχει στους πελάτες σας μια αξιόπιστη και οικεία εμπειρία checkout. Με λίγες βρύσες, μπορούν να ολοκληρώσουν μια συναλλαγή χωρίς να εγκαταλείψουν ποτέ τον ιστότοπό σας.</p>
                        <ul>
                        <li><span>Οι πελάτες σας χρησιμοποιούν ένα γνωστό όνομα σύνδεσης για να εντοπίσουν και να πραγματοποιήσουν συναλλαγές οπουδήποτε προσφέρεται το Amazon Pay.</span></li>
                        <li><span>Η εμπειρία Ολοκλήρωσης Παραγγελίας καλύπτεται από την Εγγύηση A-to-Z του Amazon χωρίς πρόσθετο κόστος.</span></li>
                        <li><span>Κατασκευασμένο σε χρόνια καινοτομίας του ηλεκτρονικού εμπορίου του Amazon, και εμπιστευόμενο από τους εμπόρους και τους αγοραστές.</span></li>
                        <li><span>Διατίθεται σε διάφορες πλατφόρμες και συσκευές, στο σπίτι και εν κινήσει.</span></li>
                        </ul>                        "
"Flexible Payment Terms","Ευέλικτοι Όροι Πληρωμής"
"
                        <p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"" target=""_blank"">Klarna</a>, reduce purchase stress and improve your shopping experience with several retail finance and direct-payment options that are easily integrated into your existing buying journey. Shoppers can choose to pay now by online payment or direct debit, pay later by invoice, or pay in installments.</p>
                        <ul>
                        <li><span>Customers never leave your site, and enjoy a smoother shopping experience.</span></li>
                        <li><span>Easy application process with the ability to pay over time increases average order value and conversion rates.</span></li>
                        <li><span>Assumes all credit and fraud risk, and ensures you are paid for ordered goods.</span></li>
                        <li><span>Ready for all devices, and enables shoppers to use their Klarna account at any Klarna merchant with just a few clicks.</span></li>
                        <li><span>Fast and easy setup, right from the Magento Admin.</span></li>
                        </ul>
                        ","
<p>Με <a href=""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"" target=""_blank"">Klarna</a>, μειώστε το άγχος της αγοράς και βελτιώστε την εμπειρία αγορών σας με πολλές επιλογές χρηματοδότησης λιανικής και άμεσης πληρωμής που ενσωματώνονται εύκολα στο υπάρχον ταξίδι αγορών σας. Οι αγοραστές μπορούν να επιλέξουν να πληρώσουν τώρα μέσω ηλεκτρονικής πληρωμής ή άμεσης χρέωσης, να πληρώσουν αργότερα με τιμολόγιο ή να πληρώσουν σε δόσεις.</p>
                        <ul>
                        <li><span>Οι πελάτες δεν αφήνουν ποτέ τον ιστότοπό σας και απολαμβάνουν μια ομαλότερη εμπειρία αγορών.</span></li>
                        <li><span>Η εύκολη διαδικασία υποβολής αιτήσεων με δυνατότητα πληρωμής με την πάροδο του χρόνου αυξάνει τη μέση τιμή παραγγελίας και τους συντελεστές μετατροπής.</span></li>
                        <li><span>Αναλαμβάνει όλους τους κινδύνους πιστωτικών κινδύνων και απάτης και διασφαλίζει ότι πληρώνεστε για παραγγελθέντα αγαθά.</span></li>
                        <li><span>Έτοιμη για όλες τις συσκευές και επιτρέπει στους αγοραστές να χρησιμοποιούν το λογαριασμό Klarna σε οποιονδήποτε έμπορο Klarna με μερικά μόνο κλικ.</span></li>
                        <li><span>Γρήγορη και εύκολη εγκατάσταση, απευθείας από το διαχειριστή Magento.</span></li>
                        </ul>                        "
"Sales and Use Tax Automation","Αυτοματοποίηση Πωλήσεων και Χρήσης Φορολογίας"
