"It is impossible to log user action","Il est impossible de consigner l'action de l'utilisateur"
"Error message","Message d'erreur"
"An error occurred while logging process.","Une erreur s'est produite lors de la journalisation."
"Release Notification","Notification de version"
"What’s new with Magento 2.2.4","Quoi de neuf avec Magento 2.2.4"
"
                        <p>Magento 2.2.4 provides powerful new tools to help reduce cart abandonment and simplify store operations:</p>
                        <br />
                        <div class=""trusted-payments-highlight"">
                        <h3>Trusted Payment Options</h3>
                        <p>Online or on the go, your shoppers can easily purchase in a familiar, trusted way with Amazon Pay.</p>
                        </div>
                        <div class=""flexible-payments-highlight"">
                        <h3>Flexible Payment Terms</h3>
                        <p>Increase sales by providing shoppers with the flexibility to pay now, later, or in installments using Klarna&#8217;s integrated payment option.</p>
                        </div>
                        <div class=""tax-automation-highlight"">
                        <h3>Sales and Use Tax Automation</h3>
                        <p>Merchants can now automatically perform instant and accurate sales tax calculations on shopping cart items with Vertex Cloud.</p>
                        </div>
                        <p>To learn more, see the <a href=""http://devdocs.magento.com/guides/v2.2/release-notes/bk-release-notes.html"" target=""_blank"">Release Notes</a> and the <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank"">Magento User Guide</a>.</p>
                        ","
                        <p>Magento 2.2.4 fournit de nouveaux outils puissants pour aider à réduire l'abandon du panier et simplifier les opérations de magasin :</p>
                        <br />
                        <div class=""trusted-payments-highlight"">
                        <h3>Options de paiement Trusted</h3>
                        <p>En ligne ou en aller, vos clients peuvent facilement acheter de manière familière et fiable avec Amazon Pay.</p>
                        </div>
                        <div class=""flexible-payments-highlight"">
                        <h3>Modalités de paiement flexibles</h3>
                        <p>Augmente les ventes en fournissant aux acheteurs la flexibilité de payer maintenant, plus tard, ou dans les versements utilisant l'option de paiement intégrée de Klarna&#8217;.</p>
                        </div>
                        <div class=""tax-automation-highlight"">
                        <h3>Ventes et utilisation de l'Automation fiscale</h3>
                        <p>Les marchands peuvent désormais effectuer automatiquement des calculs de taxe de vente instantanée et précise sur les articles de panier avec Vertex Cloud.</p>
                        </div>
                        <p>Pour en savoir plus, voir les <a href=""http://devdocs.magento.com/guides/v2.2/release-notes/bk-release-notes.html"" target=""_blank"">Notes de publication</a> et le <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank"">Guide d'utilisateur Magento</a>.</p>
                        "
"Trusted Payment Options","Options Trusted Payment"
"<p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank"">Amazon Pay</a>, we make it simple for the hundreds of millions of Amazon customers worldwide to easily log in and purchase from your store using information already stored their Amazon account. With easy setup in Magento 2.2.4, Amazon Pay provides your customers with a trusted and familiar checkout experience. In just a few taps, they can complete a transaction without ever leaving your site.</p>
                        <ul>
                        <li><span>Your customers use one familiar login to identify themselves and transact anywhere Amazon Pay is offered.</span></li>
                        <li><span>Checkout experience is covered by the Amazon A-to-z Guarantee at no additional cost.</span></li>
                        <li><span>Built on years of Amazon eCommerce innovation, and trusted by merchants and buyers alike.</span></li>
                        <li><span>Available across platforms and devices, in the home and on the go.</span></li>
                        </ul>
                        ","<p>Avec <a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank"">Amazon Pay</a>, nous rendons simple pour les centaines de millions de clients Amazon dans le monde de se connecter et d'acheter facilement à partir de votre boutique en utilisant des informations déjà stockées leur compte Amazon. Avec une configuration facile dans Magento 2.2.4, Amazon Pay offre à vos clients une expérience de paiement fiable et familière. En quelques clics, ils peuvent effectuer une transaction sans jamais quitter votre site.</p>
                        <ul>
                        <li><span>Vos clients utilisent une connexion familière pour s'identifier et faire des transactions n'importe où Amazon Pay est offert.</span></li>
                        <li><span>L'expérience de paiement est couverte par la garantie Amazon A-to-z sans frais supplémentaires.</span></li>
                        <li><span>Construit sur des années d'innovation Amazon eCommerce, et fiable par les marchands et les acheteurs.</span></li>
                        <li><span>Disponible sur les plates-formes et les appareils, dans la maison et sur le chemin.</span></li>
                        </ul>
                        "
"Flexible Payment Terms","Conditions de paiement flexibles"
"
                        <p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"" target=""_blank"">Klarna</a>, reduce purchase stress and improve your shopping experience with several retail finance and direct-payment options that are easily integrated into your existing buying journey. Shoppers can choose to pay now by online payment or direct debit, pay later by invoice, or pay in installments.</p>
                        <ul>
                        <li><span>Customers never leave your site, and enjoy a smoother shopping experience.</span></li>
                        <li><span>Easy application process with the ability to pay over time increases average order value and conversion rates.</span></li>
                        <li><span>Assumes all credit and fraud risk, and ensures you are paid for ordered goods.</span></li>
                        <li><span>Ready for all devices, and enables shoppers to use their Klarna account at any Klarna merchant with just a few clicks.</span></li>
                        <li><span>Fast and easy setup, right from the Magento Admin.</span></li>
                        </ul>
                        ","
                        <p>Avec <a href=""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"" target=""_blank"">Klarna</a>, réduisez le stress de l'achat et améliorez votre expérience de magasinage avec plusieurs options de financement au détail et de paiement direct qui sont facilement intégrées dans votre voyage d'achat existant. Les clients peuvent choisir de payer dès maintenant par paiement en ligne ou par débit direct, payer plus tard par facture ou payer en versements.</p>
                        <ul>
                        <li><span>Les clients ne quittent jamais votre site, et jouissent d'une expérience de magasinage plus lisse.</span></li>
                        <li><span>Le processus d'application facile avec la capacité de payer au fil du temps augmente la valeur moyenne de la commande et les taux de conversion.</span></li>
                        <li><span>Assume tous les risques de crédit et de fraude, et s'assure que vous êtes payé pour les marchandises commandées.</span></li>
                        <li><span>Prêt pour tous les appareils, et permet aux acheteurs d'utiliser leur compte Klarna à n'importe quel marchand Klarna avec quelques clics.</span></li>
                        <li><span>Réglage rapide et facile, à droite de l'Admin Magento.</span></li>
                        </ul>
                        "
"Sales and Use Tax Automation","Automatisation des taxes de ventes"
