"It is impossible to log user action","It is impossible to log user action"
"Error message","Порука грешке"
"An error occurred while logging process.","Дошло је до грешке wхиле логгинг процесс."
"Release Notification","Релеасе Обавештење"
"What’s new with Magento 2.2.4","Шта је ново у Магенто 2.2.4"
"
                        <p>Magento 2.2.4 provides powerful new tools to help reduce cart abandonment and simplify store operations:</p>
                        <br />
                        <div class=""trusted-payments-highlight"">
                        <h3>Trusted Payment Options</h3>
                        <p>Online or on the go, your shoppers can easily purchase in a familiar, trusted way with Amazon Pay.</p>
                        </div>
                        <div class=""flexible-payments-highlight"">
                        <h3>Flexible Payment Terms</h3>
                        <p>Increase sales by providing shoppers with the flexibility to pay now, later, or in installments using Klarna&#8217;s integrated payment option.</p>
                        </div>
                        <div class=""tax-automation-highlight"">
                        <h3>Sales and Use Tax Automation</h3>
                        <p>Merchants can now automatically perform instant and accurate sales tax calculations on shopping cart items with Vertex Cloud.</p>
                        </div>
                        <p>To learn more, see the <a href=""http://devdocs.magento.com/guides/v2.2/release-notes/bk-release-notes.html"" target=""_blank"">Release Notes</a> and the <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank"">Magento User Guide</a>.</p>
                        ","
                        <п>Магенто 2.2.4 пружа моћне нове алате који помажу у смањењу напуштања корпе и поједностављују операције продавнице:</п>
                        <бр />
                        <див цласс=""трустед-паyментс-хигхлигхт"">
                        <х3>Поуздане опције плаћања</х3>
                        <п>Онлине или у покрету, ваши купци могу лако купити на познат, поуздан начин са Амазон Паy.</п>
                        </див>
                        <див цласс=""флеxибле-паyментс-хигхлигхт"">
                        <х3>Флексибилни услови плаћања</х3>
                        <п>Повећајте продају пружајући купцима флексибилност да плате сада, касније, или на рате користећи Кларна интегрисану опцију плаћања.</п>
                        </див>
                        <див цласс=""таx-аутоматион-хигхлигхт"">
                        <х3>Аутоматизација пореза на промет</х3>
                        <п>Трговци сада могу аутоматски да извршавају тренутне и тачне обрачуне пореза на промет на ставке у корпи са Вертеx Цлоуд.</п>
                        </див>
                        <п>Да сазнате више, погледајте <а хреф=""хттп://девдоцс.магенто.цом/гуидес/в2.2/релеасе-нотес/бк-релеасе-нотес.хтмл"" таргет=""_бланк"">Белешке о издању</а> анд тхе <а хреф=""хттп://доцс.магенто.цом/м2/це/усер_гуиде/геттинг-стартед.хтмл"" таргет=""_бланк"">Магенто кориснички водич</а>.</п>
                        "
"Trusted Payment Options","Трустед Плаћање Оптионс"
"<p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank"">Amazon Pay</a>, we make it simple for the hundreds of millions of Amazon customers worldwide to easily log in and purchase from your store using information already stored their Amazon account. With easy setup in Magento 2.2.4, Amazon Pay provides your customers with a trusted and familiar checkout experience. In just a few taps, they can complete a transaction without ever leaving your site.</p>
                        <ul>
                        <li><span>Your customers use one familiar login to identify themselves and transact anywhere Amazon Pay is offered.</span></li>
                        <li><span>Checkout experience is covered by the Amazon A-to-z Guarantee at no additional cost.</span></li>
                        <li><span>Built on years of Amazon eCommerce innovation, and trusted by merchants and buyers alike.</span></li>
                        <li><span>Available across platforms and devices, in the home and on the go.</span></li>
                        </ul>
                        ","<п>Wитх <а хреф=""хттп://доцс.магенто.цом/м2/це/усер_гуиде/паyмент/амазон-паy.хтмл"" таргет=""_бланк"">Амазон Паy</а>, Чинимо једноставним за стотине милиона Амазон купаца широм света да се лако пријаве и купе из ваше продавнице користећи информације које су већ сачуване у њиховом Амазон налогу. Уз једноставно подешавање у Магенто 2.2.4, Амазон Паy пружа вашим купцима поуздано и познато искуство наплате. У само неколико додира, могу завршити трансакцију без напуштања вашег сајта.</п>
                        <ул>
                        <ли><спан>Ваши купци користе један познати логин да се идентификују и обављају трансакције било где где је Амазон Паy доступан.</спан></ли>
                        <ли><спан>Искуство наплате је покривено Амазон А-то-з гарантијом без додатних трошкова.</спан></ли>
                        <ли><спан>Изграђено на годинама Амазон еЦоммерце иновација, и поуздано од стране трговаца и купаца.</спан></ли>
                        <ли><спан>Доступно на свим платформама и уређајима, код куће и у покрету.</спан></ли>
                        </ул>
                        "
"Flexible Payment Terms","Флеxибле Плаћање Термс"
"
                        <p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"" target=""_blank"">Klarna</a>, reduce purchase stress and improve your shopping experience with several retail finance and direct-payment options that are easily integrated into your existing buying journey. Shoppers can choose to pay now by online payment or direct debit, pay later by invoice, or pay in installments.</p>
                        <ul>
                        <li><span>Customers never leave your site, and enjoy a smoother shopping experience.</span></li>
                        <li><span>Easy application process with the ability to pay over time increases average order value and conversion rates.</span></li>
                        <li><span>Assumes all credit and fraud risk, and ensures you are paid for ordered goods.</span></li>
                        <li><span>Ready for all devices, and enables shoppers to use their Klarna account at any Klarna merchant with just a few clicks.</span></li>
                        <li><span>Fast and easy setup, right from the Magento Admin.</span></li>
                        </ul>
                        ","
                        <п>Wитх <а хреф=""хттп://доцс.магенто.цом/м2/це/усер_гуиде/паyмент/кларна.хтмл"" таргет=""_бланк"">Кларна</а>, смањите стрес при куповини и побољшајте искуство куповине са неколико опција финансирања и директног плаћања које се лако интегришу у ваше постојеће путовање куповине. Купци могу изабрати да плате сада онлине плаћањем или директним задужењем, плате касније путем фактуре, или плате на рате.</п>
                        <ул>
                        <ли><спан>Купци никада не напуштају ваш сајт и уживају у глаткијем искуству куповине.</спан></ли>
                        <ли><спан>Једноставан процес пријаве са могућношћу плаћања на рате повећава просечну вредност поруџбине и стопе конверзије.</спан></ли>
                        <ли><спан>Преузима сав кредитни ризик и ризик од превара и осигурава да будете плаћени за наручену робу.</спан></ли>
                        <ли><спан>Спреман за све уређаје и омогућава купцима да користе свој Кларна налог код било ког Кларна трговца са само неколико кликова.</спан></ли>
                        <ли><спан>Брзо и једноставно подешавање, директно из Магенто Админа.</спан></ли>
                        </ул>
                        "
"Sales and Use Tax Automation","Продаја анд Усе Порез Аутоматион"
