"It is impossible to log user action","ユーザーアクションを記録できません"
"Error message","エラーメッセージ"
"An error occurred while logging process.","ログ処理中にエラーが発生しました。"
"Release Notification","リリース通知"
"What’s new with Magento 2.2.4","Magento 2.2.4の新機能"
"
                        <p>Magento 2.2.4 provides powerful new tools to help reduce cart abandonment and simplify store operations:</p>
                        <br />
                        <div class=""trusted-payments-highlight"">
                        <h3>Trusted Payment Options</h3>
                        <p>Online or on the go, your shoppers can easily purchase in a familiar, trusted way with Amazon Pay.</p>
                        </div>
                        <div class=""flexible-payments-highlight"">
                        <h3>Flexible Payment Terms</h3>
                        <p>Increase sales by providing shoppers with the flexibility to pay now, later, or in installments using Klarna&#8217;s integrated payment option.</p>
                        </div>
                        <div class=""tax-automation-highlight"">
                        <h3>Sales and Use Tax Automation</h3>
                        <p>Merchants can now automatically perform instant and accurate sales tax calculations on shopping cart items with Vertex Cloud.</p>
                        </div>
                        <p>To learn more, see the <a href=""http://devdocs.magento.com/guides/v2.2/release-notes/bk-release-notes.html"" target=""_blank"">Release Notes</a> and the <a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank"">Magento User Guide</a>.</p>
                        ","
                        <p>Magento 2.2.4は、カートの放棄を減らし、店舗運営を簡素化する強力な新しいツールを提供します：</p>
                        <br />
                        <div class=""trusted-payments-highlight"">
                        <h3>信用できる支払いオプション</h3>
                        <p>オンラインまたは外出先で、あなたの買い物客は、Amazon Payでおなじみの信頼できる方法で簡単に購入できます。</p>
                        </div>
                        <div class=""flexible-payments-highlight"">
                        <h3>柔軟な支払い条件</h3>
                        <p>買い物客にKlarnaの統合支払いオプションを使用して、今すぐ、後で、または分割払いで支払う柔軟性を提供することで、売上を増やすことができます。</p>
                        </div>
                        <div class=""tax-automation-highlight"">
                        <h3>セールスと税務オートメーションの使用</h3>
                        <p>マーチャントは、Vertex Cloudを使用してショッピングカートアイテムに対して即座に正確な売上税計算を自動的に実行できるようになりました。</p>
                        </div>
                        <p>詳細については、<a href=""http://devdocs.magento.com/guides/v2.2/release-notes/bk-release-notes.html"" target=""_blank"">リリースノート</a>と<a href=""http://docs.magento.com/m2/ce/user_guide/getting-started.html"" target=""_blank"">Magentoユーザガイド</a>をご覧ください。</p>
                                            "
"Trusted Payment Options","信用できる支払いオプション"
"<p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank"">Amazon Pay</a>, we make it simple for the hundreds of millions of Amazon customers worldwide to easily log in and purchase from your store using information already stored their Amazon account. With easy setup in Magento 2.2.4, Amazon Pay provides your customers with a trusted and familiar checkout experience. In just a few taps, they can complete a transaction without ever leaving your site.</p>
                        <ul>
                        <li><span>Your customers use one familiar login to identify themselves and transact anywhere Amazon Pay is offered.</span></li>
                        <li><span>Checkout experience is covered by the Amazon A-to-z Guarantee at no additional cost.</span></li>
                        <li><span>Built on years of Amazon eCommerce innovation, and trusted by merchants and buyers alike.</span></li>
                        <li><span>Available across platforms and devices, in the home and on the go.</span></li>
                        </ul>
                        ","<p><a href=""http://docs.magento.com/m2/ce/user_guide/payment/amazon-pay.html"" target=""_blank"">Amazon Pay</a>を利用することで、世界中の何億人ものAmazonのお客様が、すでにAmazonアカウントに保存されている情報を使用して、簡単にログインしてストアから購入できるようにします。 Magento 2.2.4より、簡単なセットアップでAmazon Payは信頼できる使い慣れたチェックアウト体験を顧客に提供します。数回タップするだけで、サイトを離れることなくトランザクションを完了できます。</p>
                        <ul>
                        <li><span>顧客は使い慣れたログイン機能を通して認証処理を行うことができ、Amazon Payが提供されている場所で取引を行うことができます。</span></li>
                        <li><span>チェックアウト機能は、追加費用なしでAmazonマーケットプレイス保証の対象となります。</span></li>
                        <li><span>長年にわたるAmazon eコマースの革新に基づいて構築されており、販売者と購入者の両方から信頼されています。</span></li>
                        <li><span>プラットフォームやデバイスを問わず、自宅でも外出先でも利用できます。</span></li>
                        </ul>
                        "
"Flexible Payment Terms","柔軟な支払い条件"
"
                        <p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"" target=""_blank"">Klarna</a>, reduce purchase stress and improve your shopping experience with several retail finance and direct-payment options that are easily integrated into your existing buying journey. Shoppers can choose to pay now by online payment or direct debit, pay later by invoice, or pay in installments.</p>
                        <ul>
                        <li><span>Customers never leave your site, and enjoy a smoother shopping experience.</span></li>
                        <li><span>Easy application process with the ability to pay over time increases average order value and conversion rates.</span></li>
                        <li><span>Assumes all credit and fraud risk, and ensures you are paid for ordered goods.</span></li>
                        <li><span>Ready for all devices, and enables shoppers to use their Klarna account at any Klarna merchant with just a few clicks.</span></li>
                        <li><span>Fast and easy setup, right from the Magento Admin.</span></li>
                        </ul>
                        ","
                        <p>With <a href=""http://docs.magento.com/m2/ce/user_guide/payment/klarna.html"" target=""_blank"">Klarna</a>, reduce purchase stress and improve your shopping experience with several retail finance and direct-payment options that are easily integrated into your existing buying journey. Shoppers can choose to pay now by online payment or direct debit, pay later by invoice, or pay in installments.</p>
                        <ul>
                        <li><span>Customers never leave your site, and enjoy a smoother shopping experience.</span></li>
                        <li><span>Easy application process with the ability to pay over time increases average order value and conversion rates.</span></li>
                        <li><span>Assumes all credit and fraud risk, and ensures you are paid for ordered goods.</span></li>
                        <li><span>Ready for all devices, and enables shoppers to use their Klarna account at any Klarna merchant with just a few clicks.</span></li>
                        <li><span>Fast and easy setup, right from the Magento Admin.</span></li>
                        </ul>
                        "
"Sales and Use Tax Automation","セールスと税務オートメーションの使用"
