"Credit Memos","Kreeditarved"
"Orders","Tellimused"
"Invoices","Arved"
"We can't get the order instance right now.","Tellimus on hetkel kättesaamatu."
"Create New Order","Loo uus tellimus"
"Save Order Address","Salvesta tellimuse aadress"
"Shipping","Tarne"
"Billing","Arveldamine"
"Edit Order %1 %2 Address","Edit Order %1 %2 Address"
"Order Address Information","Order Address Information"
"Please correct the parent block for this block.","Please correct the parent block for this block."
"Submit Comment","Esita kommentaar"
"Submit Order","Esita tellimus"
"Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Cancel","Tühista"
"Billing Address","Arveldusaadress"
"Payment Method","Makseviis"
"Order Comment","Tellimuse märkused"
"Coupons","Kupongid"
"Please select a customer","Vali klient"
"Create New Customer","Loo uus klient"
"Account Information","Konto andmed"
"From","Kellelt"
"To","Kellele"
"Message","Sõnum"
"Edit Order #%1","Muuda tellimust #%1"
"Create New Order for %1 in %2","Create New Order for %1 in %2"
"Create New Order in %1","Create New Order in %1"
"Create New Order for %1","Create New Order for %1"
"Create New Order for New Customer","Loo uus tellimus uuele kliendile"
"Items Ordered","Tellitud kaubad"
"This product is disabled.","This product is disabled."
"Buy %1 for price %2","Buy %1 for price %2"
"Item ordered qty","Item ordered qty"
"%1 with %2 discount each","%1 with %2 discount each"
"%1 for %2","%1 for %2"
"* - Enter custom price including tax","* - Enter custom price including tax"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"Configure","Seadista"
"This product does not have any configurable options","Sellel tootel puuduvad konfigureeritavad võimalused"
"Newsletter Subscription","Uudiskirja tellimine"
"Please select products","Valige tooted"
"Add Selected Product(s) to Order","Add Selected Product(s) to Order"
"ID","ID"
"Product","Toode"
"SKU","Laokood"
"Price","Hind"
"Select","Vali"
"Quantity","Kogus"
"Shipping Address","Tarneaadress"
"Shipping Method","Tarneviis"
"Update Changes","Update Changes"
"Shopping Cart","Ostukorv"
"Are you sure you want to delete all items from shopping cart?","Olete kindel et soovite kustutada kõik tooted ostukorvist?"
"Clear Shopping Cart","Tühjenda ostukorv"
"Products in Comparison List","Tooted võrdlusnimekirjas"
"Recently Compared Products","Viimati võrreldud tooted"
"Recently Viewed Products","Viimati vaadatud tooted"
"Last Ordered Items","Viimati tellitud tooted"
"Recently Viewed","Viimati vaadatud"
"Wish List","Soovinimekiri"
"Please select a store","Valige pood"
"Order Totals","Tellimus kokku"
"Shipping Incl. Tax (%1)","Tarne maksuga (%1)"
"Shipping Excl. Tax (%1)","Tarne maksuta (%1)"
"New Credit Memo for Invoice #%1","Uus kreeditarve arvele #%1"
"New Credit Memo for Order #%1","Uud kreeditarve tellimusele #%1"
"Refund Shipping (Incl. Tax)","Tagasta tarne (maksuga)"
"Refund Shipping (Excl. Tax)","Tagasta tarne (maksuta)"
"Refund Shipping","Tagasta tarne"
"Update Qty's","Update Qty's"
"Update Totals","Update Totals"
"Refund","Tagastus"
"Refund Offline","Refund Offline"
"Paid Amount","Makstud summa"
"Refund Amount","Tagastuse summa"
"Shipping Amount","Tarne summa"
"Shipping Refund","Tarne tagastus"
"Order Grand Total","Tellimuse kogusumma"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Adjustment Fee"
"Send Email","Saada kiri"
"Are you sure you want to send a credit memo email to customer?","Olete kindel et soovite saata kreeditarve e-posti kliendile?"
"Void","Void"
"Print","Trüki"
"The credit memo email was sent.","The credit memo email was sent."
"The credit memo email wasn't sent.","The credit memo email wasn't sent."
"Credit Memo #%1 | %3 | %2 (%4)","Credit Memo #%1 | %3 | %2 (%4)"
"Total Refund","Tagastus kokku"
"New Invoice and Shipment for Order #%1","New Invoice and Shipment for Order #%1"
"New Invoice for Order #%1","Uus arve tellimusele #%1"
"Submit Invoice and Shipment","Submit Invoice and Shipment"
"Submit Invoice","Esita arve"
"Are you sure you want to send an invoice email to customer?","Are you sure you want to send an invoice email to customer?"
"Credit Memo","Kreeditarve"
"Capture","Capture"
"The invoice email was sent.","Arve e-post on saadetud."
"The invoice email wasn't sent.","Arve e-post on saatmata."
"Invoice #%1 | %2 | %4 (%3)","Invoice #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","Invalid parent block for this block"
"Order Statuses","Tellimuste olekud"
