"Credit Memos","Reembolsos"
"Orders","Pedidos"
"Invoices","Facturas"
"We can't get the order instance right now.","No se puede obtener la instancia del pedido en este momento."
"Create New Order","Crear nuevo pedido"
"Save Order Address","Guardar dirección para el pedido"
"Shipping","Envío"
"Billing","Facturación"
"Edit Order %1 %2 Address","Editar la dirección del pedido %1 %2"
"Order Address Information","Información de la dirección del pedido"
"Please correct the parent block for this block.","Por favor corregir el bloque padre de este bloque."
"Submit Comment","Enviar comentario"
"Submit Order","Realizar pedido"
"Are you sure you want to cancel this order?","¿Realmente quiere cancelar este pedido?"
"Cancel","Cancelar"
"Billing Address","Dirección de facturación"
"Payment Method","Método de pago"
"Order Comment","Comentario del pedido"
"Coupons","Cupones"
"Please select a customer","Por favor seleccione un cliente"
"Create New Customer","Crear nuevo cliente"
"Account Information","Información de la cuenta"
"From","Desde"
"To","Hasta"
"Message","Mensaje"
"Edit Order #%1","Editar el pedido #%1"
"Create New Order for %1 in %2","Crear nuevo pedido para %1 en %2"
"Create New Order in %1","Crear nuevo pedido en %1"
"Create New Order for %1","Crear nuevo pedido de %1"
"Create New Order for New Customer","Crear nuevo pedido para el nuevo cliente"
"Items Ordered","Artículos pedidos"
"This product is disabled.","Este artículo está desactivado."
"Buy %1 for price %2","Compre %1 para el precio de %2"
"Item ordered qty","Cantidad de artículos pedidos"
"%1 with %2 discount each","%1 con %2 de descuento cada uno"
"%1 for %2","%1 para %2"
"* - Enter custom price including tax","* - Introduzca el precio a medida con impuestos"
"* - Enter custom price excluding tax","* - Introduzca el precio a medida sin impuestos"
"Configure","Configurar"
"This product does not have any configurable options","Este artículo no tiene ninguna opción configurable"
"Newsletter Subscription","Suscripción al boletín informativo"
"Please select products","Por favor, seleccione artículos"
"Add Selected Product(s) to Order","Añadir el(los) artículo(s) seleccionado(s) al pedido"
"ID","Número de Identificación (ID)"
"Product","Producto"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Price","Precio"
"Select","Seleccionar"
"Quantity","Cantidad"
