"Credit Memos","Кредитни белешки"
"Orders","Нарачки"
"Invoices","Invoices"
"We can't get the order instance right now.","We can't get the order instance right now."
"Create New Order","Креирај нова нарачка"
"Save Order Address","Зачувај адреса на нарачка"
"Shipping","Испорака"
"Billing","Плаќање"
"Edit Order %1 %2 Address","Edit Order %1 %2 Address"
"Order Address Information","Информации за адресата на нарачката"
"Please correct the parent block for this block.","Please correct the parent block for this block."
"Submit Comment","Испрати Коментар"
"Submit Order","Поднеси нарачка"
"Are you sure you want to cancel this order?","Дали сте сигурни дека сакате да ја отстраните оваа нарачка?"
"Cancel","Откажи"
"Billing Address","Адреса за плаќање"
"Payment Method","Начин на плаќање"
"Order Comment","Коментар за нарачката"
"Coupons","Coupons"
"Please select a customer","Ве молиме изберете купувач"
"Create New Customer","Create New Customer"
"Account Information","Информации за профилот"
"From","Од"
"To","До"
"Message","Порака"
"Edit Order #%1","Измени нарачка #%1"
"Create New Order for %1 in %2","Create New Order for %1 in %2"
"Create New Order in %1","Create New Order in %1"
"Create New Order for %1","Create New Order for %1"
"Create New Order for New Customer","Create New Order for New Customer"
"Items Ordered","Порачени продукти"
"This product is disabled.","This product is disabled."
"Buy %1 for price %2","Buy %1 for price %2"
"Item ordered qty","Item ordered qty"
"%1 with %2 discount each","%1 with %2 discount each"
"%1 for %2","%1 for %2"
"* - Enter custom price including tax","* - Enter custom price including tax"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"Configure","Конфигурирај"
"This product does not have any configurable options","This product does not have any configurable options"
"Newsletter Subscription","Пријава за електронски новости"
"Please select products","Ве молиме изберете продукти"
"Add Selected Product(s) to Order","Add Selected Product(s) to Order"
"ID","ID"
"Product","Продукт"
"SKU","SKU"
"Price","Цена"
"Select","Select"
"Quantity","Количина"
"Shipping Address","Адреса за испорака"
"Shipping Method","Начин на испорака"
"Update Changes","Ажурирај промени"
"Shopping Cart","Кошничка"
"Are you sure you want to delete all items from shopping cart?","Дали сте сигурни дека сакате да ги избришете сите продукти од кошничката?"
"Clear Shopping Cart","Исчисти ја кошничката"
"Products in Comparison List","Продукти во листата за споредба"
"Recently Compared Products","Последно споредени продукти"
"Recently Viewed Products","Последно видени продукти"
"Last Ordered Items","Последно порачани продукти"
"Recently Viewed","Последно видени"
"Wish List","Листа со желби"
"Please select a store","Ве молиме изберете продавница"
"Order Totals","Order Totals"
"Shipping Incl. Tax (%1)","Shipping Incl. Tax (%1)"
"Shipping Excl. Tax (%1)","Shipping Excl. Tax (%1)"
"New Credit Memo for Invoice #%1","New Credit Memo for Invoice #%1"
"New Credit Memo for Order #%1","New Credit Memo for Order #%1"
"Refund Shipping (Incl. Tax)","Refund Shipping (Incl. Tax)"
"Refund Shipping (Excl. Tax)","Refund Shipping (Excl. Tax)"
"Refund Shipping","Refund Shipping"
"Update Qty's","Update Qty's"
"Update Totals","Update Totals"
"Refund","Refund"
"Refund Offline","Refund Offline"
"Paid Amount","Paid Amount"
"Refund Amount","Refund Amount"
