"Credit Memos","Кредитне напомене"
"Orders","Поруџбине"
"Invoices","Фактуре"
"We can't get the order instance right now.","Не можемо добити инстанцу поруџбине тренутно."
"Create New Order","Креирај поруџбину"
"Save Order Address","Сачувај адресу поруџбине"
"Shipping","Достава"
"Billing","Наплата"
"Edit Order %1 %2 Address","Уреди адресу поруџбине %1 %2"
"Order Address Information","Информације о адреси поруџбине"
"Please correct the parent block for this block.","Коригујте родитељски блок за овај блок."
"Submit Comment","Пошаљи коментар"
"Submit Order","Пошаљи поруџбину"
"Are you sure you want to cancel this order?","Да ли сте сигурни да желите да откажете ову поруџбину?"
"Cancel","Откажи"
"Billing Address","Адреса за фактурисање"
"Payment Method","Начин плаћања"
"Order Comment","Коментар поруџбине"
"Coupons","Купони"
"Please select a customer","Изаберите купца"
"Create New Customer","Креирај Ново Купац"
"Account Information","Информације о корисничком налогу"
"From","Од"
"To","До"
"Message","Порука"
"Edit Order #%1","Уреди поруџбину #%1"
"Create New Order for %1 in %2","Креирај Ново Поруџбина фор %1 ин %2"
"Create New Order in %1","Креирај Ново Поруџбина ин %1"
"Create New Order for %1","Креирај Ново Поруџбина фор %1"
"Create New Order for New Customer","Креирај Ново Поруџбина фор Ново Купац"
"Items Ordered","Поручени артикли"
"This product is disabled.","Овај производ је онемогућен."
"Buy %1 for price %2","Buy %1 for price %2"
"Item ordered qty","Поручена количина артикла"
"%1 with %2 discount each","%1 with %2 discount each"
"%1 for %2","%1 за %2"
"* - Enter custom price including tax","* - Enter custom price including tax"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"Configure","Подеси"
"This product does not have any configurable options","This product does not have any configurable options"
"Newsletter Subscription","Пријава на Неwслеттер"
"Please select products","Изаберите производе"
"Add Selected Product(s) to Order","Додај Селецтед Производ(с) то Поруџбина"
"ID","ИД"
"Product","Производ"
"SKU","Шифра"
"Price","Цена"
"Select","Изаберите"
"Quantity","Количина"
"Shipping Address","Адреса за доставу"
"Shipping Method","Начин доставе"
"Update Changes","Ажурирај измене"
"Shopping Cart","Корпа"
"Are you sure you want to delete all items from shopping cart?","Да ли сте сигурни желите да делете алл итемс фром схоппинг царт?"
"Clear Shopping Cart","Испразни корпу"
"Products in Comparison List","Производи ин Цомпарисон Листа"
"Recently Compared Products","Недавно Упоређени Производи"
"Recently Viewed Products","Недавно прегледани производи"
"Last Ordered Items","Последњи поручени артикли"
"Recently Viewed","Недавно погледано"
"Wish List","Листа жеља"
"Please select a store","Изаберите продавницу"
"Order Totals","Укупно поруџбине"
"Shipping Incl. Tax (%1)","Достава Инцл. Порез (%1)"
"Shipping Excl. Tax (%1)","Достава Еxцл. Порез (%1)"
"New Credit Memo for Invoice #%1","Ново Кредитно одобрење фор Фактура #%1"
"New Credit Memo for Order #%1","Ново Кредитно одобрење фор Поруџбина #%1"
"Refund Shipping (Incl. Tax)","Повраћај Достава (Инцл. Порез)"
"Refund Shipping (Excl. Tax)","Повраћај Достава (Еxцл. Порез)"
"Refund Shipping","Повраћај доставе"
"Update Qty's","Ажурирај количине"
"Update Totals","Ажурирај укупне вредности"
"Refund","Рефундација"
"Refund Offline","Рефундирај ван мреже"
"Paid Amount","Paid Amount"
"Refund Amount","Износ рефундације"
"Shipping Amount","Износ доставе"
"Shipping Refund","Рефундација доставе"
"Order Grand Total","Укупан износ поруџбине"
"Adjustment Refund","Повраћај за прилагођавање"
"Adjustment Fee","Накнада за прилагођавање"
"Send Email","Пошаљи емаил"
"Are you sure you want to send a credit memo email to customer?","Да ли сте сигурни желите да сенд а цредит мемо емаил то цустомер?"
"Void","Поништи"
"Print","Испишите"
"The credit memo email was sent.","Емаил кредитне напомене је послат."
"The credit memo email wasn't sent.","Емаил кредитне напомене није послат."
