"Credit Memos","Jóváírások"
"Orders","Rendelések"
"Invoices","Számlák"
"We can't get the order instance right now.","We can't get the order instance right now."
"Create New Order","Új rendelés létrehozása"
"Save Order Address","Rendelési cím mentése"
"Shipping","Szállítás"
"Billing","Számlázás"
"Edit Order %1 %2 Address","Rendelés %1 %2 cím szerkesztése"
"Order Address Information","Rendelési cím információ"
"Please correct the parent block for this block.","Kérem javítsa a blokk szülő blokkját."
"Submit Comment","Hozzászólás beküldése"
"Submit Order","Megrendelés elküldése"
"Are you sure you want to cancel this order?","Biztosan visszavonja a megrendelést?"
"Cancel","Mégse"
"Billing Address","Számlázási cím"
"Payment Method","Fizetési mód"
"Order Comment","Megjegyzés a megrendeléshez"
"Coupons","Kuponok"
"Please select a customer","Kérem válasszon egy ügyfelet"
"Create New Customer","Új vásárló létrehozása"
"Account Information","Fiókadatok"
"From","Ettől"
"To","Eddig"
"Message","Üzenet"
"Edit Order #%1","#%1 megrendelés szerkesztése"
"Create New Order for %1 in %2","Új rendelés létrehozása %1 számára %2-ben"
"Create New Order in %1","Új rendelés létrehozása %1-ben"
"Create New Order for %1","Hozzon létre új rendelést %1 számára"
"Create New Order for New Customer","Új rendelés létrehozása új felhasználó számára"
"Items Ordered","Megrendelt cikkek"
"This product is disabled.","Ez a terméket le van tiltva."
"Buy %1 for price %2","Vegyen %1-t %2 áron"
"Item ordered qty","Cikkből rendelt mennyiség"
"%1 with %2 discount each","%1 %2 kedvezménnyel mindegyikre"
"%1 for %2","%1 %2-hez"
"* - Enter custom price including tax","* - Adjon meg egyedi árat adóval együtt"
"* - Enter custom price excluding tax","* - Adjon meg egyedi árat adó nélkül"
"Configure","Konfigurálás"
"This product does not have any configurable options","Ez a termék nem rendelkezik konfigurálható beállításokkal"
"Newsletter Subscription","Hírlevél feliratkozás"
"Please select products","Kérem válasszon termékeket"
"Add Selected Product(s) to Order","Adja hozzá a kiválasztott termék(ek)et a rendeléshez"
"ID","Azonosító"
"Product","Termék"
"SKU","Cikkszám"
"Price","Ár"
"Select","Válasszon"
"Quantity","Mennyiség"
"Shipping Address","Szállítási cím"
"Shipping Method","Szállítási mód"
"Update Changes","Változások frissítése"
"Shopping Cart","Kosár"
"Are you sure you want to delete all items from shopping cart?","Biztosan törli az összes elemet a kosárból?"
"Clear Shopping Cart","Kosár kiürítése"
"Products in Comparison List","Termékek az összehasonlító listában"
"Recently Compared Products","Nemrég összehasonlított termékek"
"Recently Viewed Products","Nemrég megtekintett termékek"
"Last Ordered Items","Utoljára rendelt elemek"
"Recently Viewed","Nemrég megtekintve"
"Wish List","Kívánságlista"
"Please select a store","Kérem válasszon ki egy boltot"
"Order Totals","Rendelés összesen"
"Shipping Incl. Tax (%1)","Szállítás ÁFA-val (%1)"
"Shipping Excl. Tax (%1)","Szállítás ÁFA-nélkül (%1)"
"New Credit Memo for Invoice #%1","New Credit Memo for Invoice #%1"
"New Credit Memo for Order #%1","New Credit Memo for Order #%1"
"Refund Shipping (Incl. Tax)","Szállítás visszatérítés (adóval)"
"Refund Shipping (Excl. Tax)","Szállítás visszatérítés (adó nélkül)"
"Refund Shipping","Szállítás visszatérítés"
"Update Qty's","Update Qty's"
"Update Totals","Update Totals"
"Refund","Visszatérítés"
"Refund Offline","Refund Offline"
"Paid Amount","Paid Amount"
"Refund Amount","Refund Amount"
"Shipping Amount","Shipping Amount"
"Shipping Refund","Szállítási visszatérítés"
"Order Grand Total","Order Grand Total"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Adjustment Fee"
"Send Email","E-mail küldése"
"Are you sure you want to send a credit memo email to customer?","Are you sure you want to send a credit memo email to customer?"
"Void","Void"
"Print","Nyomtatás"
"The credit memo email was sent.","The credit memo email was sent."
"The credit memo email wasn't sent.","The credit memo email wasn't sent."
"Credit Memo #%1 | %3 | %2 (%4)","Credit Memo #%1 | %3 | %2 (%4)"
"Total Refund","Total Refund"
"New Invoice and Shipment for Order #%1","New Invoice and Shipment for Order #%1"
"New Invoice for Order #%1","New Invoice for Order #%1"
"Submit Invoice and Shipment","Submit Invoice and Shipment"
"Submit Invoice","Submit Invoice"
"Are you sure you want to send an invoice email to customer?","Are you sure you want to send an invoice email to customer?"
"Credit Memo","Jóváírás"
"Capture","Capture"
"The invoice email was sent.","The invoice email was sent."
"The invoice email wasn't sent.","The invoice email wasn't sent."
"Invoice #%1 | %2 | %4 (%3)","Invoice #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","Invalid parent block for this block"
"Order Statuses","Order Statuses"
"Create New Status","Create New Status"
