"Credit Memos","Avoirs"
"Orders","Commandes"
"Invoices","Factures"
"We can't get the order instance right now.","Statut par défaut"
"Create New Order","Créer une nouvelle commande"
"Save Order Address","Enregistrer l'adresse de la commande"
"Shipping","Livraison"
"Billing","Facturation"
"Edit Order %1 %2 Address","Modifier l’adresse de commande %1 %2"
"Order Address Information","Informations d'adresse de commande"
"Please correct the parent block for this block.","Veuillez corriger le bloc parent de ce bloc."
"Submit Comment","Envoyer un commentaire"
"Submit Order","Valider la commande"
"Are you sure you want to cancel this order?","Êtes-vous sûr(e) de vouloir annuler cet commande ?"
"Cancel","Annuler"
"Billing Address","Adresse de facturation"
"Payment Method","Mode de paiement"
"Order Comment","Commentaire de la commande"
"Coupons","Bons de réduction"
"Please select a customer","Veuillez sélectionner un client"
"Create New Customer","Créer un nouveau client"
"Account Information","Informations du compte"
"From","Depuis"
"To","À"
"Message","Message"
"Edit Order #%1","Modifier la commande #%1"
"Create New Order for %1 in %2","Créer une nouvelle commande pour %1 dans %2"
"Create New Order in %1","Créer une nouvelle commande dans %1"
"Create New Order for %1","Créer une nouvelle commande pour %1"
"Create New Order for New Customer","Créer une nouvelle commande pour un nouveau client"
"Items Ordered","Articles commandés"
"This product is disabled.","Ce produit est désactivé."
"Buy %1 for price %2","Achetez-en %1 pour le prix de %2"
"Item ordered qty","Qté commandée"
"%1 with %2 discount each","%1 avec %2 de réduction chacun"
"%1 for %2","%1 pour %2"
"* - Enter custom price including tax","* - Saisissez le prix toutes taxes comprises"
"* - Enter custom price excluding tax","* - Saisissez le prix hors taxe"
"Configure","Configurer"
"This product does not have any configurable options","Ce produit n'a aucune option configurable."
"Newsletter Subscription","Abonnement à la newsletter"
"Please select products","Veuillez sélectionner des produits"
"Add Selected Product(s) to Order","Ajouter les produits sélectionnés à la commande"
"ID","Identifiant"
"Product","Produit"
"SKU","REF"
"Price","Prix"
"Select","Sélectionnez"
"Quantity","Quantité"
"Shipping Address","Adresse de livraison"
"Shipping Method","Mode de livraison"
"Update Changes","Mettre à jour les modifications"
"Shopping Cart","Panier"
"Are you sure you want to delete all items from shopping cart?","Êtes-vous sûr(e) de vouloir enlever tous les articles du panier ?"
"Clear Shopping Cart","Vider le panier"
"Products in Comparison List","Produits dans la liste de comparaison"
"Recently Compared Products","Produits récemment comparés"
"Recently Viewed Products","Derniers produits consultés"
"Last Ordered Items","Derniers articles commandés"
"Recently Viewed","Vu récemment"
"Wish List","Liste d'achats"
"Please select a store","Veuillez sélectionner un magasin"
"Order Totals","Total de la commande"
"Shipping Incl. Tax (%1)","Livraison TTC (%1)"
"Shipping Excl. Tax (%1)","Livraison HT (%1)"
"New Credit Memo for Invoice #%1","Nouvel avoir pour la facture #%1"
"New Credit Memo for Order #%1","Nouvel avoir pour la commande #%1"
"Refund Shipping (Incl. Tax)","Remboursement livraison (TTC)"
"Refund Shipping (Excl. Tax)","Remboursement livraison (HT)"
"Refund Shipping","Remboursement de livraison"
"Update Qty's","Mettre à jour les quantités"
"Update Totals","Mettre à jour le total"
"Refund","Remboursement"
"Refund Offline","Remboursement hors ligne"
"Paid Amount","Montant réglé"
"Refund Amount","Montant du remboursement"
"Shipping Amount","Montant de la livraison"
"Shipping Refund","Remboursement de la livraison"
"Order Grand Total","Montant global"
"Adjustment Refund","Remboursement des frais de dossier"
"Adjustment Fee","Frais de dossier"
"Send Email","Envoyer un email"
"Are you sure you want to send a credit memo email to customer?","Êtes-vous sûr(e) de vouloir envoyer l'avoir par email au client?"
"Void","Annuler"
"Print","Imprimer"
"The credit memo email was sent.","L’email de l’avoir a été envoyé."
