"Credit Memos","PDF运单"
"Orders","订单"
"Invoices","发票"
"We can't get the order instance right now.","状态代码和标题"
"Create New Order","创建新订单"
"Save Order Address","保存订单地址"
"Shipping","运费"
"Billing","账单"
"Edit Order %1 %2 Address","编辑订单 %1 %2 地址"
"Order Address Information","订单地址信息"
"Please correct the parent block for this block.","请更正此块的父块。"
"Submit Comment","分离段"
"Submit Order","提交订单"
"Are you sure you want to cancel this order?","你确定你想要取消此订单?"
"Cancel","取消"
"Billing Address","账单地址"
"Payment Method","支付方式"
"Order Comment","订单评论"
"Coupons","优惠券"
"Please select a customer","请选择客户"
"Create New Customer","创建新客户"
"Account Information","账户信息"
"From","从"
"To","至"
"Message","信息"
"Edit Order #%1","编辑订单 #%1"
"Create New Order for %1 in %2","为 %2 中的 %1 创建新订单"
"Create New Order in %1","为 %1 创建新订单"
"Create New Order for %1","为 %1 创建新订单"
"Create New Order for New Customer","为新客户创建新订单"
"Items Ordered","已下单的商品"
"This product is disabled.","本产品已下架。"
"Buy %1 for price %2","购买% 1的价格% 2"
"Item ordered qty","订购数量"
"%1 with %2 discount each","% 1与% 2折"
"%1 for %2","%2 的 %1"
"* - Enter custom price including tax","*-输入自定义价格（含税）"
"* - Enter custom price excluding tax","*-输入自定义价格（不含税）"
"Configure","配置"
"This product does not have any configurable options","此产品并没有任何的可配置选项"
"Newsletter Subscription","邮件列表订阅"
"Please select products","请选择产品。"
"Add Selected Product(s) to Order","将所选的产品添加到订单"
"ID","编号ID"
"Product","产品"
"SKU","商品编号SKU"
"Price","价格"
"Select","选择"
"Quantity","数量"
"Shipping Address","送货地址"
"Shipping Method","运送方式"
"Update Changes","更新更改"
"Shopping Cart","购物车"
"Are you sure you want to delete all items from shopping cart?","你确定你想要从购物车中删除所有商品?"
"Clear Shopping Cart","没有付款方式"
"Products in Comparison List","在比较列表中的产品"
"Recently Compared Products","最近查看过的产品"
"Recently Viewed Products","最近浏览过的产品"
"Last Ordered Items","去年订购的商品"
"Recently Viewed","最近浏览过的"
"Wish List","收藏夹"
"Please select a store","请选择一个商店"
"Order Totals","订单合计"
"Shipping Incl. Tax (%1)","小计 (含税)"
"Shipping Excl. Tax (%1)","运费不包括税 (%1)"
"New Credit Memo for Invoice #%1","新的贷方通知单的发票 #%1（发票# % 1新信用备忘录）"
"New Credit Memo for Order #%1","为订单 #%1 新的贷方通知单（为了# % 1新信用备忘录）"
"Refund Shipping (Incl. Tax)","退还航运 (含税)"
"Refund Shipping (Excl. Tax)","退还航运 (不包括税)"
"Refund Shipping","退款运输"
"Update Qty's","更新数量的"
"Update Totals","Update Totals"
"Refund","退款"
"Refund Offline","离线获取"
"Paid Amount","已付的金额"
"Refund Amount","退款金额"
"Shipping Amount","航运量"
"Shipping Refund","航运退款"
"Order Grand Total","订单总计"
"Adjustment Refund","调整退款"
"Adjustment Fee","费用的调整"
"Send Email","发送邮件"
"Are you sure you want to send a credit memo email to customer?","你确定你想要寄给客户他的信用备忘录电子邮件?"
"Void","创建于"
"Print","打印"
"The credit memo email was sent.","信用备忘录电子邮件已发送。"
"The credit memo email wasn't sent.","信用备忘录电子邮件没有发送。"
"Credit Memo #%1 | %3 | %2 (%4)","信用备忘录 #%1 |%3 |%2 (%4)"
"Total Refund","全额退款"
"New Invoice and Shipment for Order #%1","新的发票和装运的订单 #%1"
"New Invoice for Order #%1","订单 #%1 的新发票"
"Submit Invoice and Shipment","提交发票和装运"
"Submit Invoice","提交发票"
"Are you sure you want to send an invoice email to customer?","你确定你想要寄给客户他的发票电子邮件?"
