"Credit Memos","ණය මතක සටහන්"
"Orders","නියෝග"
"Invoices","ඉන්වොයිසි"
"We can't get the order instance right now.","අපට දැන් ඇණවුම් අවස්ථාව ලබා ගත නොහැක."
"Create New Order","නව ඇණවුම සාදන්න"
"Save Order Address","ඇණවුම් ලිපිනය සුරකින්න"
"Shipping","නාවික"
"Billing","බිල්පත්"
"Edit Order %1 %2 Address","ඇණවුම %1 %2 ලිපිනය සංස්කරණය කරන්න"
"Order Address Information","ඇණවුම් ලිපිනය තොරතුරු"
"Please correct the parent block for this block.","කරුණාකර මෙම අවහිර කිරීම සඳහා මාපිය වාරණය නිවැරදි කරන්න."
"Submit Comment","අදහස් ඉදිරිපත් කරන්න"
"Submit Order","ඇණවුම භාරදෙන්න"
"Are you sure you want to cancel this order?","ඔබට මෙම ඇණවුම අවලංගු කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Cancel","අවලංගු කරන්න"
"Billing Address","බිල්පත් ලිපිනය"
"Payment Method","ගෙවීම් ක්රමය"
"Order Comment","අදහස් දැක්වීම ඇණවුම් කරන්න"
"Coupons","කූපන් පත්"
"Please select a customer","කරුණාකර පාරිභෝගිකයෙකු තෝරන්න"
"Create New Customer","නව පාරිභෝගිකයෙකු සාදන්න"
"Account Information","ගිණුම් තොරතුරු"
"From","සිට"
"To","වෙත"
"Message","පණිවුඩය"
"Edit Order #%1","ඇණවුම #%1සංස්කරණය කරන්න"
"Create New Order for %1 in %2","%2හි %1 සඳහා නව ඇණවුමක් සාදන්න"
"Create New Order in %1","%1හි නව ඇණවුම සාදන්න"
"Create New Order for %1","%1සඳහා නව ඇණවුමක් සාදන්න"
"Create New Order for New Customer","නව පාරිභෝගිකයා සඳහා නව ඇණවුමක් සාදන්න"
"Items Ordered","භාණ්ඩ ඇණවුම් කර ඇත"
"This product is disabled.","මෙම නිෂ්පාදනය අබල කර ඇත."
"Buy %1 for price %2","මිල %2සඳහා %1 මිලදී ගන්න"
"Item ordered qty","qty ඇණවුම් කළ අයිතමය"
"%1 with %2 discount each","%1 බැගින් වට්ටම් %2 බැගින්"
"%1 for %2","%1 සඳහා %2"
"* - Enter custom price including tax","* - බදු ඇතුළුව අභිරුචි මිල ඇතුළත් කරන්න"
"* - Enter custom price excluding tax","* - බදු හැර අභිරුචි මිල ඇතුළත් කරන්න"
"Configure","වින්‍යාස කරන්න"
"This product does not have any configurable options","මෙම නිෂ්පාදනයට වින්‍යාස කළ හැකි විකල්ප කිසිවක් නොමැත"
"Newsletter Subscription","පුවත් පත්‍රිකා දායකත්වය"
"Please select products","කරුණාකර නිෂ්පාදන තෝරන්න"
"Add Selected Product(s) to Order","ඇණවුමට තෝරාගත් භාණ්ඩ(ය) එක් කරන්න"
"ID","හැඳුනුම්පත"
"Product","නිෂ්පාදන"
"SKU","SKU"
"Price","මිල"
"Select","තෝරන්න"
"Quantity","ප්රමාණය"
"Shipping Address","බෙදාහැරීමේ ලිපිනය"
"Shipping Method","නැව්ගත කිරීමේ ක්රමය"
"Update Changes","වෙනස්කම් යාවත්කාලීන කරන්න"
"Shopping Cart","සාප්පු ට්රොලිය"
"Are you sure you want to delete all items from shopping cart?","ඔබට සාප්පු කරත්තයෙන් සියලුම අයිතම මැකීමට අවශ්‍ය බව විශ්වාසද?"
"Clear Shopping Cart","පැහැදිලි සාප්පු කරත්තය"
"Products in Comparison List","සංසන්දනාත්මක ලැයිස්තුවේ නිෂ්පාදන"
"Recently Compared Products","මෑතකදී සසඳන ලද නිෂ්පාදන"
"Recently Viewed Products","මෑතකදී නැරඹූ නිෂ්පාදන"
"Last Ordered Items","අවසන් වරට ඇණවුම් කළ අයිතම"
"Recently Viewed","මෑතකදී බැලුවා"
"Wish List","පැතුම් ලැයිස්තුව"
"Please select a store","කරුණාකර වෙළඳසැලක් තෝරන්න"
"Order Totals","ඇණවුම් එකතුව"
"Shipping Incl. Tax (%1)","නැව්ගත කිරීම ඇතුළුව. බදු (%1)"
"Shipping Excl. Tax (%1)","නැව්ගත කිරීම Excl. බදු (%1)"
