"Credit Memos","Hyvityslaskut"
"Orders","Tilaukset"
"Invoices","Laskut"
"We can't get the order instance right now.","We can't get the order instance right now."
"Create New Order","Luo uusi tilaus"
"Save Order Address","Tallenna tilausosoite"
"Shipping","Toimitus"
"Billing","Laskutus"
"Edit Order %1 %2 Address","Edit Order %1 %2 Address"
"Order Address Information","Tilauksen osoitetiedot"
"Please correct the parent block for this block.","Please correct the parent block for this block."
"Submit Comment","Lähetä kommentti"
"Submit Order","Lähetä tilaus"
"Are you sure you want to cancel this order?","Haluatko varmasti peruuttaa tämän tilauksen?"
"Cancel","Peruuta"
"Billing Address","Laskutusosoite"
"Payment Method","Maksutapa"
"Order Comment","Tilauksen kommentti"
"Coupons","Alennuskoodit"
"Please select a customer","Valitse asiakas"
"Create New Customer","Luo uusi asiakas"
"Account Information","Tilin tiedot"
"From","Alkaen"
"To","Asti"
"Message","Viesti"
"Edit Order #%1","Muokkaa tilausta #%1"
"Create New Order for %1 in %2","Create New Order for %1 in %2"
"Create New Order in %1","Create New Order in %1"
"Create New Order for %1","Create New Order for %1"
"Create New Order for New Customer","Luo uusi tilaus uudelle asiakkaalle"
"Items Ordered","Tilatut nimikkeet"
"This product is disabled.","Tämä tuote on pois käytöstä."
"Buy %1 for price %2","Buy %1 for price %2"
"Item ordered qty","Item ordered qty"
"%1 with %2 discount each","%1 with %2 discount each"
"%1 for %2","%1 for %2"
"* - Enter custom price including tax","* - Enter custom price including tax"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"Configure","Määritä"
"This product does not have any configurable options","This product does not have any configurable options"
"Newsletter Subscription","Uutiskirjeen tilaus"
"Please select products","Valitse tuotteet"
"Add Selected Product(s) to Order","Lisää valitut tuotteet tilaukseen"
"ID","Tunnus"
"Product","Tuote"
"SKU","Tuotenro"
"Price","Hinta"
"Select","Valitse"
"Quantity","Määrä"
"Shipping Address","Toimitusosoite"
"Shipping Method","Toimitustapa"
"Update Changes","Päivitä muutokset"
"Shopping Cart","Ostoskori"
