"Credit Memos","Dobropisy"
"Orders","Objednávky"
"Invoices","Faktury"
"We can't get the order instance right now.","Instanci objednávky momentálně nelze získat."
"Create New Order","Nová objednávka"
"Save Order Address","Uložit adresu objednávky"
"Shipping","Přepravné"
"Billing","Fakturace"
"Edit Order %1 %2 Address","Upravit %2 adresu objednávky %1"
"Order Address Information","Údaje adresy objednávky"
"Please correct the parent block for this block.","Opravte blok nadřazený tomuto bloku prosím."
"Submit Comment","Odeslat komentář"
"Submit Order","Vystavit objednávku"
"Are you sure you want to cancel this order?","Skutečně chcete tuto objednávku zrušit?"
"Cancel","Zrušit"
"Billing Address","Fakturační adresa"
"Payment Method","Způsob platby"
"Order Comment","Komentář objednávky"
"Coupons","Kupóny"
"Please select a customer","Zvolte zákazníka"
"Create New Customer","Vytvořit nového zákazníka"
"Account Information","Údaje účtu"
"From","Od"
"To","Pro"
"Message","Zpráva"
"Edit Order #%1","Upravit objednávku č.%1"
"Create New Order for %1 in %2","Vytvořit novou objednávku v %2 pro %1"
"Create New Order in %1","Create New Order in %1"
"Create New Order for %1","Vytvořit novou objednávku pro %1"
"Create New Order for New Customer","Tvorba nové objednávky pro nového zákazníka"
"Items Ordered","Objednané položky"
"This product is disabled.","Tento produkt je vypnutý."
"Buy %1 for price %2","Kupte %1 za %2"
"Item ordered qty","Objednané množství"
"%1 with %2 discount each","%1 s %2 slevou"
"%1 for %2","%1 za %2"
"* - Enter custom price including tax","* - Zadejte vlastní cenu s DPH"
"* - Enter custom price excluding tax","* - Zadejte vlastní cenu bez DPH"
"Configure","Nastavit"
"This product does not have any configurable options","Tento produkt nemá žádné konfigurovatelné parametry"
"Newsletter Subscription","Odběr newsletteru"
"Please select products","Zvolte produkty prosím"
"Add Selected Product(s) to Order","Přidat zvolené produkty k objednávce"
"ID","ID"
"Product","Produkt"
"SKU","Kód"
"Price","Cena"
"Select","Vybrat"
"Quantity","Množství"
"Shipping Address","Doručovací adresa"
"Shipping Method","Způsob dopravy"
"Update Changes","Aktualizovat změny"
"Shopping Cart","Nákupní košík"
"Are you sure you want to delete all items from shopping cart?","Skutečně chcete z košíku odstranit všechny produkty?"
"Clear Shopping Cart","Vyprázdnit košík"
"Products in Comparison List","Porovnávané produkty"
"Recently Compared Products","Poslední porovnávané produkty"
"Recently Viewed Products","Nedávno zobrazené produkty"
"Last Ordered Items","Poslední objednané produkty"
"Recently Viewed","Nedávno zobrazené"
"Wish List","Oblíbené"
"Please select a store","Zvolte obchod prosím"
"Order Totals","Objednávka celkem"
"Shipping Incl. Tax (%1)","Přepravné s DPH (%1)"
"Shipping Excl. Tax (%1)","Přepravné bez DPH (%1)"
"New Credit Memo for Invoice #%1","Nový dobropis k faktuře č. %1"
"New Credit Memo for Order #%1","Nový dobropis k objednávce č. %1"
"Refund Shipping (Incl. Tax)","Vrátit přepravné (s DPH)"
"Refund Shipping (Excl. Tax)","Vrátit přepravné (bez DPH)"
"Refund Shipping","Vrátit přepravné"
"Update Qty's","Upravit množství"
"Update Totals","Update Totals"
"Refund","Vrátit"
"Refund Offline","Vrátit offline"
"Paid Amount","Uhrazená částka"
"Refund Amount","Vrácená částka"
"Shipping Amount","Přepravné"
"Shipping Refund","Vrácené přepravné"
"Order Grand Total","Celkový součet objednávky"
"Adjustment Refund","Nastavení vratky"
"Adjustment Fee","Nastavení poplatku"
"Send Email","Odeslat e-mail"
"Are you sure you want to send a credit memo email to customer?","Skutečně chcete e-mail dobropisu zaslat zákazníkovi?"
"Void","Anulovat"
"Print","Tisk"
"The credit memo email was sent.","E-mail dobropisu byl odeslán."
"The credit memo email wasn't sent.","E-mail dobropisu nebyl odeslán."
"Credit Memo #%1 | %3 | %2 (%4)","Dobropis č. %1 | %3 | %2 (%4)"
"Total Refund","Celkem vrátit"
"New Invoice and Shipment for Order #%1","Nová faktura a zásilka k objednávce č. %1"
"New Invoice for Order #%1","Nová faktura k objednávce č. %1"
"Submit Invoice and Shipment","Vystavit fakturu a zásilku"
"Submit Invoice","Vystavit fakturu"
"Are you sure you want to send an invoice email to customer?","Skutečně chcete e-mail faktury zaslat zákazníkovi?"
"Credit Memo","Dobropis"
"Capture","Získat"
"The invoice email was sent.","E-mail faktury byl odeslán."
"The invoice email wasn't sent.","E-mail faktury nebyl odeslán."
"Invoice #%1 | %2 | %4 (%3)","Faktury č. %1 | %2 | %4 (%3)"
"Invalid parent block for this block","Neplatná nadřazený blok tohoto bloku"
"Order Statuses","Stavy objednávek"
"Create New Status","Vytvořit nový stav"
"Assign Status to State","Přiřadit status k situaci"
"Save Status Assignment","Uložit přiřazení stavu"
"Assign Order Status to State","Přiřazení statusu k situaci"
"Assignment Information","Nastavení přiřazení"
"Order Status","Stav objednávky"
"Order State","Situace objednávky"
"Use Order Status As Default","Použít jako výchozí stav objednávky"
"Visible On Storefront","Viditelný v obchodě"
"Edit Order Status","Úprava stavu objednávky"
"Save Status","Uložit stav"
"New Order Status","Stav nové objednávky"
"Order Status Information","Nastavení stavu objednávky"
"Status Code","Kód stavu"
"Status Label","Označení stavu"
"Store View Specific Labels","Specifická označení zobrazení obchodu"
"Total Paid","Celkem uhrazeno"
"Total Refunded","Celkem vráceno"
"Total Due","Celkem dluží"
"Edit","Upravit"
"Are you sure you want to send an order email to customer?","Skutečně chcete e-mail objednávky zaslat zákazníkovi?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","Tímto bude vytvořena offline vratka. Chcete-li vytvořit online vratku, otevřete fakturu a vystavte k ní dobropis. Chcete pokračovat?"
"Are you sure you want to void the payment?","Skutečně chcete zrušit tuto platbu?"
"Hold","Pozastavit"
"hold","pozastavit"
"Unhold","Uvolnit"
"unhold","uvolnit"
"Are you sure you want to accept this payment?","Skutečně chcete přijmout tuto platbu?"
"Accept Payment","Přijmout platbu"
"Are you sure you want to deny this payment?","Skutečně chcete odmítnout tuto platbu?"
"Deny Payment","Odepření platby"
"Get Payment Update","Získat aktualizaci platby"
"Invoice and Ship","Faktura a zásilka"
"Invoice","Faktura"
"Ship","Zaslat"
"Reorder","Objednat znovu"
"Order # %1 %2 | %3","Objednávka č. %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","Tato objednávka obsahuje (%1) položky, a proto ji nelze upravit v rozhraní správy. Chcete-li v úpravách pokračovat, položky (%2) budou odebrány, objednávka bude zrušena a bude vytvořena nová objednávka."
"Are you sure? This order will be canceled and a new one will be created instead.","Skutečně? Tato objednávka bude zrušena a místo ní bude vytvořena nová."
"Save Gift Message","Uložit darovací vzkaz"
" [deleted]"," [odstraněno]"
"Order Credit Memos","Dobropisy objednávky"
"Credit memo #%1 created","Dobropis č. %1 byl vytvořen"
"Credit memo #%1 comment added","Komentář k dobropisu č. %1 byl vytvořen"
"Shipment #%1 created","Zásilka č. %1 byla vytvořena"
"Shipment #%1 comment added","Komentář k zásilce č. %1 byl vytvořen"
"Invoice #%1 created","Faktura č. %1 byla vytvořena"
"Invoice #%1 comment added","Komentář k faktuře č. %1 byl vytvořen"
"Tracking number %1 for %2 assigned","Sledovací číslo %1 k %2 bylo přiřazeno"
"Comments History","Historie komentářů"
"Order History","Historie objednávky"
"Information","Informace"
"Order Information","Informace o objednávce"
"Order Invoices","Faktury objednávky"
"Shipments","Zásilky"
"Order Shipments","Zásilky objednávky"
"Transactions","Transakce"
"Order View","Zobrazení objednávky"
"Any","Jakýkoliv"
"Specified","Zadáno"
"Applies to Any of the Specified Order Statuses except canceled orders","Lze použít na všechny zadané stavy kromě zrušených objednávek"
"Cart Price Rule","Cenové pravidlo košíku"
"Yes","Ano"
"No","Ne"
"Show Actual Values","Zobrazit aktuální hodnoty"
"New Order RSS","RSS - nové objednávky"
"Subtotal","Mezisoučet"
"Shipping & Handling","Dopravné a balné"
"Discount (%1)","Sleva (%1)"
"Discount","Sleva"
"Grand Total","Celkový součet"
"Back","Zpět"
"Fetch","Stáhnout"
"Transaction # %1 | %2","Transakce č. %1 | %2"
"N/A","nedefinováno"
"Key","Klíč"
"Value","Hodnota"
"We found an invalid entity model.","Byl nalezen neplatný model entity."
"Order # %1","Objednávka č.%1"
"Back to My Orders","Zpět k mým objednávkám"
"View Another Order","Zobrazit jinou objednávku"
"About Your Refund","Údaje Vaší vratky"
"My Orders","Mé objednávky"
"Subscribe to Order Status","Odběr stavu objednávky"
"About Your Invoice","Údaje faktury"
"Print Order # %1","Tisk objednávky č. %1"
"Grand Total to be Charged","Celkový k úhradě"
"Unassign","Zrušit přiřazení"
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"You sent the message.","Zpráva byla odeslána."
"Sales","Prodej"
"Invoice capturing error","Chyba při zachycení faktury"
"This order no longer exists.","Objednávka již neexistuje."
"Please enter a comment.","Please enter a comment."
"We cannot add order history.","Historii objednávky nelze přidat."
"You updated the order address.","Adresa objednávky byla upravena."
"We can't update the order address right now.","Adresu objednávky momentálně nelze upravit."
"You have not canceled the item.","Položka nebyla zrušena."
"You canceled the order.","Objednávka byla zrušena."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","Kód kupónu ""%1"" nebyl použit. Sleva na zvolené produkty nebyla uplatněna"
"""%1"" coupon code is not valid.","""%1"" coupon code is not valid."
"The coupon code has been accepted.","Kód kuponu byl přijat."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"New Order","Nová objednávka"
"You created the order.","Objednávka byla vytvořena."
"Order saving error: %1","Chyba při ukládání objednávky: %1"
"Cannot add new comment.","Nelze přidat nový komentář."
"The credit memo has been canceled.","Dobropis byl zrušen."
"Credit memo has not been canceled.","Dobropis nebyl zrušen."
"New Memo for #%1","Nový dobropis pro č. %1"
"New Memo","Nová poznámka"
"The credit memo's total must be positive.","Hodnota dobropisu musí být kladné číslo."
"Cannot create online refund for Refund to Store Credit.","Online vratku nelze vytvořit vrácením kreditu obchodu."
"You created the credit memo.","Dobropis byl vytvořen."
"We can't save the credit memo right now.","Dobropis momentálně nelze uložit."
"We can't update the item's quantity right now.","Množství položky momentálně nelze upravit."
"View Memo for #%1","Zobrazit poznámku pro č. %1"
"View Memo","Zobrazit poznámku"
"You voided the credit memo.","Dobropis byl anulován."
"We can't void the credit memo.","Nepodařilo se anulovat dobropis."
"The order no longer exists.","Objednávka již neexistuje."
"We can't create credit memo for the order.","Nelze vytvořit dobropis pro danou objednávku."
"Edit Order","Upravit objednávku"
"You sent the order email.","E-mail objednávky byl odeslán."
"We can't send the email order right now.","E-mail objednávky momentálně nelze odeslat."
"You have not put the order on hold.","Žádnou objednávku nelze pozastavit."
"You put the order on hold.","Objednávka byla pozastavena."
"You canceled the invoice.","Faktura byla zrušena."
"Invoice canceling error","Chyba při rušení faktury"
"The invoice has been captured.","Platba faktury byla získána."
"The order does not allow an invoice to be created.","Objednávka neumožňuje vytvořit fakturu."
"You can't create an invoice without products.","You can't create an invoice without products."
"New Invoice","Nová faktura"
"We can't save the invoice right now.","We can't save the invoice right now."
"You created the invoice and shipment.","Faktura a zásilka byly vytvořena."
"The invoice has been created.","Faktura byla vytvořena."
"We can't send the invoice email right now.","E-mail faktury momentálně nelze odeslat."
"We can't send the shipment right now.","Zásilku momentálně nelze odeslat."
"Cannot update item quantity.","Množství položky nelze upravit."
"The invoice has been voided.","Faktura byla stornována."
"Invoice voiding error","Chyba při anulování faktury"
"%1 order(s) cannot be canceled.","%1 objednávku(y) nelze zrušit."
"You cannot cancel the order(s).","Objednávku(y) nelze zrušit."
"We canceled %1 order(s).","%1 objednávek(y) bylo zrušeno."
"%1 order(s) were not put on hold.","Nebylo pozastaveno %1 objednávek."
"No order(s) were put on hold.","Žádné objednávky nebyly pozastaveny."
"You have put %1 order(s) on hold.","Bylo pozastaveno %1 objednávek."
"%1 order(s) were not released from on hold status.","%1 objednávek nelze uvolnit ze stavu pozastaveno."
"No order(s) were released from on hold status.","Žádná objednávka nebyla uvolněna."
"%1 order(s) have been released from on hold status.","%1 objednávek bylo uvolněno ze stavu pozastaveno."
"There are no printable documents related to selected orders.","Ke zvoleným objednávkám nejsou k dispozici žádné tisknutelné dokumenty."
"The payment has been accepted.","Platba byla přijata."
"The payment has been denied.","Platba byla odepřena."
"Transaction has been approved.","Transakce byla schválena."
"Transaction has been voided/declined.","Transakce byla zamítnuta/zrušena."
"There is no update for the transaction.","Aktualizace transakce není k dispozici."
"We can't update the payment right now.","Platbu momentálně nelze upravit."
"You assigned the order status.","Stav objednávky byl přiřazen."
"Something went wrong while assigning the order status.","Při přiřazení objednávky nastala chyba."
"We can't find this order status.","Tento stav objednávky nelze najít."
"Create New Order Status","Vytvořit nový stav objednávky"
"We found another order status with the same order status code.","Byl nalezen další stav objednávky se stejným kódem stavu."
"You saved the order status.","Stav objednávky byl uložen."
"We can't add the order status right now.","Stav objednávky momentálně nelze přidat."
"You have unassigned the order status.","Přiřazení stavu objednávky bylo zrušeno."
"Something went wrong while unassigning the order.","Při rušení přiřazení objednávky nastala chyba."
"Can't unhold order.","Objednávku nelze uvolnit."
"You released the order from holding status.","Objednávka byla uvolněna."
"The order was not on hold.","Objednávka nebyla pozastavena."
"Exception occurred during order load","Při načítání objednávky došlo výjimce"
"Something went wrong while saving the gift message.","Při ukládání darovací zprávy nastala chyba."
"You saved the gift card message.","Dárkový certifikát byl uložen."
"The payment has been voided.","Platba byla zrušena."
"We can't void the payment right now.","Platbu momentálně nelze zrušit."
"Please correct the transaction ID and try again.","Opravte ID transakce prosím a zkuste to znovu."
"The transaction details have been updated.","Podrobnosti transakce byly aktualizovány."
"We can't update the transaction details.","Podrobnosti transakce nelze upravit."
"Orders and Returns","Zjistit stav objednávky"
"Home","Úvod"
"Go to Home Page","Na úvodní stránku"
"You entered incorrect data. Please try again.","Byly zadány nesprávné údaje. Zkuste to znovu prosím."
"We can't find this wish list.","Tento seznam oblíbených nelze najít."
"We could not add a product to cart by the ID ""%1"".","Požadovaný produkt nelze podle ID ""%1"" do košíku přidat."
"There is an error in one of the option rows.","V jednom z řádků voleb je chyba."
"Shipping Address: ","Doručovací adresa: "
"Billing Address: ","Fakturační adresa: "
"Please specify order items.","Zadejte položky objednávky."
"Please specify a shipping method.","Please specify a shipping method."
"Please specify a payment method.","Please specify a payment method."
"This payment method is not available.","Způsob platby není k dispozici."
"Validation is failed.","Ověření se nezdařilo."
"You did not email your customer. Please check your email settings.","E-mail zákazníkovi nebyl odeslán. Zkontrolujte nastavení e-mailu prosím."
"-- Please Select --","-- Vyberte --"
"Path ""%1"" is not part of allowed directory ""%2""","Cesta ""%1"" není částí povolených adresářů ""%2"""
"Identifying Fields required","Jsou požadovány identifikační údaje"
"Id required","Id required"
"""Invoice Document Validation Error(s):\n"" .","""Invoice Document Validation Error(s):\n"" ."
"Could not save an invoice, see error log for details","Could not save an invoice, see error log for details"
"A hold action is not available.","Akce pozastavit není dostupná."
"You cannot remove the hold.","Pozastavení nelze zrušit."
"We cannot cancel this order.","Tuto objednávku nelze zrušit."
"Guest","Host"
"Please enter the first name.","Zadejte jméno."
"Please enter the last name.","Zadejte příjmení."
"Please enter the street.","Zadejte ulici."
"Please enter the city.","Zadejte město."
"Please enter the phone number.","Zadejte telefonní číslo prosím."
"Please enter the company.","Please enter the company."
"Please enter the fax number.","Please enter the fax number."
"Please enter the zip/postal code.","Zadejte PSČ."
"Please enter the country.","Zvolte zemi."
"Please enter the state/province.","Zadejte kraj / region prosím."
"Requested entity doesn't exist","Requested entity doesn't exist"
"Could not delete order address","Could not delete order address"
"Could not save order address","Could not save order address"
"Pending","Nevyřízená"
"Refunded","Vráceno"
"Canceled","Zrušeno"
"Unknown State","Neznámá situace"
"Could not delete the comment.","Could not delete the comment."
"Could not save the creditmemo comment.","Could not save the creditmemo comment."
