"Credit Memos","חשבוניות זיכוי"
"Orders","הזמנות"
"Invoices","חשבוניות"
"We can't get the order instance right now.","אנחנו לא יכולים לקבל את סדר התצוגה כרגע."
"Create New Order","צור הזמנה חדשה"
"Save Order Address","שמור כתובת הזמנה"
"Shipping","משלוח"
"Billing","חיוב"
"Edit Order %1 %2 Address","ערוך כתובת הזמנה %1 %2"
"Order Address Information","מידע אודות כתובת הזמנה"
"Please correct the parent block for this block.","נא תקן את בלוק האב של בלוק זו."
"Submit Comment","שלח הערה"
"Submit Order","שלח הזמנה"
"Are you sure you want to cancel this order?","האם אתה בטוח שברצונך לבטל הזמנה זו?"
"Cancel","ביטול"
"Billing Address","כתובת חיוב"
"Payment Method","שיטת התשלום"
"Order Comment","הערת הזמנה"
"Coupons","קופונים"
"Please select a customer","נא בחר לקוח"
"Create New Customer","צור לקוח חדש"
"Account Information","פרטי חשבון"
"From","מ-"
"To","ל-"
"Message","הודעה"
"Edit Order #%1","ערוך הזמנה #%1"
"Create New Order for %1 in %2","צור הזמנה חדשה עבור %1 ב-%2"
"Create New Order in %1","צור הזמנה חדשה ב-%1"
"Create New Order for %1","צור הזמנה חדשה עבור %1"
"Create New Order for New Customer","צור הזמנה חדשה עבור לקוח חדש"
"Items Ordered","פריטים שהוזמנו"
"This product is disabled.","המוצר מושבת."
"Buy %1 for price %2","קנה %1 עבור מחיר %2"
"Item ordered qty","כמות פריטים שהוזמנו"
"%1 with %2 discount each","%1 עם %2 הנחה עבור כל אחד"
"%1 for %2","%1 עבור %2"
"* - Enter custom price including tax","* - הזן מחיר מותאם אישית כולל מס"
"* - Enter custom price excluding tax","* - הזן מחיר מותאם אישית לא כולל מס"
"Configure","הגדר"
"This product does not have any configurable options","למוצר זה אין אפשרויות תצורה"
"Newsletter Subscription","ניוזלטר - רישום"
"Please select products","נא בחר מוצרים"
"Add Selected Product(s) to Order","הוסף מוצרים שנבחרו להזמנה"
"ID","מזהה"
"Product","מוצר"
"SKU","מק''ט"
"Price","מחיר"
"Select","בחירה"
"Quantity","כמות"
"Shipping Address","כתובת למשלוח"
"Shipping Method","שיטת משלוח"
"Update Changes","עדכון שינויים"
"Shopping Cart","עגלת קניות"
"Are you sure you want to delete all items from shopping cart?","האם אתה בטוח שברצונך למחוק את כל הפריטים שבעגלת הקניות?"
"Clear Shopping Cart","ניקוי עגלת קניות"
"Products in Comparison List","מוצרים ברשימת ההשוואה"
"Recently Compared Products","מוצרים שהושוו לאחרונה"
"Recently Viewed Products","מוצרים שנצפו לאחרונה"
"Last Ordered Items","פריטים אחרונים שהוזמנו"
"Recently Viewed","נצפו לאחרונה"
"Wish List","Wishlist"
"Please select a store","נא בחר חנות"
"Order Totals","סה""כ להזמנה"
"Shipping Incl. Tax (%1)","משלוח כולל מס (%1)"
"Shipping Excl. Tax (%1)","משלוח לא כולל מס (%1)"
"New Credit Memo for Invoice #%1","זיכוי חדש עבור חשבונית #%1"
"New Credit Memo for Order #%1","זיכוי חדש עבור הזמנה #%1"
"Refund Shipping (Incl. Tax)","החזר כספי עבור משלוח (כולל מע""מ)"
"Refund Shipping (Excl. Tax)","החזר כספי עבור משלוח (לא כולל מע""מ)"
"Refund Shipping","החזר כספי עבור משלוח"
"Update Qty's","עדכן כמויות"
"Update Totals","Update Totals"
"Refund","החזר כספי"
"Refund Offline","החזר במצב לא מקוון"
"Paid Amount","סכום ששולם"
"Refund Amount","סכום ההחזר"
"Shipping Amount","תעריף המשלוח"
"Shipping Refund","החזר כספי עבור משלוח"
"Order Grand Total","סכום הזמנה"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Adjustment Fee"
"Send Email","שליחת הודעת דוא""ל"
"Are you sure you want to send a credit memo email to customer?","Are you sure you want to send a credit memo email to customer?"
"Void","ריק"
"Print","הדפסה"
"The credit memo email was sent.","הדואר האלקטרוני נשלח בנוגע לתזכיר אשראי."
"The credit memo email wasn't sent.","הדואר האלקטרוני בנוגע לזיכוי לא נשלח."
"Credit Memo #%1 | %3 | %2 (%4)","Credit Memo #%1 | %3 | %2 (%4)"
"Total Refund","סה""כ הוחזר"
"New Invoice and Shipment for Order #%1","New Invoice and Shipment for Order #%1"
"New Invoice for Order #%1","New Invoice for Order #%1"
"Submit Invoice and Shipment","Submit Invoice and Shipment"
"Submit Invoice","Submit Invoice"
"Are you sure you want to send an invoice email to customer?","Are you sure you want to send an invoice email to customer?"
"Credit Memo","חשבונית זיכוי"
"Capture","לכידה"
"The invoice email was sent.","The invoice email was sent."
"The invoice email wasn't sent.","הדואר האלקטרוני בנוגע לחשבונית לא נשלח."
"Invoice #%1 | %2 | %4 (%3)","Invoice #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","Invalid parent block for this block"
"Order Statuses","Order Statuses"
"Create New Status","Create New Status"
"Assign Status to State","Assign Status to State"
"Save Status Assignment","Save Status Assignment"
"Assign Order Status to State","Assign Order Status to State"
"Assignment Information","Assignment Information"
"Order Status","סטטוס הזמנה"
"Order State","Order State"
"Use Order Status As Default","Use Order Status As Default"
"Visible On Storefront","Visible On Storefront"
"Edit Order Status","ערוך סטטוס הזמנה"
"Save Status","שמירת סטטוס"
"New Order Status","סטטוס הזמנה חדשה"
"Order Status Information","Order Status Information"
"Status Code","קוד סטטוס"
"Status Label","תווית מצב"
"Store View Specific Labels","Store View Specific Labels"
"Total Paid","סה""כ שולם"
"Total Refunded","סה""כ הוחזר"
"Total Due","Total Due"
"Edit","ערוך"
"Are you sure you want to send an order email to customer?","Are you sure you want to send an order email to customer?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?"
"Are you sure you want to void the payment?","Are you sure you want to void the payment?"
"Hold","Hold"
"hold","hold"
"Unhold","בטל השהייה"
"unhold","בטל השהייה"
"Are you sure you want to accept this payment?","האם אתה בטוח שברצונך לקבל את התשלום?"
"Accept Payment","קבל תשלום"
"Are you sure you want to deny this payment?","האם אתה בטוח שברצונך לדחות את התשלום?"
"Deny Payment","דחה תשלום"
"Get Payment Update","קבל עדכון תשלום"
"Invoice and Ship","חשבונית ושליחה"
"Invoice","חשבונית"
"Ship","שליחה"
"Reorder","הזמן מחדש"
"Order # %1 %2 | %3","הזמנה # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","הזמנה זו מכילה (%1) פריטים, ולכן לא ניתנת  לעריכה באמצעות ממשק הניהול. 'אם אתה רוצה להמשיך בעריכה, (%2) הפריטים יוסרו, ההזמנה תבוטל ותוגש הזמנה חדשה."
"Are you sure? This order will be canceled and a new one will be created instead.","האם אתה בטוח? הזמנה זו תבוטל והזמנה חדשה תיווצר במקומה."
"Save Gift Message","שמור הודעת מתנה"
" [deleted]"," [נמחק]"
"Order Credit Memos","זיכויי הזמנה"
"Credit memo #%1 created","זיכוי #%1 נוצר"
"Credit memo #%1 comment added","הערת זיכוי #%1 התווספה"
"Shipment #%1 created","משלוח #%1 נוצר"
"Shipment #%1 comment added","הערת משלוח #%1 התווספה"
"Invoice #%1 created","חשבונית #%1 נוצרה"
"Invoice #%1 comment added","הערת חשבונית #%1 התווספה"
"Tracking number %1 for %2 assigned","מספר מעקב %1 עבור %2 שהוקצה"
"Comments History","היסטוריית הערות"
"Order History","היסטורית הזמנות"
"Information","מידע"
"Order Information","פרטי ההזמנה"
"Order Invoices","חשבוניות הזמנה"
"Shipments","משלוחים"
"Order Shipments","משלוחי הזמנה"
"Transactions","טרנזקציות"
"Order View","צפה בהזמנה"
"Any","כל"
"Specified","צוין"
"Applies to Any of the Specified Order Statuses except canceled orders","חל על כל אחד ממצבי ההזמנות שצוינו למעט הזמנות שבוטלו"
"Cart Price Rule","כלל סל קניות"
"Yes","כן"
"No","לא"
"Show Actual Values","הצג ערכים עכשווים"
"New Order RSS","RSS הזמנה חדש"
"Subtotal","סכום ביניים"
"Shipping & Handling","משלוח וטיפול"
"Discount (%1)","הנחה (%1)"
"Discount","הנחה"
"Grand Total","הסכום הכולל"
"Back","חזור"
"Fetch","Fetch"
"Transaction # %1 | %2","טרנזקציה # %1 | %2"
"N/A","לא זמין"
"Key","מפתח"
"Value","ערך"
"We found an invalid entity model.","מצאנו מודל ישות לא חוקי."
"Order # %1","הזמנה #%1"
"Back to My Orders","חזרה אל ההזמנות שלי"
"View Another Order","הצג הזמנה אחרת"
"About Your Refund","אודות ההחזר הכספי שלך"
"My Orders","ההזמנות שלי"
"Subscribe to Order Status","הירשם לעדכוני מצב הזמנה"
"About Your Invoice","אודות החשבונית שלך"
"Print Order # %1","הדפס הזמנה # %1"
"Grand Total to be Charged","הסכום הכולל לחיוב"
"Unassign","בטל הקצאה"
"We can't add this item to your shopping cart right now."," לא ניתן להוסיף פריט זה לסל הקניות שלך כרגע."
"You sent the message.","שלחת את ההודעה."
"Sales","מכירות"
"Invoice capturing error","Invoice capturing error"
"This order no longer exists.","הזמנה זו כבר לא קיימת."
"Please enter a comment.","אנא הכנס תגובה."
"We cannot add order history.","We cannot add order history."
"You updated the order address.","You updated the order address."
"We can't update the order address right now.","אנחנו לא יכולים לעדכן את כתובת ההזמנה כרגע."
"You have not canceled the item.","You have not canceled the item."
"You canceled the order.","You canceled the order."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","""%1"" coupon code was not applied. Do not apply discount is selected for item(s)"
"""%1"" coupon code is not valid.","קוד קופון ""%1"" אינו חוקי."
"The coupon code has been accepted.","The coupon code has been accepted."
"Quote item id is not received.","לא התקבל Id עבור הצעת המחיר."
"Quote item is not loaded.","הצעת מחיר לפריט אינה נטענת."
"New Order","הזמנה חדשה"
"You created the order.","יצרת את ההזמנה."
