"Credit Memos","Kreditnotaer"
"Orders","Ordrer"
"Invoices","Fakturaer"
"We can't get the order instance right now.","We can't get the order instance right now."
"Create New Order","Opprette ny ordre"
"Save Order Address","Lagre bestillingsadresse"
"Shipping","Frakt"
"Billing","Fakturering"
"Edit Order %1 %2 Address","Edit Order %1 %2 Address"
"Order Address Information","Order Address Information"
"Please correct the parent block for this block.","Please correct the parent block for this block."
"Submit Comment","Send kommentar"
"Submit Order","Send inn bestilling"
"Are you sure you want to cancel this order?","Er du sikker på at du vil kansellere denne bestillingen?"
"Cancel","Avbryt"
"Billing Address","Faktureringsadresse"
"Payment Method","Betalingsmåte"
"Order Comment","Kommentarer til ordren"
"Coupons","Coupons"
"Please select a customer","Velg en kunde"
"Create New Customer","Opprett ny kunde"
"Account Information","Kontoinformasjon"
"From","Fra"
"To","Til"
"Message","Beskjed"
"Edit Order #%1","Rediger ordre #%1"
"Create New Order for %1 in %2","Create New Order for %1 in %2"
"Create New Order in %1","Create New Order in %1"
"Create New Order for %1","Create New Order for %1"
"Create New Order for New Customer","Create New Order for New Customer"
"Items Ordered","Bestilte produkter"
"This product is disabled.","Dette produktet er deaktivert."
"Buy %1 for price %2","Buy %1 for price %2"
"Item ordered qty","Item ordered qty"
"%1 with %2 discount each","%1 with %2 discount each"
"%1 for %2","%1 for %2"
"* - Enter custom price including tax","* - Enter custom price including tax"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"Configure","Konfigurer"
"This product does not have any configurable options","Dette produktet har ingen konfigurerbare alternativer"
"Newsletter Subscription","Nyhetsbrev abonnement"
"Please select products","Vennligst velg produkter"
"Add Selected Product(s) to Order","Legg valgte produkt(er) til ordre"
"ID","ID"
"Product","Produkt"
"SKU","Varenummer"
"Price","Pris"
"Select","Velg"
"Quantity","Antall"
"Shipping Address","Leveringsadresse"
"Shipping Method","Forsendelsesmåte"
"Update Changes","Oppdater endringer"
"Shopping Cart","Handlekurv"
"Are you sure you want to delete all items from shopping cart?","Er du sikker på at du vil slette alle varer fra handlekurv?"
"Clear Shopping Cart","Tøm handlekurv"
"Products in Comparison List","Produkter i sammenligningslisten"
"Recently Compared Products","Nylig sammenlignede produkter"
"Recently Viewed Products","Nylig viste produkter"
"Last Ordered Items","Siste bestilte varer"
"Recently Viewed","Nylig vist"
"Wish List","Ønskeliste"
"Please select a store","Vennligst velg en butikk"
"Order Totals","Ordretotal"
"Shipping Incl. Tax (%1)","Frakt inkl. merverdiavgift (%1)"
"Shipping Excl. Tax (%1)","Frakt eks. merverdiavgift (%1)"
"New Credit Memo for Invoice #%1","New Credit Memo for Invoice #%1"
"New Credit Memo for Order #%1","New Credit Memo for Order #%1"
"Refund Shipping (Incl. Tax)","Refund Shipping (Incl. Tax)"
"Refund Shipping (Excl. Tax)","Refund Shipping (Excl. Tax)"
"Refund Shipping","Tilbakebetal fraktkostnader"
"Update Qty's","Oppdater antall"
"Update Totals","Oppdater totaler"
"Refund","Refundering"
