"Credit Memos","Faktury korygujące"
"Orders","Zamówienia"
"Invoices","Faktury"
"We can't get the order instance right now.","W tej chwili nie możemy załadować tego zamówienia."
"Create New Order","Utwórz zamówienie"
"Save Order Address","Zapisz adres zamówienia"
"Shipping","Dostawa"
"Billing","Rozliczenie"
"Edit Order %1 %2 Address","Edycja adresu zamówienia %1 %2"
"Order Address Information","Informacje adresowe zamówienia"
"Please correct the parent block for this block.","Popraw blok nadrzędny tego bloku."
"Submit Comment","Dodaj komentarz"
"Submit Order","Wyślij zamówienie"
"Are you sure you want to cancel this order?","Czy na pewno chcesz anulować to zamówienie?"
"Cancel","Anuluj"
"Billing Address","Adres rozliczeniowy"
"Payment Method","Metoda płatności"
"Order Comment","Komentarz do zamówienia"
"Coupons","Kupony"
"Please select a customer","Wybierz klienta"
"Create New Customer","Utwórz klienta"
"Account Information","Dane konta"
"From","Od"
"To","Do"
"Message","Wiadomość"
"Edit Order #%1","Edycja zamówienia nr %1"
"Create New Order for %1 in %2","Utwórz nowe zamówienie dla %1 w %2"
"Create New Order in %1","Utwórz nowe zamówienie w %1"
"Create New Order for %1","Utwórz nowe zamówienie dla %1"
"Create New Order for New Customer","Utwórz nowe zamówienie dla nowego klienta"
"Items Ordered","Zamówione produkty"
"This product is disabled.","Ten produkt jest wyłączony."
"Buy %1 for price %2","Kup %1 za %2"
"Item ordered qty","Zamówiona ilość"
"%1 with %2 discount each","%1 z %2 zniżki na każdym"
"%1 for %2","%1 dla %2"
"* - Enter custom price including tax","* - Wprowadź własną cenę z podatkiem"
"* - Enter custom price excluding tax","* - Wprowadź własną cenę bez podatku"
"Configure","Konfiguruj"
"This product does not have any configurable options","Ten produkt nie posiada żadnych konfigurowalnych opcji"
"Newsletter Subscription","Subskrypcja newsletter'a"
"Please select products","Proszę wybrać produkty"
"Add Selected Product(s) to Order","Dodaj wybrane produkty do zamówienia"
"ID","Identyfikator"
"Product","Produkt"
"SKU","SKU"
"Price","Cena"
"Select","Wybierz"
"Quantity","Ilość"
"Shipping Address","Adres wysyłki"
"Shipping Method","Metoda dostawy"
"Update Changes","Uaktualnij zmiany"
"Shopping Cart","Koszyk"
"Are you sure you want to delete all items from shopping cart?","Czy na pewno chcesz usunąć wszystkie przedmioty z koszyka?"
"Clear Shopping Cart","Opróżnij koszyk"
"Products in Comparison List","Produkty na liście do porównania"
"Recently Compared Products","Ostatnio porównywane produkty"
"Recently Viewed Products","Ostatnio oglądane produkty"
"Last Ordered Items","Ostatnio zamówione przedmioty"
"Recently Viewed","Ostatnio oglądane"
"Wish List","Lista życzeń"
"Please select a store","Prosimy wybrać sklep"
"Order Totals","Sumy zamówienia"
"Shipping Incl. Tax (%1)","Dostawa z podatkiem (%1)"
"Shipping Excl. Tax (%1)","Dostawa bez podatku (%1)"
"New Credit Memo for Invoice #%1","Nowa nota do faktury #%1"
"New Credit Memo for Order #%1","Nowa nota do zamówienia #%1"
"Refund Shipping (Incl. Tax)","Zwrot dostawy (z podatkiem)"
"Refund Shipping (Excl. Tax)","Zwrot dostawy (bez podatku)"
"Refund Shipping","Zwrot kosztów wysyłki"
"Update Qty's","Aktualizuj ilości"
"Update Totals","Update Totals"
"Refund","Zwróć"
"Refund Offline","Zwróć offline"
"Paid Amount","Zapłacono kwotę"
"Refund Amount","Zwrócona kwota"
"Shipping Amount","Wartość dostawy"
"Shipping Refund","Zwrot kosztów dostawy"
"Order Grand Total","Suma zamówienia"
"Adjustment Refund","Zwrot manipulacyjny"
"Adjustment Fee","Opłata manipulacyjna"
"Send Email","Wyślij e-mail"
"Are you sure you want to send a credit memo email to customer?","Czy na pewno chcesz wysłać fakturę korygującą do klienta?"
"Void","Unieważniony"
"Print","Drukuj"
"The credit memo email was sent.","E-mail z fakturą korygującą został wysłany."
"The credit memo email wasn't sent.","E-mail z fakturą korygującą nie został wysłany."
"Credit Memo #%1 | %3 | %2 (%4)","Faktura korygująca #%1 | %3 | %2 (%4)"
"Total Refund","Łączny zwrot"
"New Invoice and Shipment for Order #%1","Nowa faktura i dostawa dla zamówienia nr #%1"
"New Invoice for Order #%1","Nowa faktura do zamówienia #%1"
"Submit Invoice and Shipment","Wyślij fakturę i dostawę"
"Submit Invoice","Wyślij fakturę"
"Are you sure you want to send an invoice email to customer?","Czy na pewno chcesz wysłać e-mail z fakturą do klienta?"
"Credit Memo","Faktura korygująca"
"Capture","Przechwyć"
"The invoice email was sent.","E-mail z fakturą został wysłany."
"The invoice email wasn't sent.","E-mail z fakturą nie został wysłany."
"Invoice #%1 | %2 | %4 (%3)","Faktura #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","Nieprawidłowy blok nadrzędny dla tego bloku"
"Order Statuses","Statusy zamówienia"
"Create New Status","Utwórz nowy status"
"Assign Status to State","Przypisz status do stanu"
"Save Status Assignment","Zapisz przypisanie statusu"
"Assign Order Status to State","Przypisz status zamówienia do stanu"
"Assignment Information","Informacje o przypisaniu"
"Order Status","Stan zamówienia"
"Order State","Stan zamówienia"
"Use Order Status As Default","Uzyj status zamówienia jako domyślny"
"Visible On Storefront","Widoczne na sklepie"
"Edit Order Status","Edycja statusu zamówienia"
"Save Status","Zapisz status"
"New Order Status","Status nowego zamówienia"
"Order Status Information","Informacje statusu zamówienia"
"Status Code","Kod statusu"
"Status Label","Etykieta statusu"
"Store View Specific Labels","Etykiety specyficzne dla widoku sklepu"
"Total Paid","Łącznie zapłacono"
"Total Refunded","Łącznie zwrócono"
"Total Due","Pozostało"
"Edit","Edytuj"
"Are you sure you want to send an order email to customer?","Czy na pewno chcesz wysłać informację o zamówieniu do klienta?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","To utworzy refundację offline. W celu utworzenia refundacji online, otwórz fakturę i utwórz dla niej fakturę korygującą. Czy chcesz kontynuować?"
"Are you sure you want to void the payment?","Czy na pewno chcesz unieważnić tę płatność?"
"Hold","Wstrzymaj"
"hold","wstrzymaj"
"Unhold","Odblokuj"
"unhold","odblokuj"
"Are you sure you want to accept this payment?","Czy na pewno chcesz zaakceptować tę płatność?"
"Accept Payment","Akceptuj płatność"
"Are you sure you want to deny this payment?","Czy na pewno chcesz odrzucić tę płatność?"
"Deny Payment","Odrzuć płatność"
"Get Payment Update","Pobierz aktualizację płatności"
"Invoice and Ship","Faktura i rachunek"
"Invoice","Faktura"
"Ship","Dostawa"
"Reorder","Zamów ponownie"
"Order # %1 %2 | %3","Zamówienie # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","To zamówienie zawiera (%1) produktów i dlatego nie może być teraz edytowane z poziomu panelu administracyjnego. Jeśli chcesz kontynuować edycję (%2) produktów zostanie usuniętych, aktualne zamówienie zostanie anulowane, a na jego miejsce zostanie utworzone nowe."
"Are you sure? This order will be canceled and a new one will be created instead.","Czy jesteś pewien? To zamówienie zostanie usunięte a w miejsce niego zostanie utworzone nowe."
"Save Gift Message","Zapisz wiadomość prezentową"
" [deleted]"," [usunięty]"
"Order Credit Memos","Notatki faktur korygujących"
"Credit memo #%1 created","Faktura korygująca nr %1 została utworzona"
"Credit memo #%1 comment added","Komentarz do faktury korygującej nr %1 został dodany"
"Shipment #%1 created","Dostawa nr %1 została utworzona"
"Shipment #%1 comment added","Komentarz do dostawy nr %1 został dodany"
"Invoice #%1 created","Faktura nr %1 została utworzona"
"Invoice #%1 comment added","Komentarz do faktury nr %1 został dodany"
"Tracking number %1 for %2 assigned","Numer śledzenia przesyłki %1 dla %2 został przyporządkowany"
"Comments History","Historia komentarzy"
"Order History","Historia zamówień"
"Information","Informacje"
"Order Information","Informacje o zamówieniu"
"Order Invoices","Faktury zamówień"
"Shipments","Dostawy"
"Order Shipments","Wysyłki zamówień"
"Transactions","Transakcje"
"Order View","Podgląd zamówienia"
"Any","Dowolny"
"Specified","Wybrane"
"Applies to Any of the Specified Order Statuses except canceled orders","Stosuje się do każdej z określonych Stanów zamówienia z wyjątkiem anulowanych zamówień"
"Cart Price Rule","Reguły cenowe koszyka"
"Yes","Tak"
"No","Nie"
"Show Actual Values","Pokaż bieżące wartości"
"New Order RSS","Nowe zamówienie RSS"
"Subtotal","Suma częściowa"
"Shipping & Handling","Wysyłka i obsługa"
"Discount (%1)","Zniżka (%1)"
"Discount","Zniżka"
"Grand Total","Łącznie"
"Back","Powrót"
"Fetch","Pobierz"
"Transaction # %1 | %2","Transakcja nr %1 | %2"
"N/A","N/D"
"Key","Klucz"
"Value","Wartość"
"We found an invalid entity model.","Znaleźliśmy nieprawidłową encję modelu."
"Order # %1","Zamówienie #%1"
"Back to My Orders","Powrót do moich zamówień"
"View Another Order","Zobacz inne zamówienie"
"About Your Refund","O twoim zwrocie"
"My Orders","Moje zamówienia"
