"Credit Memos","İade Kayıtları"
"Orders","Siparişler"
"Invoices","Faturalar"
"We can't get the order instance right now.","Şu anda sipariş örneği güncellenemiyor."
"Create New Order","Yeni Sipariş Ekle"
"Save Order Address","Sipariş Adresini Kaydet"
"Shipping","Kargo"
"Billing","Fatura"
"Edit Order %1 %2 Address","Sipariş %1 %2 adresi düzenle"
"Order Address Information","Sipariş Adres Bilgisi"
"Please correct the parent block for this block.","Lütfen bu blok için ana bloğu düzeltin."
"Submit Comment","Açıklama Gönder"
"Submit Order","Siparişi Gönder"
"Are you sure you want to cancel this order?","Bu siparişi iptal etmek istediğinizden emin misiniz?"
"Cancel","İptal"
"Billing Address","Fatura Adresi"
"Payment Method","Tahsilat Yöntemi"
"Order Comment","Sipariş Açıklaması"
"Coupons","Kuponlar"
"Please select a customer","Lütfen müşteri seçiniz"
"Create New Customer","Yeni Müşteri Ekle"
"Account Information","Hesap Bilgisi"
"From","Baş"
"To","Bit"
"Message","Mesaj"
"Edit Order #%1","Siparişi Düzenle #%1"
"Create New Order for %1 in %2","%2 'nin içindeki %1 için Yeni Sipariş Oluştur"
"Create New Order in %1","%1 'in içinde Yeni Sipariş Oluştur"
"Create New Order for %1","%1 için Yeni Sipariş Oluştur"
"Create New Order for New Customer","Yeni Müşteri için Yeni Sipariş Ekle"
"Items Ordered","Sipariş Edilen Ürünler"
"This product is disabled.","Bu ürün devre dışıdır."
"Buy %1 for price %2","%1 fiyatına %2 satın alın"
"Item ordered qty","sipariş edilen miktar"
"%1 with %2 discount each","Her biri %2 indirimli %1"
"%1 for %2","%2 için %1"
"* - Enter custom price including tax","* - vergi dahil özel fiyat giriniz"
"* - Enter custom price excluding tax","* - vergi hariç özel fiyat giriniz"
"Configure","Yapılandır"
"This product does not have any configurable options","Bu ürünün herhangi bir ayarlanabilir seçeneği bulunmuyor"
"Newsletter Subscription","Duyuru Aboneliği"
"Please select products","Lütfen ürünleri seçin"
"Add Selected Product(s) to Order","Seçilen Ürünü(leri) Siparişe Ekle"
"ID","No"
"Product","Ürün"
"SKU","Ürün Kodu"
"Price","Fiyat"
"Select","Seçiniz"
"Quantity","Miktar"
"Shipping Address","Teslimat Adresi"
"Shipping Method","Teslimat Yöntemi"
"Update Changes","Değişiklikleri güncelle"
"Shopping Cart","Alışveriş Sepeti"
"Are you sure you want to delete all items from shopping cart?","Alışveriş sepetinden tüm ürünleri silmek istediğinizden emin misiniz?"
"Clear Shopping Cart","Alışveriş Sepetini Temizle"
"Products in Comparison List","Karşılaştırma Listelerindeki Ürünler"
"Recently Compared Products","Son Zamanlardan Karşılaştırılan Ürünler"
"Recently Viewed Products","En son Görülen Ürünler"
"Last Ordered Items","Son Sipariş Edilen Ürünler"
"Recently Viewed","En son görülenler"
"Wish List","İstek listesi"
"Please select a store","Lütfen bir mağaza seçiniz"
"Order Totals","Sipariş Toplamları"
"Shipping Incl. Tax (%1)","Nakliye KDV dahil (%1)"
"Shipping Excl. Tax (%1)","Nakliye KDV hariç (%1)"
"New Credit Memo for Invoice #%1","Fatura için Yeni Kredi Notu #%1"
"New Credit Memo for Order #%1","Sipariş İçin Yeni Kredi Notu #%1"
"Refund Shipping (Incl. Tax)","Teslimat Ücretini İade Et (Vergi Dahil)"
"Refund Shipping (Excl. Tax)","Teslimat Ücretini İade Et (Vergi Hariç)"
"Refund Shipping","Teslimat Ücretini İade Et"
"Update Qty's","Adetleri Güncelle"
"Update Totals","Update Totals"
"Refund","İade"
"Refund Offline","Çevrimdışı İade"
"Paid Amount","Ödenen Tutar"
"Refund Amount","İade Edilecek Tutar"
"Shipping Amount","Teslimat Tutarı"
"Shipping Refund","Teslimat Ücret İadesi"
"Order Grand Total","Sipariş Genel Toplamı"
"Adjustment Refund","Ayarlama Ücreti İadesi"
"Adjustment Fee","Ayarlama Ücreti"
"Send Email","E-posta Gönder"
"Are you sure you want to send a credit memo email to customer?","Müşteriye bir kredi notu e-postası göndermek istediğinizden emin misiniz?"
"Void","İptal edildi"
"Print","Yazdır"
"The credit memo email was sent.","Kredi notu e-postası gönderildi."
"The credit memo email wasn't sent.","Kredi notu e-postası gönderilemedi."
"Credit Memo #%1 | %3 | %2 (%4)","Kredi Notu #%1 | %3 | %2 (%4)"
"Total Refund","Toplam İade"
"New Invoice and Shipment for Order #%1","#%1 numaralı siparişiniz için yeni fatura ve sevk irsaliyesi"
"New Invoice for Order #%1","#%1 numaralı sipariş için yeni fatura"
"Submit Invoice and Shipment","Fatura ve Kargo Fişini Kaydet"
"Submit Invoice","Faturayı Gönder"
"Are you sure you want to send an invoice email to customer?","Müşteriye bir fatura e-postası göndermek istediğinizden emin misiniz?"
"Credit Memo","İade kaydı"
"Capture","tahsil et"
"The invoice email was sent.","Fatura e-postası gönderildi."
"The invoice email wasn't sent.","Fatura e-postası gönderilemedi."
"Invoice #%1 | %2 | %4 (%3)","Fatura #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","Bu blok için hatalı ana blok"
"Order Statuses","Sipariş Durumları"
"Create New Status","Yeni Durum Oluştur"
"Assign Status to State","Durumu Seviyeye Ata"
"Save Status Assignment","Durum Atamasını Kaydet"
"Assign Order Status to State","Sipariş Durumunu Sipariş Seviyesine Atayın"
"Assignment Information","Atanma Bilgisi"
"Order Status","Sipariş Durumu"
"Order State","Sipariş Seviyesi"
"Use Order Status As Default","Varsayılan olarak Sipariş Durumunu kullan"
"Visible On Storefront","Mağazada görünür"
"Edit Order Status","Sipariş Durumunu Düzenle"
"Save Status","Durumu Kaydet"
"New Order Status","Yeni sipariş durumu"
"Order Status Information","Sipariş Durumu Bilgisi"
"Status Code","Durum Kodu"
"Status Label","Durum Etiketi"
"Store View Specific Labels","Mağaza Görünümüne Özel Etiketler"
"Total Paid","Toplam Ödenen"
"Total Refunded","Toplam İade Edilenler"
"Total Due","Toplam Vadesi Gelenler"
"Edit","Düzenle"
"Are you sure you want to send an order email to customer?","Müşteriye bir sipariş e-postası göndermek istediğinizden emin misiniz?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","Bu, çevrimdışı bir geri ödeme oluşturacaktır. Çevrimiçi bir geri ödeme oluşturmak için bir fatura açıp, fatura için kredi notu oluşturun. Devam etmek istiyor musun?"
"Are you sure you want to void the payment?","Ödemeyi iptal etmek istediğinizden emin misiniz?"
"Hold","Askıya Al"
"hold","beklemeye al"
"Unhold","Beklemeden Çıkar"
"unhold","beklemeden çıkar"
"Are you sure you want to accept this payment?","Bu ödemeyi kabul etmek istediğinizden emin misiniz?"
"Accept Payment","Ödemeyi Kabul Et"
"Are you sure you want to deny this payment?","Bu ödemeyi iptal etmek istediğinizden emin misiniz?"
"Deny Payment","Ödemeyi Reddet"
"Get Payment Update","Ödeme Güncellemesi Al"
"Invoice and Ship","Fatura ve Teslimat"
"Invoice","Fatura"
"Ship","Kargo"
"Reorder","Yeniden Sipariş"
"Order # %1 %2 | %3","Sipariş # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","Bu siparişte (%1) öğeleri bulunur ve bu nedenle yönetici arayüzünden düzenlenemez. Düzenlemeye devam etmek isterseniz, (%2) öğeleri kaldırılacak, sipariş iptal edilecek ve yeni bir sipariş oluşturulacak."
"Are you sure? This order will be canceled and a new one will be created instead.","Emin misiniz? Bu sipariş iptal edilecek ve yerine yeni bir sipariş oluşturulacaktır."
"Save Gift Message","Hediye Mesajını Kaydet"
" [deleted]"," [silindi]"
"Order Credit Memos","Sipariş İade Kayıtları"
"Credit memo #%1 created","Kredi notu #%1 oluşturuldu"
"Credit memo #%1 comment added","Kredi notu #%1 yorumu eklendi"
"Shipment #%1 created","Sevkıyat #%1 oluşturuldu"
"Shipment #%1 comment added","Sevkıyat #%1 yorumu eklendi"
"Invoice #%1 created","Fatura #%1 oluşturuldu"
"Invoice #%1 comment added","Fatura #%1 yorumu eklendi"
"Tracking number %1 for %2 assigned","%2 için %1 takip numarası atandı"
"Comments History","Açıklama Geçmişi"
"Order History","Sipariş Geçmişi"
"Information","Bilgi"
"Order Information","Sipariş Bilgisi"
"Order Invoices","Sipariş Faturaları"
"Shipments","Teslimatlar"
"Order Shipments","Sipariş Teslimatları"
"Transactions","İşlemler"
"Order View","Sipariş Görünümü"
"Any","Herhangi biri"
"Specified","Özel"
"Applies to Any of the Specified Order Statuses except canceled orders","İptal edilen siparişler haricinde Belirtilen Sipariş Durumu'ndan herhangi birine uygulanır"
"Cart Price Rule","Sepet fiyatı kuralı"
"Yes","Evet"
"No","Hayır"
"Show Actual Values","Canlı Verileri Göster"
"New Order RSS","Yeni Sipariş RSS Akışı"
"Subtotal","Ara Toplam"
"Shipping & Handling","Teslimat & Teslim Alma"
"Discount (%1)","İndirim (%1)"
"Discount","İndirim"
"Grand Total","Genel Toplam"
"Back","Geri"
"Fetch","Getir"
"Transaction # %1 | %2","İşlem # %1 | %2"
"N/A","Mevcut Değil"
"Key","Anahtar"
"Value","Değer"
"We found an invalid entity model.","Geçersiz bir giriş türü bulduk."
"Order # %1","Sipariş # %1"
"Back to My Orders","Siparişlerime Geri Dön"
"View Another Order","Başka Sipariş Göster"
"About Your Refund","İadeniz Hakkında"
"My Orders","Siparişlerim"
"Subscribe to Order Status","Siparişi Durumu Bilgisine Abone Ol"
"About Your Invoice","Faturanız Hakkında"
"Print Order # %1","# %1 numaralı siparişi yazdır"
"Grand Total to be Charged","Genel Toplam tahsil edildi"
"Unassign","Atamayı kaldır"
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"You sent the message.","Mesaj gönderdin."
"Sales","Satışlar"
"Invoice capturing error","Fatura yakalama hatası"
"This order no longer exists.","Bu sipariş bulunamıyor."
"Please enter a comment.","Please enter a comment."
"We cannot add order history.","Sipariş geçmişi ekleyemiyoruz."
"You updated the order address.","Sipariş adresi güncellendi."
"We can't update the order address right now.","Şu anda sipariş adresi güncellenemiyor."
"You have not canceled the item.","Ürünü iptal etmediniz."
"You canceled the order.","Sipariş iptal edildi."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","""%1"" kupon kodu uygulanamadı. Seçili ürün(ler) için geçerli değildir"
"""%1"" coupon code is not valid.","""%1"" coupon code is not valid."
"The coupon code has been accepted.","Kupon kodu kabul edildi."
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"New Order","Yeni Sipariş"
"You created the order.","Sipariş oluşturuldu."
"Order saving error: %1","Sipariş kaydedilemedi, hata: %1"
"Cannot add new comment.","Yeni açıklama eklenemiyor."
"The credit memo has been canceled.","İade kaydı iptal edildi."
"Credit memo has not been canceled.","Kredi notu iptal edilmedi."
"New Memo for #%1","#%1 için Yeni Not"
"New Memo","Yeni İade Kaydı"
"The credit memo's total must be positive.","Kredi notunun toplamı olumlu olmalıdır."
"Cannot create online refund for Refund to Store Credit.","Mağaza Kredisine Geri Ödeme için çevrimiçi geri ödeme oluşturamazsınız."
"You created the credit memo.","Kredi notu oluşturdunuz."
"We can't save the credit memo right now.","Kredi notunu şu an kaydedemiyoruz."
"We can't update the item's quantity right now.","Malzeme miktarını şu anda güncelleyemiyoruz."
"View Memo for #%1","#%1 için Notu Görüntüle"
"View Memo","Kaydı Göster"
"You voided the credit memo.","Kredi notunu iptal ettiniz."
"We can't void the credit memo.","Kredi notunu geçersiz olamaz."
