"Credit Memos","Повернення коштів"
"Orders","Замовлення"
"Invoices","Рахунки"
"We can't get the order instance right now.","We can't get the order instance right now."
"Create New Order","Create New Order"
"Save Order Address","Save Order Address"
"Shipping","Доставка"
"Billing","Billing"
"Edit Order %1 %2 Address","Edit Order %1 %2 Address"
"Order Address Information","Order Address Information"
"Please correct the parent block for this block.","Please correct the parent block for this block."
"Submit Comment","Надіслати коментар"
"Submit Order","Submit Order"
"Are you sure you want to cancel this order?","Ви впевнені, що хочете скасувати це замовлення?"
"Cancel","Скасувати"
"Billing Address","Платіжна Адреса"
"Payment Method","Спосіб оплати"
"Order Comment","Order Comment"
"Coupons","Coupons"
"Please select a customer","Please select a customer"
"Create New Customer","Create New Customer"
"Account Information","Інформація про обліковий запис"
"From","Від"
"To","До"
"Message","Повідомлення"
"Edit Order #%1","Edit Order #%1"
"Create New Order for %1 in %2","Create New Order for %1 in %2"
"Create New Order in %1","Create New Order in %1"
"Create New Order for %1","Create New Order for %1"
"Create New Order for New Customer","Create New Order for New Customer"
"Items Ordered","Замовлені позиції"
"This product is disabled.","This product is disabled."
"Buy %1 for price %2","Buy %1 for price %2"
"Item ordered qty","Item ordered qty"
"%1 with %2 discount each","%1 with %2 discount each"
"%1 for %2","%1 for %2"
"* - Enter custom price including tax","* - Enter custom price including tax"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"Configure","Налаштувати"
"This product does not have any configurable options","This product does not have any configurable options"
"Newsletter Subscription","Підписка на розсилку новин"
"Please select products","Please select products"
"Add Selected Product(s) to Order","Add Selected Product(s) to Order"
"ID","Ідентифікатор"
"Product","Продукт"
"SKU","Артикул"
"Price","Ціна"
"Select","Select"
"Quantity","Кількість"
"Shipping Address","Адреса доставки"
"Shipping Method","Спосіб доставки"
"Update Changes","Update Changes"
"Shopping Cart","Кошик"
"Are you sure you want to delete all items from shopping cart?","Are you sure you want to delete all items from shopping cart?"
"Clear Shopping Cart","Очистити кошик"
"Products in Comparison List","Products in Comparison List"
"Recently Compared Products","Нещодавно порівняні товари"
"Recently Viewed Products","Нещодавно переглянуті товари"
"Last Ordered Items","Останні замовлені позиції"
"Recently Viewed","Нещодавно переглянуті"
"Wish List","Список Бажань"
"Please select a store","Please select a store"
"Order Totals","Order Totals"
"Shipping Incl. Tax (%1)","Shipping Incl. Tax (%1)"
"Shipping Excl. Tax (%1)","Shipping Excl. Tax (%1)"
"New Credit Memo for Invoice #%1","New Credit Memo for Invoice #%1"
"New Credit Memo for Order #%1","New Credit Memo for Order #%1"
"Refund Shipping (Incl. Tax)","Refund Shipping (Incl. Tax)"
"Refund Shipping (Excl. Tax)","Refund Shipping (Excl. Tax)"
"Refund Shipping","Refund Shipping"
"Update Qty's","Update Qty's"
"Update Totals","Update Totals"
"Refund","Refund"
"Refund Offline","Refund Offline"
"Paid Amount","Paid Amount"
"Refund Amount","Refund Amount"
"Shipping Amount","Shipping Amount"
"Shipping Refund","Shipping Refund"
"Order Grand Total","Order Grand Total"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Adjustment Fee"
"Send Email","Send Email"
"Are you sure you want to send a credit memo email to customer?","Are you sure you want to send a credit memo email to customer?"
"Void","Void"
"Print","Друк"
"The credit memo email was sent.","The credit memo email was sent."
"The credit memo email wasn't sent.","The credit memo email wasn't sent."
