"Credit Memos","Note credit"
"Orders","Comenzile mele"
"Invoices","Facturi"
"We can't get the order instance right now.","Nu putem obține instanța comenzii momentan."
"Create New Order","Creați Comandă nouă"
"Save Order Address","Salvați adresă comandă"
"Shipping","Livrare"
"Billing","Facturare"
"Edit Order %1 %2 Address","Editare adresă comandă %1 %2"
"Order Address Information","Informații adresă comandă"
"Please correct the parent block for this block.","Corectați blocul de bază pentru acest bloc."
"Submit Comment","Trimite comentariu"
"Submit Order","Trimite comandă"
"Are you sure you want to cancel this order?","Sunteți sigur că doriți să anulați această comandă?"
"Cancel","anulați"
"Billing Address","Adresă facturare"
"Payment Method","Metode de plată"
"Order Comment","Comentariu comandă"
"Coupons","Cupoane"
"Please select a customer","Selectați un client"
"Create New Customer","Creați client nou"
"Account Information","Informații de profil"
"From","De la"
"To","Către"
"Message","Mesaj"
"Edit Order #%1","Editare comandă #%1"
"Create New Order for %1 in %2","Creare comandă nouă pentru %1 în %2"
"Create New Order in %1","Create New Order in %1"
"Create New Order for %1","Creare comandă nouă pentru %1"
"Create New Order for New Customer","Creare comandă nouă pentru client nou"
"Items Ordered","Articolele comandate"
"This product is disabled.","Acest produs este dezactivat."
"Buy %1 for price %2","Cumpără %1 la prețul de %2"
"Item ordered qty","Cantitate comandată articol"
"%1 with %2 discount each","%1 cu %2 reducere fiecare"
"%1 for %2","%1 cu %2"
"* - Enter custom price including tax","* - Introduceți prețul personalizat incluzând taxele"
"* - Enter custom price excluding tax","* - Introduceți prețul personalizat excluzând taxele"
"Configure","Configurare"
"This product does not have any configurable options","Acest produs nu are nici o opțiune de configurare"
"Newsletter Subscription","Abonare la newsletter"
"Please select products","Selectați produse"
"Add Selected Product(s) to Order","Adăugați produsele selectate la Comandă"
"ID","ID"
"Product","Proodus"
"SKU","Cod"
"Price","Preț"
"Select","Selectare"
"Quantity","Cantitate"
"Shipping Address","Adresa de livrare"
"Shipping Method","Metode de livrare"
"Update Changes","Actualizare modificări"
"Shopping Cart","Coșul de cumpărături"
"Are you sure you want to delete all items from shopping cart?","Sunteți sigur că doriți să ștergeți toate articolele din coșul de cumpărături?"
"Clear Shopping Cart","Golește coșul de cumpărături"
"Products in Comparison List","produse în lista de comparare"
"Recently Compared Products","Produse comparate recent"
"Recently Viewed Products","Produse vizualizate recent"
"Last Ordered Items","Ultimele articole comandate"
"Recently Viewed","Visto Recentemente"
"Wish List","Listă de dorințe"
"Please select a store","Selectați un magazin"
"Order Totals","Total comenzi"
