"Credit Memos","Notas de Crédito"
"Orders","Pedidos"
"Invoices","Facturas"
"We can't get the order instance right now.","De momento não conseguimos a instância do pedido."
"Create New Order","Criar nova encomenda"
"Save Order Address","Guardar Morada da Encomenda"
"Shipping","Envio"
"Billing","Faturação "
"Edit Order %1 %2 Address","Editar morada da encomenda %1 %2"
"Order Address Information","Order Address Information"
"Please correct the parent block for this block.","Por favor, corrija o bloco pai para este bloco."
"Submit Comment","Enviar comentário"
"Submit Order","Submeter Pedido"
"Are you sure you want to cancel this order?","Tem a certeza que deseja cancelar esta encomenda?"
"Cancel","Cancelar"
"Billing Address","Morada de Faturação"
"Payment Method","Método de Pagamento"
"Order Comment","Comentário para a Encomenda"
"Coupons","Cupões"
"Please select a customer","Por favor selecione um cliente"
"Create New Customer","Criar Novo Cliente"
"Account Information","Informações da Conta"
"From","De"
"To","Para"
"Message","Mensagem"
"Edit Order #%1","Editar Encomenda #%1"
"Create New Order for %1 in %2","Criar Novo Pedido para %1 em %2"
"Create New Order in %1","Criar nova encomenda em %1"
"Create New Order for %1","Criar nova encomenda para %1"
"Create New Order for New Customer","Criar nova encomenda para um novo cliente"
"Items Ordered","Artigos Encomendados"
"This product is disabled.","Este produto não está activo."
"Buy %1 for price %2","Comprar %1 pelo preço %2"
"Item ordered qty","Qtd encomendada do item"
"%1 with %2 discount each","%1 com %2 de desconto cada"
"%1 for %2","%1 para %2"
"* - Enter custom price including tax","* - Inserir preço personalizado, incluindo impostos"
"* - Enter custom price excluding tax","* - Inserir preço personalizado, excluindo impostos"
"Configure","Configurar"
"This product does not have any configurable options","Este produto não tem qualquer opção configurável"
"Newsletter Subscription","Subscrição da Newsletter"
"Please select products","Por favor selecione produtos"
"Add Selected Product(s) to Order","Adicionar Produto(s) Seleccionado(s) ao Pedido"
"ID","Id."
"Product","Produto"
"SKU","REF"
"Price","Preço"
"Select","Selecione"
"Quantity","Quantidade"
"Shipping Address","Morada de Envio"
"Shipping Method","Modo de Envio"
"Update Changes","Actualizar Mudanças"
