"Credit Memos","Memorandos de Crédito"
"Orders","Pedidos"
"Invoices","Faturas"
"We can't get the order instance right now.","Não foi possível obter a instância do pedido."
"Create New Order","Criar novo pedido"
"Save Order Address","Salvar endereço do pedido"
"Shipping","Frete"
"Billing","Cobrança"
"Edit Order %1 %2 Address","Editar pedido %1 %2 endereço"
"Order Address Information","Informações de endereço do pedido"
"Please correct the parent block for this block.","Por favor, corrija o bloco pai para este bloco."
"Submit Comment","Enviar comentário"
"Submit Order","Enviar pedido"
"Are you sure you want to cancel this order?","Você tem certeza que deseja cancelar este pedido?"
"Cancel","Cancelar"
"Billing Address","Endereço de Cobrança"
"Payment Method","Forma de pagamento"
"Order Comment","Comentário do pedido"
"Coupons","Cupons"
"Please select a customer","Por favor selecione um cliente"
"Create New Customer","Criar novo cliente"
"Account Information","Informações de Conta"
"From","De"
"To","Até"
"Message","Mensagem"
"Edit Order #%1","Editar pedido #%1"
"Create New Order for %1 in %2","Criar novo pedido para %1 em %2"
"Create New Order in %1","Criar nova ordem em %1"
"Create New Order for %1","Criar novo pedido para %1"
"Create New Order for New Customer","Criar novo pedido, para um novo cliente"
"Items Ordered","Itens comprados"
"This product is disabled.","Este produto está desabilitado."
"Buy %1 for price %2","Compre %1 pelo preço de %2"
"Item ordered qty","Qtd comprada do item"
"%1 with %2 discount each","%1 com %2 de desconto cada"
"%1 for %2","%1 por %2"
"* - Enter custom price including tax","* - Inserir preço personalizado, incluindo impostos"
"* - Enter custom price excluding tax","* - Inserir preço personalizado, excluindo impostos"
"Configure","Configurar"
"This product does not have any configurable options","Este produto não possui qualquer opções configuráveis"
"Newsletter Subscription","Assinar Newsletter"
"Please select products","Por favor, selecione os produtos"
"Add Selected Product(s) to Order","Adicionar o(s) produto(s) selecionado(s) ao pedido"
"ID","Id."
"Product","Produto"
"SKU","Código de Produto:"
"Price","Preço"
"Select","Selecione"
"Quantity","Quantidade"
"Shipping Address","Endereço de entrega"
"Shipping Method","Método de Entrega"
"Update Changes","Atualizar as alterações"
"Shopping Cart","Carrinho de Compras"
"Are you sure you want to delete all items from shopping cart?","Você tem certeza que deseja excluir todos os itens do carrinho de compras?"
"Clear Shopping Cart","Limpar Carrinho de Compras"
"Products in Comparison List","Produtos na lista de comparação"
"Recently Compared Products","Produtos Recentemente Comparados"
"Recently Viewed Products","Produtos Recentemente Visualizados"
"Last Ordered Items","Últimos itens comprados"
"Recently Viewed","Visualizados recentemente"
"Wish List","Lista de Desejos"
"Please select a store","Por favor, selecione uma loja"
"Order Totals","Total do pedido"
"Shipping Incl. Tax (%1)","Frete incl. imposto (%1)"
"Shipping Excl. Tax (%1)","Frete excl. imposto (%1)"
"New Credit Memo for Invoice #%1","Novo memorando de crédito para fatura #%1"
"New Credit Memo for Order #%1","Novo memorando de crédito para o pedido #%1"
"Refund Shipping (Incl. Tax)","Reembolso de frete (incl. imposto)"
"Refund Shipping (Excl. Tax)","Reembolso de frete (excl. imposto)"
"Refund Shipping","Reembolso de frete"
"Update Qty's","Atualizar qtde"
"Update Totals","Atualizar total"
"Refund","Reembolso"
"Refund Offline","Restituido off-line"
"Paid Amount","Valor pago"
"Refund Amount","Valor reembolsado"
"Shipping Amount","Valor do envio"
"Shipping Refund","Frete reembolsado"
"Order Grand Total","Total geral do pedido"
"Adjustment Refund","Ajuste de reembolso"
