"Credit Memos","ક્રેડિટ મેમોસ"
"Orders","ઓર્ડર"
"Invoices","ઇન્વૉઇસેસ"
"We can't get the order instance right now.","હમણાં અમે ઓર્ડરનો દાખલો મેળવી શકતા નથી."
"Create New Order","નવી ઓર્ડર બનાવો"
"Save Order Address","ઓર્ડર સરનામું સાચવો"
"Shipping","વહાણ પરિવહન"
"Billing","બિલિંગ"
"Edit Order %1 %2 Address","ઑર્ડર%1%2 સરનામું સંપાદિત કરો"
"Order Address Information","ઑર્ડર સરનામાંની માહિતી"
"Please correct the parent block for this block.","કૃપા કરીને આ બ્લોક માટેના માતાપિતા બ્લોકને સુધારો."
"Submit Comment","સુંચન ભરવું"
"Submit Order","ઓર્ડર સબમિટ કરો"
"Are you sure you want to cancel this order?","શું તમે ખરેખર આ ઑર્ડરને રદ કરવા માંગો છો?"
"Cancel","રદ કરો"
"Billing Address","બિલિંગ સરનામું"
"Payment Method","ચુકવણી ની રીત"
"Order Comment","ઓર્ડર ટિપ્પણી"
"Coupons","કુપન્સ"
"Please select a customer","કૃપા કરીને ગ્રાહક પસંદ કરો"
"Create New Customer","નવું ગ્રાહક બનાવો"
"Account Information","ખાતાની માહિતી"
"From","પ્રતિ"
"To","માટે"
"Message","સંદેશ"
"Edit Order #%1","ઑર્ડર #%1 સંપાદિત કરો"
"Create New Order for %1 in %2","%2 માં%1 માટે નવો ઓર્ડર બનાવો"
"Create New Order in %1","%1 માં નવું ઓર્ડર બનાવો"
"Create New Order for %1","%1 માટે નવો ઓર્ડર બનાવો"
"Create New Order for New Customer","નવા ગ્રાહક માટે નવું ઓર્ડર બનાવો"
"Items Ordered","આદેશ આપ્યો વસ્તુઓ"
"This product is disabled.","આ ઉત્પાદન અક્ષમ છે."
"Buy %1 for price %2","કિંમત%2 માટે%1 ખરીદો"
"Item ordered qty","આઇટમ આદેશ આપ્યો"
"%1 with %2 discount each","દરેક%2 ડિસ્કાઉન્ટ સાથે%1"
"%1 for %2","%2 માટે%1"
"* - Enter custom price including tax","* - કર સહિત કસ્ટમ ભાવ દાખલ કરો"
"* - Enter custom price excluding tax","* - કર બાદ બાકાત વૈવિધ્યપૂર્ણ ભાવ દાખલ કરો"
"Configure","રૂપરેખાંકિત કરો"
