"Credit Memos","یادداشت‌های بستانکاری"
"Orders","سفارشات"
"Invoices","فاکتورها"
"We can't get the order instance right now.","اکنون نمیتوانیم نمونه سفارش را دریافت کنیم."
"Create New Order","ایجاد سفارش جدید"
"Save Order Address","ذخیره آدرس سفارش"
"Shipping","ارسال"
"Billing","صورتحساب"
"Edit Order %1 %2 Address","ویرایش آدرس %2 سفارش %1"
"Order Address Information","اطلاعات آدرس سفارش"
"Please correct the parent block for this block.","لطفا بلوک اصلی برای این بلوک را اصلاح کنید."
"Submit Comment","ارایه‌ی توضیح"
"Submit Order","ارایه‌ی سفارش"
"Are you sure you want to cancel this order?","شما مطمئن‌اید که می‌خواهید این پرداخت را لغو کنید؟"
"Cancel","لغو"
"Billing Address","آدرس صورتحساب"
"Payment Method","روش پرداخت"
"Order Comment","توضیح سفارش"
"Coupons","کوپن ها"
"Please select a customer","لطفا یک مشتری را انتخاب نمایید"
"Create New Customer","ایجاد مشتری جدید"
"Account Information","اطلاعات حساب کاربری"
"From","از"
"To","به"
"Message","پیام"
"Edit Order #%1","ویرایش سفارش #%1"
"Create New Order for %1 in %2","ایجاد سفارش جدید برای %1 در %2"
"Create New Order in %1","ایجاد سفارش جدید برای %1 در"
"Create New Order for %1","ایجاد سفارش جدید برای %1"
"Create New Order for New Customer","ایجاد سفارش جدید برای مشتری جدید"
"Items Ordered","آیتم‌های سفارش داده شده"
"This product is disabled.","این محصول غیر فعال است."
"Buy %1 for price %2","فروش %1 به قيمت %2"
"Item ordered qty","تعداد سفارش داده شده‌ی آیتم"
"%1 with %2 discount each","%1 با %2 تخفیف هر"
"%1 for %2","%1 برای ""%2"
"* - Enter custom price including tax","* - وارد کردن قیمت سفارشی شامل مالیات"
"* - Enter custom price excluding tax","* - وارد کردن قیمت سفارشی بدون مالیات"
"Configure","پیکربندی"
"This product does not have any configurable options","گزينه هاي قابل تنظيم اين محصول وجود ندارد"
"Newsletter Subscription","اشتراک خبرنامه"
"Please select products","لطفا محصول ها را انتخاب نمایید"
"Add Selected Product(s) to Order","افزودن محصول(ات) انتخاب شده به سفارش"
"ID","شناسه"
"Product","محصول"
"SKU","کد محصول"
"Price","قيمت"
"Select","انتخاب"
"Quantity","تعداد"
"Shipping Address","آدرس ارسال"
"Shipping Method","روش ارسال"
"Update Changes","به روز رسانی تغییرات"
"Shopping Cart","سبد خرید"
"Are you sure you want to delete all items from shopping cart?","شما مطمئن به حذف تمام آيتم ها از سبد خريد خود هستيد؟"
"Clear Shopping Cart","پاک کردن سبد خرید"
"Products in Comparison List","محصولات در لیست مقایسه"
"Recently Compared Products","به تازگی مقایسه کرده اید"
"Recently Viewed Products","به تازگی بازدید کرده اید"
"Last Ordered Items","آیتم‌های اخیرا سفارش داده شده"
"Recently Viewed","اخیرا مشاهد شده"
"Wish List","لیست علاقه مندی"
"Please select a store","لطفا یک فروشگاه را انتخاب نمایید"
"Order Totals","جمع کل سفارش"
"Shipping Incl. Tax (%1)","حمل و نقل مالیات (%1)"
"Shipping Excl. Tax (%1)","حمل و نقل Excl. مالیات (%1)"
"New Credit Memo for Invoice #%1","یادداشت های جدید اعتباری برای فاکتور #%1"
"New Credit Memo for Order #%1","یادداشت های جدید اعتباری برای سفارش #%1"
"Refund Shipping (Incl. Tax)","ارسال استرداد (با مالیات)"
"Refund Shipping (Excl. Tax)","ارسال استرداد (بی مالیات)"
"Refund Shipping","ارسال استرداد"
"Update Qty's","به روز رسانی موجودی"
"Update Totals","Update Totals"
"Refund","استرداد"
"Refund Offline","استرداد آفلاین"
"Paid Amount","مبلغ پرداخت شده"
"Refund Amount","مبلغ استرداد"
"Shipping Amount","مبلغ ارسال"
"Shipping Refund","ارسال استرداد"
"Order Grand Total","جمع کل نهایی سفارش"
"Adjustment Refund","تنظیم استرداد"
"Adjustment Fee","هزینه‌ی تنظیم"
"Send Email","ارسال ایمیل"
"Are you sure you want to send a credit memo email to customer?","آیا مطمئن هستید که میخواهید یک ایمیل یادداشت اعتباری برای مشتری ارسال کنید?"
"Void","باطل"
"Print","چاپ"
"The credit memo email was sent.","ایمیل یادداشت اعتباری فرستاده شد."
"The credit memo email wasn't sent.","ایمیل یادداشت اعتباری ارسال نشد."
"Credit Memo #%1 | %3 | %2 (%4)","%1 # یادداشت های اعتباری | %3 | %2 (%4)"
"Total Refund","مجموع استرداد"
"New Invoice and Shipment for Order #%1","فاکتور جدید و بارگیری سفارش #%1"
"New Invoice for Order #%1","فاکتور جدید برای سفارش#%1"
"Submit Invoice and Shipment","ارسال فاکتور و حمل و نقل"
"Submit Invoice","ارسال فاکتور"
"Are you sure you want to send an invoice email to customer?","آیا مطمئن هستید که میخواهید ایمیل فاکتور را به مشتری ارسال کنید?"
"Credit Memo","یادداشت بستانکاری"
"Capture","ضبط"
"The invoice email was sent.","ایمیل فاکتور ارسال شد."
"The invoice email wasn't sent.","ایمیل فاکتور ارسال نشد."
"Invoice #%1 | %2 | %4 (%3)","فاکتور #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","بلاک منشا نامعتبر برای این بلاک"
"Order Statuses","وضعیت سفارش"
"Create New Status","ایجاد موقعیت جدید"
"Assign Status to State","اختصاص وضعیت به شهرستان"
"Save Status Assignment","ذخیره واگذاری وضعیت"
"Assign Order Status to State","تعیین وضعیت سفارش به شهرستان"
"Assignment Information","اطلاعات تخصیص"
"Order Status","وضعيت سفارش"
"Order State","سفارش دولت"
"Use Order Status As Default","استفاده از وضعیت سفارش به عنوان پیش فرض"
"Visible On Storefront","قابل مشاهده در فروشگاه"
"Edit Order Status","ویرایش وضعیت سفارش"
"Save Status","ذخیره وضعیت"
"New Order Status","وضعيت سفارش جديد"
"Order Status Information","اطلاعات وضعيت سفارش"
"Status Code","کد وضعیت"
"Status Label","برچسب وضعیت"
"Store View Specific Labels","برچسب‌های خاص نمای فروشگاه"
"Total Paid","مجموع پرداخت شده"
"Total Refunded","مجموع مسترد شده"
"Total Due","مجموع بدهی"
"Edit","ويرايش"
"Are you sure you want to send an order email to customer?","آیا مطمئن هستید که میخواهید یک ایمیل سفارش به مشتری ارسال کنید?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","این بازپرداخت آفلاین را ایجاد خواهد کرد. برای ایجاد بازپرداخت آنلاین، یک فاکتور را باز کنید و یادداشت اعتباری برای آن ایجاد کنید. آیا می خواهید ادامه دهید?"
"Are you sure you want to void the payment?","شما مطمئن‌اید که می‌خواهید پرداخت را باطل کنید؟"
"Hold","تعلیق"
"hold","نگه دارید"
"Unhold","عدم تعلیق"
"unhold","جدا کردن"
"Are you sure you want to accept this payment?","شما مطمئن‌اید که می‌خواهید این پرداخت را بپذیرید؟"
"Accept Payment","پذیرش پرداخت"
"Are you sure you want to deny this payment?","شما مطمئن به رد كردن اين پرداخت هستيد؟"
"Deny Payment","رد پرداخت"
"Get Payment Update","دریافت به روز رسانی پرداخت"
"Invoice and Ship","فاکتور و ارسال"
"Invoice","فاکتور"
"Ship","ارسال"
"Reorder","سفارش مجدد"
"Order # %1 %2 | %3","سفارش # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","این دستور حاوی (%1) موارد است و بنابراین نمی تواند از طریق رابط مدیریت ویرایش شود. اگر میخواهید ویرایش ادامه دهید، موارد (%2) حذف خواهند شد، سفارش لغو خواهد شد و یک سفارش جدید قرار خواهد گرفت."
"Are you sure? This order will be canceled and a new one will be created instead.","شما مطمئن هستید؟ این سفارش لغو خواهد شد و جای دیگری ایجاد خواهد شد."
"Save Gift Message","ذخیره‌ی پیام هدیه"
" [deleted]"," [حذف شده]"
"Order Credit Memos","یادداشت‌های بستانکاری سفارش"
"Credit memo #%1 created","یادداشت اعتباری #%1 ایجاد شده است"
"Credit memo #%1 comment added","نظر یادداشت اعتباری #%1 اضافه شد"
"Shipment #%1 created","حمل و نقل #%1 ایجاد شده است"
"Shipment #%1 comment added","نظر حمل #%1 اضافه شده است"
"Invoice #%1 created","فاکتور #%1 ایجاد شده است"
"Invoice #%1 comment added","نظر فاکتور #%1 اضافه شد"
"Tracking number %1 for %2 assigned","شماره ردیابی%1 برای %2 اختصاص داده شده است"
"Comments History","پیشینه‌ی توضیحات"
"Order History","پیشینه‌ی سفارش"
"Information","اطلاعات"
"Order Information","اطلاعات سفارش"
"Order Invoices","فاکتورهای سفارش"
"Shipments","محموله‌ها"
"Order Shipments","محموله‌های سفارش"
"Transactions","تراکنش‌ها"
"Order View","مشاهده‌ی سفارش"
"Any","هرکدام"
"Specified","مشخص شده"
"Applies to Any of the Specified Order Statuses except canceled orders","به هر یک سفارش وضعیت مشخص اعمال می شود به جز سفارش های لغو شده"
"Cart Price Rule","قانون قيمت سبد خرید"
"Yes","بله"
"No","خیر"
"Show Actual Values","نمایش مقادیر فعلی"
"New Order RSS","RSS سفارش جدید"
"Subtotal","جمع جز"
"Shipping & Handling","ارسال و رسیدگی"
"Discount (%1)","تخفیف (%1)"
"Discount","تخفيف"
"Grand Total","جمع کل نهایی"
"Back","بازگشت"
"Fetch","واکشی"
"Transaction # %1 | %2","تراکنش #%1 | %2"
"N/A","هیچ"
"Key","کليد"
"Value","مقدار"
"We found an invalid entity model.","ما یک مدل موجودیت نامعتبر یافتیم."
"Order # %1","سفارش # %1"
"Back to My Orders","بازگشت به سفارشاتم"
"View Another Order","نمایش دوباره سفارش"
"About Your Refund","درباره استرداد شما"
"My Orders","سفارش های من"
"Subscribe to Order Status","اشتراک در وضعیت سفارش"
"About Your Invoice","درباره فاکتور شما"
"Print Order # %1","چاپ سفارش # %1"
"Grand Total to be Charged","جمع کل نهایی هزینه شده"
"Unassign","عدم تخصیص"
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"You sent the message.","پیامی را ارسال کردید."
"Sales","حراجی ها"
"Invoice capturing error","خطای گرفتن فاکتور"
"This order no longer exists.","این سفارش دیگر موجود نیست."
"Please enter a comment.","Please enter a comment."
"We cannot add order history.","ما نمی توانیم تاریخ سفارش را اضافه کنیم."
"You updated the order address.","شما آدرس سفارش را به روز رسانی کردید."
"We can't update the order address right now.","اکنون نمیتوانیم آدرس سفارش را به روزرسانی کنیم."
