"Credit Memos","المذكرة الائتمانية"
"Orders","طلبات الشراء"
"Invoices","الفواتير"
"We can't get the order instance right now.","لا يمكن الحصول على الطلبية الآن."
"Create New Order","إنشاء طلب شراء جديد"
"Save Order Address","حفظ عنوان الطلب"
"Shipping","الشحن"
"Billing","الفوترة"
"Edit Order %1 %2 Address","Edit Order %1 %2 Address"
"Order Address Information","معلومات عنوان الطلب"
"Please correct the parent block for this block.","Please correct the parent block for this block."
"Submit Comment","إرسال تعليق"
"Submit Order","إرسال الطلب"
"Are you sure you want to cancel this order?","هل أنت متأكد من إلغاء الطلب هذا؟"
"Cancel","إلغاء"
"Billing Address","عنوان الفاتورة"
"Payment Method","طريقة الدفع"
"Order Comment","ملاحظة على الطلب"
"Coupons","قسائم الخصم"
"Please select a customer","من فضلك اختر عميلا"
"Create New Customer","إنشاء عميل جديد"
"Account Information","معلومات الحساب"
"From","من"
"To","إلى"
"Message","رسالة"
"Edit Order #%1","تعديل طلب #%1"
"Create New Order for %1 in %2","Create New Order for %1 in %2"
"Create New Order in %1","Create New Order in %1"
"Create New Order for %1","Create New Order for %1"
"Create New Order for New Customer","إنشاء طلب شراء جديد لعميل جديد"
"Items Ordered","عناصر الطلب"
"This product is disabled.","This product is disabled."
"Buy %1 for price %2","Buy %1 for price %2"
"Item ordered qty","الكمية المطلوبة من هذا المنتج"
"%1 with %2 discount each","%1 with %2 discount each"
"%1 for %2","%1 for %2"
"* - Enter custom price including tax","* - Enter custom price including tax"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"Configure","ضبط"
"This product does not have any configurable options","هذا المنتج ليس لديه أية خيارات للتخصيص"
"Newsletter Subscription","الاشتراك بالقائمة البريدية"
"Please select products","Please select products"
"Add Selected Product(s) to Order","اضف المنتج المختار الى الطلب"
"ID","التعريف"
"Product","المنتج"
"SKU","رمز المنتج"
"Price","السعر"
"Select","إختيار"
"Quantity","الكمية"
"Shipping Address","عنوان الشحن"
"Shipping Method","طريقة الشحن"
"Update Changes","تحديث التغييرات"
"Shopping Cart","سلة التسوق"
"Are you sure you want to delete all items from shopping cart?","Are you sure you want to delete all items from shopping cart?"
"Clear Shopping Cart","إفراغ سلة التسوق"
"Products in Comparison List","Products in Comparison List"
"Recently Compared Products","المنتجات المقارنة حديثا"
"Recently Viewed Products","المنتجات المشاهدة حديثا"
"Last Ordered Items","اخير طلب "
"Recently Viewed","المشاهد حديثا"
"Wish List","قائمة الامنيات"
"Please select a store","رجاء قم باختيار المخزن"
"Order Totals","إجمالي الطلبية"
"Shipping Incl. Tax (%1)","الشحن شامل الضريبة (%1)"
"Shipping Excl. Tax (%1)","الشحن غير شامل الضريبة (%1)"
"New Credit Memo for Invoice #%1","New Credit Memo for Invoice #%1"
"New Credit Memo for Order #%1","New Credit Memo for Order #%1"
"Refund Shipping (Incl. Tax)","Refund Shipping (Incl. Tax)"
"Refund Shipping (Excl. Tax)","Refund Shipping (Excl. Tax)"
"Refund Shipping","Refund Shipping"
"Update Qty's","تحديث للكمية"
"Update Totals","Update Totals"
"Refund","رد"
"Refund Offline","رد خارج الشبكة"
"Paid Amount","الكمية المدفوعة"
"Refund Amount","كمية الرد"
"Shipping Amount","كمية الشحن"
"Shipping Refund","رد الشحن"
"Order Grand Total","المجموع الكلي للطلب"
"Adjustment Refund","اعادة التكيف"
"Adjustment Fee","أجر الضبط"
"Send Email","Send Email"
"Are you sure you want to send a credit memo email to customer?","Are you sure you want to send a credit memo email to customer?"
"Void","Void"
"Print","طباعة"
"The credit memo email was sent.","The credit memo email was sent."
"The credit memo email wasn't sent.","The credit memo email wasn't sent."
"Credit Memo #%1 | %3 | %2 (%4)","Credit Memo #%1 | %3 | %2 (%4)"
"Total Refund","مجموع الرد"
"New Invoice and Shipment for Order #%1","New Invoice and Shipment for Order #%1"
"New Invoice for Order #%1","New Invoice for Order #%1"
"Submit Invoice and Shipment","Submit Invoice and Shipment"
"Submit Invoice","إرسال فاتورة"
"Are you sure you want to send an invoice email to customer?","Are you sure you want to send an invoice email to customer?"
"Credit Memo","مذكرة الائتمان"
"Capture","اسر"
"The invoice email was sent.","The invoice email was sent."
"The invoice email wasn't sent.","لم يتم إرسال الفاتورة الائتمان للبريد الإلكتروني."
"Invoice #%1 | %2 | %4 (%3)","Invoice #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","Invalid parent block for this block"
"Order Statuses","Order Statuses"
"Create New Status","Create New Status"
"Assign Status to State","Assign Status to State"
"Save Status Assignment","Save Status Assignment"
"Assign Order Status to State","Assign Order Status to State"
"Assignment Information","Assignment Information"
"Order Status","حالة الطلب"
"Order State","Order State"
"Use Order Status As Default","Use Order Status As Default"
"Visible On Storefront","Visible On Storefront"
"Edit Order Status","Edit Order Status"
"Save Status","Save Status"
"New Order Status","حالة طلب جديدة"
"Order Status Information","Order Status Information"
"Status Code","Status Code"
"Status Label","Status Label"
"Store View Specific Labels","Store View Specific Labels"
"Total Paid","مجموع المدفوعات"
"Total Refunded","اجمالي الاسترداد"
"Total Due","بسبب المجموع"
"Edit","تعديل"
"Are you sure you want to send an order email to customer?","Are you sure you want to send an order email to customer?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?"
"Are you sure you want to void the payment?","Are you sure you want to void the payment?"
"Hold","امساك"
"hold","hold"
"Unhold","غير منتظرة"
"unhold","unhold"
"Are you sure you want to accept this payment?","Are you sure you want to accept this payment?"
"Accept Payment","Accept Payment"
"Are you sure you want to deny this payment?","Are you sure you want to deny this payment?"
"Deny Payment","Deny Payment"
"Get Payment Update","Get Payment Update"
"Invoice and Ship","Invoice and Ship"
"Invoice","فاتورة"
"Ship","شحن"
"Reorder","إعادة الطلب"
"Order # %1 %2 | %3","رقم الطلب #%1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed."
"Are you sure? This order will be canceled and a new one will be created instead.","Are you sure? This order will be canceled and a new one will be created instead."
"Save Gift Message","حفظ رسالة هدية"
" [deleted]"," [deleted]"
"Order Credit Memos","طلب مذكرة ائتمانية"
"Credit memo #%1 created","Credit memo #%1 created"
"Credit memo #%1 comment added","Credit memo #%1 comment added"
"Shipment #%1 created","Shipment #%1 created"
"Shipment #%1 comment added","Shipment #%1 comment added"
"Invoice #%1 created","Invoice #%1 created"
"Invoice #%1 comment added","Invoice #%1 comment added"
"Tracking number %1 for %2 assigned","Tracking number %1 for %2 assigned"
"Comments History","تاريخ التعليقات"
"Order History","سجل الطلبات"
"Information","بيانات"
"Order Information","بيانات طلب الشراء"
"Order Invoices","تاريخ الفواتير"
"Shipments","الشحنات"
"Order Shipments","تاريخ الشحن"
"Transactions","المعاملات"
"Order View","عرض طلب الشراء"
"Any","اي"
"Specified","محدد"
"Applies to Any of the Specified Order Statuses except canceled orders","Applies to Any of the Specified Order Statuses except canceled orders"
"Cart Price Rule","Cart Price Rule"
"Yes","نعم"
"No","لا"
"Show Actual Values","Show Actual Values"
"New Order RSS","RSS الطلبات الجديدة"
"Subtotal","الإجمالي"
"Shipping & Handling","الشحن و التوصيل"
"Discount (%1)","الخصم (%1)"
"Discount","خصم"
"Grand Total","المجموع الاجمالى"
"Back","رجوع"
"Fetch","Fetch"
"Transaction # %1 | %2","المعاملة # %1 | %2"
"N/A","غير متاح"
"Key","Key"
"Value","قيمة"
"We found an invalid entity model.","We found an invalid entity model."
"Order # %1","رقم الطلب # %1"
"Back to My Orders","العودة إلى طلباتي"
