"Credit Memos","Kreditnotor"
"Orders","Beställningar"
"Invoices","Fakturor"
"We can't get the order instance right now.","Vi kan hämta orderinstansen just nu."
"Create New Order","Skapa ny beställning"
"Save Order Address","Spara beställningsadress"
"Shipping","Frakt"
"Billing","Fakturering"
"Edit Order %1 %2 Address","Redigera beställning %1 %2 adress"
"Order Address Information","Beställningsadressinformation"
"Please correct the parent block for this block.","Vänligen korrigera föräldrablocket för detta block."
"Submit Comment","Skicka kommentar"
"Submit Order","Skicka beställning"
"Are you sure you want to cancel this order?","Är du säker på att du vill avbryta denna beställning?"
"Cancel","Avbryt"
"Billing Address","Faktureringsadress"
"Payment Method","Betalningsmetod"
"Order Comment","Kommentar till beställning"
"Coupons","Kuponger"
"Please select a customer","Välj en kund"
"Create New Customer","Skapa ny kund"
"Account Information","Kontoinformation"
"From","Från"
"To","Till"
"Message","Meddelande"
"Edit Order #%1","Redigera beställning #%1"
"Create New Order for %1 in %2","Skapa ny beställning för %1 i %2"
"Create New Order in %1","Skapa ny beställning i %1"
"Create New Order for %1","Skapa ny beställning för %1"
"Create New Order for New Customer","Skapa ny beställning för ny kund"
"Items Ordered","Artiklar beställda"
"This product is disabled.","Denna produkt är inaktiverad."
"Buy %1 for price %2","Köp %1 för priset av %2"
"Item ordered qty","Beställt varuantal"
"%1 with %2 discount each","%1 med %2 rabatt för varje"
"%1 for %2","%1 för %2"
"* - Enter custom price including tax","* - Ange anpassat pris inklusive moms"
"* - Enter custom price excluding tax","* - Ange anpassat pris exklusive moms"
"Configure","Konfigurera"
"This product does not have any configurable options","Denna produkt har inte några konfigurerbara alternativ"
"Newsletter Subscription","Prenumerera på nyhetsbrev"
"Please select products","Välj produkter"
"Add Selected Product(s) to Order","Lägg till vald(a) produkt(er) till beställning"
"ID","ID"
"Product","Produkt"
"SKU","Art.nr"
"Price","Pris"
"Select","Välj"
"Quantity","Antal"
"Shipping Address","Leveransadress"
"Shipping Method","Leveransmetod"
"Update Changes","Uppdatera ändringar"
"Shopping Cart","Kundvagn"
"Are you sure you want to delete all items from shopping cart?","Är du säker på att du vill tömma kundvagnen?"
"Clear Shopping Cart","Rensa Kundvagn"
"Products in Comparison List","Produkter i jämförelselistan"
"Recently Compared Products","Nyligen jämförda produkter"
"Recently Viewed Products","Nyligen visade produkter"
"Last Ordered Items","Senast beställda artiklar"
"Recently Viewed","Senast visade"
"Wish List","Önskelista"
"Please select a store","Välj en butik"
"Order Totals","Ordersumma"
"Shipping Incl. Tax (%1)","Frakt Inkl. Moms (%1)"
"Shipping Excl. Tax (%1)","Frakt Exkl. Moms (%1)"
"New Credit Memo for Invoice #%1","Ny kreditnota för faktura #%1"
"New Credit Memo for Order #%1","Ny kreditnota för beställning #%1"
"Refund Shipping (Incl. Tax)","Återbetala frakt (inkl moms)"
"Refund Shipping (Excl. Tax)","Återbetala frakt (exkl moms)"
"Refund Shipping","Återbetala frakt"
"Update Qty's","Uppdatera antal"
"Update Totals","Update Totals"
"Refund","Återbetala"
"Refund Offline","Återbetalning Offline"
"Paid Amount","Betalat belopp"
"Refund Amount","Summa för återbetalning"
"Shipping Amount","Fraktkostnad"
"Shipping Refund","Återbetala frakt"
"Order Grand Total","Betällningsbelopp"
"Adjustment Refund","Justering av återbetalning"
"Adjustment Fee","Justeringsavgift"
"Send Email","Skicka E-post"
"Are you sure you want to send a credit memo email to customer?","Är du säker du vill mejla kreditnotan till kunden?"
"Void","Makulera"
"Print","Skriv ut"
"The credit memo email was sent.","E-brevet med kreditnotan har skickats."
"The credit memo email wasn't sent.","E-postmeddelandet med kreditnotan skickades inte."
"Credit Memo #%1 | %3 | %2 (%4)","Kreditnotan #%1 | %3 | %2 (%4)"
"Total Refund","Återbetala hela beloppet"
"New Invoice and Shipment for Order #%1","Ny faktura och leverans för beställning #%1"
"New Invoice for Order #%1","Ny faktura för beställning #%1"
"Submit Invoice and Shipment","Skicka faktura och leverans"
"Submit Invoice","Skicka faktura"
"Are you sure you want to send an invoice email to customer?","Är du säker på att du vill mejla fakturan till kunden?"
"Credit Memo","Kreditmemo"
"Capture","Fakturera"
"The invoice email was sent.","Ett mejl med fakturan har skickats."
"The invoice email wasn't sent.","E-postmeddelandet med faktura skickades inte."
"Invoice #%1 | %2 | %4 (%3)","Faktura #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","Ogiltig överordnat block för detta block"
"Order Statuses","Beställningsstatus"
"Create New Status","Skapa ny status"
"Assign Status to State","Tilldela status till tillstånd"
"Save Status Assignment","Spara statustilldelning"
"Assign Order Status to State","Tilldela beställningsstatus till tillstånd"
"Assignment Information","Tilldelningsinformation"
"Order Status","Beställningsstatus"
"Order State","Beställningstillstånd"
"Use Order Status As Default","Använd beställningsstatus som standard"
"Visible On Storefront","Synlig i butiksvyn"
"Edit Order Status","Redigera beställningsstatus"
"Save Status","Spara status"
"New Order Status","Ny orderstatus"
"Order Status Information","Beställningsstatus-information"
"Status Code","Statuskod"
"Status Label","Statusetikett"
"Store View Specific Labels","Butiksvy-specifika etiketter"
"Total Paid","Totalt betalt"
"Total Refunded","Totalt återbetalt"
"Total Due","Totalt att betalas"
"Edit","Redigera"
"Are you sure you want to send an order email to customer?","Är du säker du vill mejla beställningen till kunden?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","Detta kommer skapa en manuell nedkopplad återbetalning. För att skapa en automatisk uppkopplad återbetalning, öppna en faktura och skapa ett kreditfaktura för den. Vill du fortsätta?"
"Are you sure you want to void the payment?","Är du säker på att du vill makulera betalningen?"
"Hold","Pausa"
"hold","pausa"
"Unhold","Återta"
"unhold","återta"
"Are you sure you want to accept this payment?","Är du säker på att du vill acceptera denna betalning?"
"Accept Payment","Acceptera betalning"
"Are you sure you want to deny this payment?","Är du säker du vill neka denna betalning?"
"Deny Payment","Neka betalning"
"Get Payment Update","Få betalningsuppdatering"
"Invoice and Ship","Fakturera och leverera"
"Invoice","Fakturera"
"Ship","Leverera"
"Reorder","Beställ igen"
"Order # %1 %2 | %3","Beställning # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","Denna order innehåller (%1) artiklar och kan därför inte bli redigerad via administrationspanelen. Om du vill fortsätta redigera, kommer (%2) artiklarna att plockas bort, ordern blir makulerad och en ny beställning kommer att skapas."
"Are you sure? This order will be canceled and a new one will be created instead.","Är du säker? Denna beställning makuleras och en ny skapas istället."
"Save Gift Message","Presentmeddelande"
" [deleted]"," [Borttagen]"
"Order Credit Memos","Kreditfakturor"
"Credit memo #%1 created","Kreditfaktura # %1 skapad"
"Credit memo #%1 comment added","Kreditfaktura nr %1 kommentar tillagd"
"Shipment #%1 created","Leverans #%1 skapad"
"Shipment #%1 comment added","Leverans nr %1 kommentar tillagd"
"Invoice #%1 created","Faktura #%1 skapad"
"Invoice #%1 comment added","Faktura nr %1 kommentar tillagd"
"Tracking number %1 for %2 assigned","Spårningsnummer %1 tilldelad för %2"
"Comments History","Kommentarshistorik"
"Order History","Beställningshistorik"
"Information","Information"
"Order Information","Beställningsinformation"
"Order Invoices","Beställningsfakturor"
"Shipments","Sändelser"
"Order Shipments","Beställningsleveranser"
"Transactions","Transaktioner"
"Order View","Beställningsvy"
"Any","Valfri"
"Specified","Angivna"
"Applies to Any of the Specified Order Statuses except canceled orders","Applies to Any of the Specified Order Statuses except canceled orders"
"Cart Price Rule","Kundvagn Prisregel"
"Yes","Ja"
"No","Nej"
"Show Actual Values","Visa faktiska värden"
"New Order RSS","RSS för nya ordrar"
"Subtotal","Delsumma"
"Shipping & Handling","Frakt & hantering"
"Discount (%1)","Rabatt (%1)"
"Discount","Rabatt"
"Grand Total","Totalsumma"
"Back","Tillbaka"
"Fetch","Hämta"
"Transaction # %1 | %2","Transaktion # %1 | %2"
"N/A","Ej tillgängligt"
"Key","Key"
"Value","Värde"
"We found an invalid entity model.","We found an invalid entity model."
"Order # %1","Order #%1"
"Back to My Orders","Tillbaka till mina beställningar"
"View Another Order","Visa en annan beställning"
"About Your Refund","Om din återbetalning"
"My Orders","Mina beställningar"
"Subscribe to Order Status","Prenumerera på beställningsstatus"
"About Your Invoice","Om din faktura"
"Print Order # %1","Skriv ut beställning # %1"
"Grand Total to be Charged","Totalsumma att betala"
"Unassign","Ta bort tilldelning"
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"You sent the message.","Du skickade meddelandet."
"Sales","Försäljning"
"Invoice capturing error","Invoice capturing error"
"This order no longer exists.","Beställningen finns inte längre."
"Please enter a comment.","Du måste skriva en kommentar."
"We cannot add order history.","Vi kan inte lägga till beställningshistorik."
"You updated the order address.","Du uppdaterade beställningsadressen."
"We can't update the order address right now.","We can't update the order address right now."
"You have not canceled the item.","You have not canceled the item."
"You canceled the order.","Du avbröt beställningen."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","Rabattkod ”%1” tillämpades inte. Använd-inte-rabatten är valt för artiklarna"
"""%1"" coupon code is not valid.","Kupongkoden ""%1"" är inte giltig."
"The coupon code has been accepted.","Rabattkoden har applicerats."
"Quote item id is not received.","Den offererade artikelns id har inte tagits emot."
"Quote item is not loaded.","Den offererade artikeln har inte lästs in."
"New Order","Ny beställning"
"You created the order.","Du skapade beställningen."
"Order saving error: %1","Sparafel: %1 för beställningen"
"Cannot add new comment.","Kan inte lägga till ny kommentar."
"The credit memo has been canceled.","Kreditnotan har avbrutits."
"Credit memo has not been canceled.","Kreditnotan har inte avbrutits."
"New Memo for #%1","New Memo for #%1"
"New Memo","Nytt memo"
"The credit memo's total must be positive.","The credit memo's total must be positive."
"Cannot create online refund for Refund to Store Credit.","Cannot create online refund for Refund to Store Credit."
"You created the credit memo.","You created the credit memo."
"We can't save the credit memo right now.","We can't save the credit memo right now."
"We can't update the item's quantity right now.","We can't update the item's quantity right now."
"View Memo for #%1","View Memo for #%1"
"View Memo","View Memo"
"You voided the credit memo.","You voided the credit memo."
"We can't void the credit memo.","We can't void the credit memo."
"The order no longer exists.","Ordern finns inte längre."
"We can't create credit memo for the order.","We can't create credit memo for the order."
"Edit Order","Redigera beställning"
"You sent the order email.","Du har skickat e-post om beställningen."
"We can't send the email order right now.","We can't send the email order right now."
"You have not put the order on hold.","Du har inte parkerat beställningen."
"You put the order on hold.","Du har parkerat beställningen."
"You canceled the invoice.","Du avbröt fakturan."
"Invoice canceling error","Fel i avbrytandet av fakturan"
"The invoice has been captured.","Fakturan har fångats."
"The order does not allow an invoice to be created.","Ordern tillåter inte att en faktura skapas."
"You can't create an invoice without products.","You can't create an invoice without products."
"New Invoice","Ny faktura"
"We can't save the invoice right now.","We can't save the invoice right now."
"You created the invoice and shipment.","Du har skapat faktura och leverans."
"The invoice has been created.","Fakturan har skapats."
"We can't send the invoice email right now.","We can't send the invoice email right now."
"We can't send the shipment right now.","We can't send the shipment right now."
"Cannot update item quantity.","Kan inte uppdatera artikelantal."
"The invoice has been voided.","Fakturan har makulerats."
"Invoice voiding error","Fel vid makulering av faktura"
"%1 order(s) cannot be canceled.","%1 beställningar kan inte avbrytas."
"You cannot cancel the order(s).","Du kan inte avbryta beställningarna."
"We canceled %1 order(s).","Vi avbröt %1 beställningar."
"%1 order(s) were not put on hold.","%1 beställningar parkerades inte."
"No order(s) were put on hold.","Ingen beställning parkerad."
