"Subscription status","Статус претплате"
"Sorry, there has been an error processing your request. Please try again later.","Извините, догодила се грешка при обради вашег захтева. Покушајте поново касније."
"Time value has an unsupported format","Вредност за време садржи неподржани формат"
"Cron settings can't be saved","Подешавање Крон-а не може бити сачувано"
"There was an error save new configuration value.","Дошло је до грешке при снимању нових конфигурационих вредности."
"Please select a vertical.","Молимо изабрати усправно."
"--Please Select--","--- Молимо одаберите ---"
"Command was not found.","Команда није пронађена."
"Input data must be string or convertible into string.","Улазни податак мора бити знак или податак који се може претворити у знак."
"Input data must be non-empty string.","Улазни податак не сме бити празан низ знакова."
"Not valid cipher method.","Неисправна метода за шифрирања."
"Encryption key can't be empty.","Кључ за шифрирање не може бити празан."
"Source ""%1"" is not exist","Улазни податак ""%1"" не постоји"
"These arguments can't be empty ""%1""","Ови аргументи не могу бити празни ""%1"""
"Cannot find predefined integration user!","Није могуће пронаћи кориснички дефинисане интеграције!"
"File is not ready yet.","Датотека још увек није спремна."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Твој основни УРЛ је промењен и извјештаји се ажурирају. Више опција за извештавање биће на располагању када ова промена буде обрађена. Покушајте поново касније."
"Failed to synchronize data to the Magento Business Intelligence service. ","Грешка у синхронизацији података са Магенто пословним сервисом интелигенције."
"<a href=""%1"">Retry Synchronization</a>","<а хреф=""%1"">Покушај поново синхронизацију</а>"
"TestMessage","Тест порука"
"Apps and Games","Апликације и игре"
"Athletic/Sporting Goods","Спортски/спортске опреме"
"Art and Design","Уметност и дизајн"
"Advanced Reporting","Напредна подешавања"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Нов поглед на ствари и преузимање команде над перформансама вашег пословања, користећи динамичке производе, наруџбе и извештај о купцима прилагодене вашим потребама."
"Go to Advanced Reporting","Иди на напредне опције за извештавање"
"Analytics","Аналитика"
"API","АПИ"
"Configuration","Конфигурација"
"Business Intelligence","Пословна интелигенција"
"BI Essentials","БИ основе"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","Ова услуга пружа динамичан програмски пакет извештавања са богатим запажањем о вашем пословању.                 
                Извештају се може приступити сигурно преко персонализоване странице изван админ панел тако што ћете кликнути на везу 
                „Иди да више опција за извештавање”. </бр> За више информација, погледајте наше <а хреф=""хттпс://магенто.цом/легал/термс/цлоуд-термс""> термине и услове.</а>."
"Advanced Reporting Service","Напредна услуга извештавања"
"Time of day to send data","Доба дана за слање података"
"Industry","Индустрија"
"In order to personalize your Advanced Reporting experience, please select your industry.","Молим да подесите вашу грану индустрије у менију Напредна извештавања, како би сте добили боље извештаје."
"<strong>Get more insights from Magento Business Intelligence</strong>","<стронг>Добијте више сазнања из Магенто Бусинесс Интеллигенце</стронг>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Магенто Бусинесс Интеллигенце вам пружа једноставан и јасан пут како да
                добијете више података за управљање.</бр> Сазнајте више о <а таргет=""_бланк""
                хреф=""хттпс://дасхбоард.рјметрицс.цом/в2/магенто/сигнуп/"">БИ Основни и БИ Про</а> слој."
"Auto Parts","Ауто делови"
"Baby/Children’s Apparel, Gear and Toys","Одеце беба/за децу, опрему и играчке"
"Beauty and Cosmetics","Лепота и козметика"
"Books, Music and Magazines","Књиге, музика и часописи"
"Crafts and Stationery","Занати и подлоге за писање"
"Consumer Electronics","Потрошачке електронике"
"Deal Site","Локација за договор"
"Fashion Apparel and Accessories","Модни детаљи, одећа и прибор"
"Food, Beverage and Grocery","Хране, пића и намирнице"
"Home Goods and Furniture","Опрема за кућу и намештај"
"Home Improvement","Реновирање стана"
"Jewelry and Watches","Накит и сатови"
"Mass Merchant","Велепродаја"
"Office Supplies","Канцеларијски намештај"
"Outdoor and Camping Gear","Опрема за камповање на отвореном простору"
"Pet Goods","Опрема за љубимце"
"Pharma and Medical Devices","Фармација и медицински уређаји"
"Technology B2B","Б2Б технологије"
"Other","Остало"
"The time value is using an unsupported format. Enter a supported format and try again.","Вредност времена користи неподржан формат. Унесите подржани формат и покушајте поново."
"Please select an industry.","Одаберите државу."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","Подаци су неважећи. Унесите податке као стринг или податак који се може превести у стринг и покушајте поново."
"The data is invalid. Enter the data as a string and try again.","Подаци су неважећи. Унесите податке као стринг и покушајте поново."
"The data is invalid. Use a valid cipher method and try again.","Подаци су неважећи. Користите исправан метод шифрирања и покушајте поново."
"Enter the encryption key and try again.","Унесит кључ за енкрипцију и покушајте поново."
"The ""%1"" source doesn't exist.","""%1"" извор не постоји."
"Retry Synchronization","Покушај поново Синхронизацију"
