"Subscription status","Situação da assinatura"
"Sorry, there has been an error processing your request. Please try again later.","Desculpe, ocorreu um erro ao processar o seu pedido. Por favor, tente novamente mais tarde."
"The time value is using an unsupported format. Enter a supported format and try again.","The time value is using an unsupported format. Enter a supported format and try again."
"Cron settings can't be saved","Configurações do cron não podem ser salvas"
"There was an error save new configuration value.","Houve um erro a salvar a nova configuração."
"Please select an industry.","Selecione uma indústria, por favor."
"--Please Select--","-- Por favor, selecione --"
"Command ""%1"" was not found.","Command ""%1"" was not found."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","The data is invalid. Enter the data as a string or data that can be converted into a string and try again."
"The data is invalid. Enter the data as a string and try again.","The data is invalid. Enter the data as a string and try again."
"The data is invalid. Use a valid cipher method and try again.","The data is invalid. Use a valid cipher method and try again."
"Enter the encryption key and try again.","Enter the encryption key and try again."
"The ""%1"" source doesn't exist.","The ""%1"" source doesn't exist."
"These arguments can't be empty ""%1""","Estes argumentos não podem ser vazios ""%1"""
"Cannot find predefined integration user!","Não é possível encontrar o usuário de integração predefinido!"
"File is not ready yet.","Arquivo ainda não está pronto."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Sua URL Base foi alterada e seus relatórios estão sendo atualizados. Relatório Avançado estará disponível após esta alteração ser processada. Por favor, tente novamente mais tarde."
"Failed to synchronize data to the Magento Business Intelligence service. ","Falha ao sincronizar os dados para o Magento Business Intelligence service. "
"Retry Synchronization","Tentar sincronizar novamente"
"TestMessage","Mensagem de teste"
"Apps and Games","Aplicativos e Jogos"
"Athletic/Sporting Goods","Artigos Esportivos"
"Art and Design","Arte e Design"
"Advanced Reporting","Relatórios Avançados"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Obtenha novas idéias e controle o desempenho de seus negócios, usando nossos relatórios dinâmicos de produtos, pedidos e clientes, de acordo com os dados de seus clientes."
"Go to Advanced Reporting","Ir para Relatórios Avançados"
"Analytics","Analítica"
"API","API"
"Configuration","Configuração"
"Business Intelligence","Inteligência de Negócio BI"
"BI Essentials","Essenciais de BI"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a target=""_blank"" href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a target=""_blank"" href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>."
"Advanced Reporting Service","Serviço Avançado de Relatório"
"Time of day to send data","Horário do dia para enviar os dados"
"Industry Data","Industry Data"
"Industry","Industria"
"In order to personalize your Advanced Reporting experience, please select your industry.","Para personalizar sua experiência nos Relatórios avançados, selecione seu setor."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Obter mais idéias do Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers."
"Auto Parts","Autopeças"
"Baby/Children’s Apparel, Gear and Toys","Vestuário bebê/infantil, artes e brinquedos"
"Beauty and Cosmetics","Beleza e cosméticos"
"Books, Music and Magazines","Livros, música e revistas"
"Crafts and Stationery","Artesanato e artigos de papelaria"
"Consumer Electronics","Eletrônicos"
"Deal Site","Site de Ofertas"
"Fashion Apparel and Accessories","Acessórios e vestuário de moda"
"Food, Beverage and Grocery","Alimentos, bebidas e mercearia"
"Home Goods and Furniture","Móveis e utensílios para casa"
"Home Improvement","Melhorias para a Casa"
"Jewelry and Watches","Joias e relógios"
"Mass Merchant","Comerciante em massa"
"Office Supplies","Material de escritório"
"Outdoor and Camping Gear","Equipamento para ar livre e Camping"
"Pet Goods","Produtos para animais de estimação"
"Pharma and Medical Devices","Farmácia e dispositivos médicos"
"Technology B2B","Tecnologia B2B"
"Other","Other"
