"Subscription status","Status subskrypcji"
"Sorry, there has been an error processing your request. Please try again later.","Niestety, nastąpił błąd podczas przetwarzania Twojego żądania. Proszę spróbować ponownie później."
"Time value has an unsupported format","Wartość czasu ma nieobsługiwany format"
"Cron settings can't be saved","Nie można zapisać ustawienia cron"
"There was an error save new configuration value.","Wystąpił błąd. Zapisz nową wartość konfiguracji."
"Please select a vertical.","Proszę wybrać pionowo."
"--Please Select--","--Proszę wybrać--"
"Command was not found.","Nie znaleziono polecenia."
"Input data must be string or convertible into string.","Dane wejściowe muszą być ciągiem lub zamienione na ciąg."
"Input data must be non-empty string.","Dane wejściowe nie mogą być pustym ciągiem."
"Not valid cipher method.","Metoda szyfrowania jest nieprawidłowa."
"Encryption key can't be empty.","Szyfrowanie klucza nie może być puste."
"Source ""%1"" is not exist","Źródło ""%1"" nie istnieje"
"These arguments can't be empty ""%1""","Te argumenty nie mogą być puste ""%1"""
"Cannot find predefined integration user!","Nie można znaleźć zdefiniowanego użytkownika!"
"File is not ready yet.","Plik nie jest możliwy do odczytania."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Twój podstawowy adres URL został zmieniony i raporty są aktualizowane. Zaawansowane raportowanie będzie dostępne po przetworzeniu tej zmiany. Proszę spróbować ponownie później."
"Failed to synchronize data to the Magento Business Intelligence service. ","Nie można zsynchronizować dane z Magento Business Intelligence service. "
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">ponów próbę synchronizacji</a>"
"TestMessage","WiadomośćTestowa"
"Apps and Games","Aplikacje i gry"
"Athletic/Sporting Goods","Artykuły sportowe"
"Art and Design","Sztuka i projektowanie"
"Advanced Reporting","Zaawansowane raportowanie"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Zdobądź nowe informacje i przejmuj kontrolę nad wydajnością swojej firmy, za pomocą naszych dynamicznych produktów oraz raporty klientów dostosowane do danych klientów."
"Go to Advanced Reporting","Zaawansowane raportowanie"
"Analytics","Analityka"
"API","Interfejs API"
"Configuration","Konfiguracja"
"Business Intelligence","Inteligencja Biznesu"
"BI Essentials","Elementy BI"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","Usługa ta zapewnia dynamiczny zestaw raportów zawierających dogłębną analizę na temat Twojej firmy.                 Możesz bez problemu zobaczyć swoje raporty w spersonalizowanym pulpicie nawigacyjnym poza panelem administratora, klikając przycisk ""Przejdź do Raportowania Zaawansowanego"". </br> W celu uzyskania większej ilości informacji, zobacz nasze warunki                <a href=""https://magento.com/legal/terms/cloud-terms"">warunki</a>."
"Advanced Reporting Service","Zaawansowane usługi raportowania"
"Time of day to send data","Pora dnia do wysyłania danych"
"Industry","Przemysł"
"In order to personalize your Advanced Reporting experience, please select your industry.","Aby spersonalizować środowisko zaawansowane raportowanie, proszę wybierz branżę."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>uzyskaj więcej statystyk z Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence stanowi prostą i jasną ścieżkę do tego, żeby podejmować decyzje na podstawie większej ilości danych.</br> Dowiedz się więcej o ofercie <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials i BI Pro."
"Auto Parts","Auto części"
"Baby/Children’s Apparel, Gear and Toys","Dziecko/dzieci Odzież, sprzęt i zabawki"
"Beauty and Cosmetics","Uroda i kosmetyki"
"Books, Music and Magazines","Książki, muzyka i czasopisma"
"Crafts and Stationery","Rzemiosła i artykuły papiernicze"
"Consumer Electronics","Elektronika użytkowa"
"Deal Site","Strona transakcji"
"Fashion Apparel and Accessories","Moda ubrania i akcesoria"
"Food, Beverage and Grocery","Żywność, napoje i produkty spożywcze"
"Home Goods and Furniture","Towary do domu i meble"
"Home Improvement","Majsterkowanie"
"Jewelry and Watches","Biżuteria i zegarki"
"Mass Merchant","Klient hurtowy"
"Office Supplies","Artykuły biurowe"
"Outdoor and Camping Gear","Sprzęt outdoorowy i kempingowy"
"Pet Goods","Produkty dla zwierząt"
"Pharma and Medical Devices","Farmacja i urządzenia medyczne"
"Technology B2B","Technologia B2B"
"Other","Inne"
"The time value is using an unsupported format. Enter a supported format and try again.","Wprowadzono czas w nieobsługiwanym formacie. Wprowadź w poprawnym formacie i spróbuj ponownie."
"Please select an industry.","Wybierz branżę."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","Data jest niewłaściwa. Wprowadź datę jako ciąg znaków lub dane które mogą być skonwertowane do ciągu znaków i spróbuj ponownie."
"The data is invalid. Enter the data as a string and try again.","Data jest niewłaściwa. Wprowadź datę jako ciąg znaków i spróbuj ponownie."
"The data is invalid. Use a valid cipher method and try again.","Data jest niewłaściwa. Użyj właściwej metody szyfrowania i spróbuj ponownie."
"Enter the encryption key and try again.","Wprowadź klucz szyfrowania i spróbuj ponownie."
"The ""%1"" source doesn't exist.","Plik ""%1"" nie istnieje."
"Retry Synchronization","Ponów próbę synchronizacji"
