"Subscription status","Pierakstīšanās statuss"
"Sorry, there has been an error processing your request. Please try again later.","Atvainojiet, radās kļūda, apstrādājot jūsu pieprasījumu. Lūdzu, vēlāk mēģiniet vēlreiz."
"Time value has an unsupported format","Time value has an unsupported format"
"Cron settings can't be saved","Cron iestatījumus nevar saglabāt"
"There was an error save new configuration value.","Radās kļūda, saglabāt jaunu konfigurācijas vērtību."
"Please select a vertical.","Please select a vertical."
"--Please Select--","--Lūdzu izvēlieties--"
"Command was not found.","Command was not found."
"Input data must be string or convertible into string.","Input data must be string or convertible into string."
"Input data must be non-empty string.","Input data must be non-empty string."
"Not valid cipher method.","Not valid cipher method."
"Encryption key can't be empty.","Encryption key can't be empty."
"Source ""%1"" is not exist","Source ""%1"" is not exist"
"These arguments can't be empty ""%1""","Šie argumenti nevar būt tukši ""%1"""
"Cannot find predefined integration user!","Nevar atrast definētu integrācijas lietotāju!"
"File is not ready yet.","Fails vēl nav gatavs."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Pamata URL ir mainīta, un atskaites tiek atjauninātas. Papildu Atskaites būs pieejamas tiklīdz šī izmaiņas būs apstrādātas. Lūdzu, vēlāk mēģiniet vēlreiz."
"Failed to synchronize data to the Magento Business Intelligence service. ","Neizdevās sinhronizēt datus ar Magento Business Intelligence pakalpojumu. "
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Retry Synchronization</a>"
"TestMessage","TestMessage"
"Apps and Games","Aplikācijas un spēles"
"Athletic/Sporting Goods","Sporta preces"
"Art and Design","Māksla un dizains"
"Advanced Reporting","Paplašinātas atskaites"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Iegūstiet jaunu informāciju un pārvaldiet biznesa izaugsmi lietojot dinamiskas produktu, pasūtījumu un klientu atskaites par jūsu klientu datiem."
"Go to Advanced Reporting","Iet uz Paplašinātajām atskaitēm"
"Analytics","Analītika"
"API","API"
"Configuration","Konfigurācija"
"Business Intelligence","Business Intelligence"
"BI Essentials","BI Essentials"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>."
"Advanced Reporting Service","Paplašinātu Atskaišu serviss"
"Time of day to send data","Laiks kurā sūtīt datus"
"Industry","Industrija"
"In order to personalize your Advanced Reporting experience, please select your industry.","Lai personalizētu Paplašinātās atskaites, izvēlaties atbilstošu industriju."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Vairāk informācijas no Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence ļauj vienkāršā un saprotamā veidā
                    strādāt ar datiem.</br> Uzziniet vairāk par <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials un BI Pro</a> līmeņiem."
"Auto Parts","Auto daļas"
"Baby/Children’s Apparel, Gear and Toys","Bērnu apģērbs, rotaļlietas"
"Beauty and Cosmetics","Skaistums un kosmētika"
"Books, Music and Magazines","Grāmatas, mūzika un žurnāli"
"Crafts and Stationery","Amatniecība un kancelejas preces"
"Consumer Electronics","Sadzīves elektronika"
"Deal Site","Darījumu vieta"
"Fashion Apparel and Accessories","Modes apģērbs un aksesuāri"
"Food, Beverage and Grocery","Pārtika, dzērieni un pārtikas preces"
"Home Goods and Furniture","Mājai un Mēbeles"
"Home Improvement","Mājas uzlabošana"
"Jewelry and Watches","Rotaslietas un pulksteņi"
"Mass Merchant","Vairumtirdzniecība"
"Office Supplies","Kancelejas preces"
"Outdoor and Camping Gear","Tūrismam"
"Pet Goods","Dzīvnieku preces"
"Pharma and Medical Devices","Medicīnas preces"
"Technology B2B","Tehnoloģijas B2B"
"Other","Cits"
"The time value is using an unsupported format. Enter a supported format and try again.","Laika vērtības formāts nav atbalstīts. Ievadiet formātu kurš tiek atbalstīts un mēģiniet vēlreiz."
"Please select an industry.","Izvēlieties industriju."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","Dati ir nederīgi. Ievadiet datus kā saiti vai datus kurus var pārvērst par saikni un mēģiniet vēlreiz."
"The data is invalid. Enter the data as a string and try again.","Dati ir nederīgi. Ievadiet datus kā saiti un mēģiniet vēlreiz."
"The data is invalid. Use a valid cipher method and try again.","Dati ir nederīgi. Izmantojiet derīgu šifrēšanas metodi un mēģiniet vēlreiz."
"Enter the encryption key and try again.","Ievadiet šifrēšanas atslēgu un mēģiniet vēlreiz."
"The ""%1"" source doesn't exist.","Avots ""%1"" neeksistē."
"Retry Synchronization","Vēlreiz mēģināt sinhronizēšanu"
