"Subscription status","Статут на абонамента"
"Sorry, there has been an error processing your request. Please try again later.","За съжаление, възникна грешка при обработката на заявката Ви. Моля, опитайте отново по-късно."
"Time value has an unsupported format","Time value has an unsupported format"
"Cron settings can't be saved","Cron настройките не могат да бъдат записани"
"There was an error save new configuration value.","Възникна грешка при записване нова конфигурационна стойност."
"Please select a vertical.","Please select a vertical."
"--Please Select--","--Моля, изберете--"
"Command was not found.","Command was not found."
"Input data must be string or convertible into string.","Input data must be string or convertible into string."
"Input data must be non-empty string.","Input data must be non-empty string."
"Not valid cipher method.","Not valid cipher method."
"Encryption key can't be empty.","Encryption key can't be empty."
"Source ""%1"" is not exist","Source ""%1"" is not exist"
"These arguments can't be empty ""%1""","Тези аргументи не могат да бъдат празни ""%1"""
"Cannot find predefined integration user!","Не може да намери предефиниран потребител за интеграция!"
"File is not ready yet.","Файлът все още не е готов."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Вашият основен URL адрес е променен и вашите отчети се актуализират. Разширеното отчитане ще бъде на разположение, след като тази промяна бъде обработена. Моля, опитайте отново по-късно."
"Failed to synchronize data to the Magento Business Intelligence service. ","Данните към услугата на Magento Business Intelligence не могат да се синхронизират. "
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Retry Synchronization</a>"
"TestMessage","Тестово съобщение"
"Apps and Games","Приложения и игри"
"Athletic/Sporting Goods","Атлетически/спортни стоки"
"Art and Design","Изкуство и дизайн"
"Advanced Reporting","Разширено отчитане"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Открийте нови идеи за управлението на ефективността на вашия бизнес, използвайки нашите динамични отчети за продукти, поръчки и клиентски отзиви свързани с информацията за клиентите Ви."
"Go to Advanced Reporting","Отиди на разширена отчетност"
"Analytics","Анализи"
"API","Приложен програмен интерфейс"
"Configuration","Конфигурация"
"Business Intelligence","Бизнес анализи"
"BI Essentials","BI Основи"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>."
"Advanced Reporting Service","Услуга за Подробен анализ"
"Time of day to send data","Час за изпращане на данни"
"Industry","Индустрия"
"In order to personalize your Advanced Reporting experience, please select your industry.","За да персонализирате вашия опит в Подробната отчетност, моля изберете вашата индустрия."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Получете повече инфомация от Magento бизнес анализи</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Бизнес анализи ви продеставя лесен и ясен път към 
                    управление на данните ви.</br> Научете повече за <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Основи и BI Pro</a> линиите."
"Auto Parts","Авто части"
"Baby/Children’s Apparel, Gear and Toys","Бебешки/детски дрехи, приспособления и играчки"
"Beauty and Cosmetics","Красота и козметика"
"Books, Music and Magazines","Книги, музика и списания"
"Crafts and Stationery","Занаяти и канцеларски материали"
"Consumer Electronics","Потребителска електроника"
"Deal Site","Сделка сайт"
"Fashion Apparel and Accessories","Модни облекла и аксесоари"
"Food, Beverage and Grocery","Храни, напитки и хранителни стоки"
"Home Goods and Furniture","Стоки за дома и мебели"
"Home Improvement","Домашни потреби"
"Jewelry and Watches","Бижута и часовници"
"Mass Merchant","Търговец на едро"
"Office Supplies","Офис консумативи"
"Outdoor and Camping Gear","Приспособления за къмпинг и на открито"
"Pet Goods","Стоки за Домашни любимци"
"Pharma and Medical Devices","Фармацевтични и медицински изделия"
"Technology B2B","Технология B2B"
"Other","Други"
"The time value is using an unsupported format. Enter a supported format and try again.","Стойността за времето е в неподдържан формат. Моля въведете поддържан формат и опитайте отново."
"Please select an industry.","Моля изберете отрасъл."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","Данните са невалидни. Въведете данните като текст или данни, които може да се преобразуват в текст и опитайте отново."
"The data is invalid. Enter the data as a string and try again.","Данните са невалидни. Въведете данните като текст и опитайте отново."
"The data is invalid. Use a valid cipher method and try again.","Данните са невалидни. Използвайте валиден криптираш метод и опитайте отново."
"Enter the encryption key and try again.","Въведете ключа за криптиране и опитайте отново."
"The ""%1"" source doesn't exist.","""%1"" източникът не съществува."
"Retry Synchronization","Повторете синхронизацията"
