"Subscription status","Abonnementsstatus"
"Sorry, there has been an error processing your request. Please try again later.","Desværre, der er sket en fejl under behandling af din anmodning. Prøv igen senere."
"Time value has an unsupported format","Time value has an unsupported format"
"Cron settings can't be saved","Cron indstillinger kan ikke gemmes"
"There was an error save new configuration value.","Der opstod en fejl da ny konfigurationsværdien skulle gemmes."
"Please select a vertical.","Please select a vertical."
"--Please Select--","--Vælg--"
"Command was not found.","Command was not found."
"Input data must be string or convertible into string.","Input data must be string or convertible into string."
"Input data must be non-empty string.","Input data must be non-empty string."
"Not valid cipher method.","Not valid cipher method."
"Encryption key can't be empty.","Encryption key can't be empty."
"Source ""%1"" is not exist","Source ""%1"" is not exist"
"These arguments can't be empty ""%1""","Disse argumenter må ikke være tomme ""%1"""
"Cannot find predefined integration user!","Kan ikke finde foruddefinerede integrationsbruger!"
"File is not ready yet.","Filen er ikke klar endnu."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Din Base URL-adresse er blevet ændret og dine rapporter opdateres. Avancerede rapporter vil være tilgængelige når denne ændring er blevet behandlet. Prøv igen senere."
"Failed to synchronize data to the Magento Business Intelligence service. ","Ikke kunne synkronisere data til tjenesten Magento Business Intelligence. "
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Retry Synchronization</a>"
"TestMessage","TestBesked"
"Apps and Games","Apps og spil"
"Athletic/Sporting Goods","Atletisk/sports varer"
"Art and Design","Kunst og design"
"Advanced Reporting","Avanceret rapport"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Få ny indsigt og overtage styringen over din virksomheds ydeevne, ved hjælp af vores dynamiske produkt-, ordre- og kunderapporter skræddersyet til dine kundedata."
"Go to Advanced Reporting","Gå til avanceret rapportering"
"Analytics","Analyser"
"API","API"
"Configuration","Konfiguration"
"Business Intelligence","Business Intelligence"
"BI Essentials","BI Essentials"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>."
"Advanced Reporting Service","Avanceret rapport service"
"Time of day to send data","Tidspunkt på dagen at sende data"
"Industry","Industri"
"In order to personalize your Advanced Reporting experience, please select your industry.","For at personliggøre din avancerede rapport, skal du vælge din branche."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>få mere indsigt fra Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers."
"Auto Parts","Autodele"
"Baby/Children’s Apparel, Gear and Toys","Baby/børns beklædning, udstyr og legetøj"
"Beauty and Cosmetics","Skønhed og kosmetik"
"Books, Music and Magazines","Bøger, musik og magasiner"
"Crafts and Stationery","Håndværk og brevpapir"
"Consumer Electronics","Forbrugerelektronik"
"Deal Site","Deal Site"
"Fashion Apparel and Accessories","Modetøj og tilbehør"
"Food, Beverage and Grocery","Fødevarer, drikkevarer og dagligvarer"
"Home Goods and Furniture","Ting til Hjemmet"
"Home Improvement","Gør det selv"
"Jewelry and Watches","Smykker og ure"
"Mass Merchant","Storkøb"
"Office Supplies","Kontorartikler"
"Outdoor and Camping Gear","Udendørs og Camping udstyr"
"Pet Goods","Kæledyrsartikler"
"Pharma and Medical Devices","Pharma og medicinsk udstyr"
"Technology B2B","Teknologi B2B"
"Other","Other"
"The time value is using an unsupported format. Enter a supported format and try again.","The time value is using an unsupported format. Enter a supported format and try again."
"Please select an industry.","Vælg venligst en branche."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","The data is invalid. Enter the data as a string or data that can be converted into a string and try again."
"The data is invalid. Enter the data as a string and try again.","The data is invalid. Enter the data as a string and try again."
"The data is invalid. Use a valid cipher method and try again.","The data is invalid. Use a valid cipher method and try again."
"Enter the encryption key and try again.","Enter the encryption key and try again."
"The ""%1"" source doesn't exist.","The ""%1"" source doesn't exist."
"Retry Synchronization","Prøv at synkronisere igen"
