"Subscription status","Starea abonamentului"
"Sorry, there has been an error processing your request. Please try again later.","Ne pare rău, a apărut o eroare la procesarea cererii tale. Te rugăm să încerci din nou mai târziu."
"Time value has an unsupported format","Time value has an unsupported format"
"Cron settings can't be saved","Setările Cron nu pot fi salvate"
"There was an error save new configuration value.","A apărut o eroare la salvarea noii valori de configurare."
"Please select a vertical.","Please select a vertical."
"--Please Select--","-- Selectați --"
"Command was not found.","Command was not found."
"Input data must be string or convertible into string.","Input data must be string or convertible into string."
"Input data must be non-empty string.","Input data must be non-empty string."
"Not valid cipher method.","Not valid cipher method."
"Encryption key can't be empty.","Encryption key can't be empty."
"Source ""%1"" is not exist","Source ""%1"" is not exist"
"These arguments can't be empty ""%1""","Aceste argumente nu pot fi goale ""%1"""
"Cannot find predefined integration user!","Nu se poate găsi utilizator predefinit de integrare!"
"File is not ready yet.","Fişierul nu este gata încă."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","URL-ul tău de bază a fost schimbat și rapoartele tale sunt actualizate. Raportarea avansată va fi disponibilă odată ce această schimbare a fost procesată. Vă rugăm să încercați din nou mai târziu."
"Failed to synchronize data to the Magento Business Intelligence service. ","Nu s-a reușit sincronizarea datelor cu serviciul Magento Business Intelligence. "
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Retry Synchronization</a>"
"TestMessage","Mesaj de test"
"Apps and Games","Aplicații și jocuri"
"Athletic/Sporting Goods","Bunuri atlantice/sportive"
"Art and Design","Artă și Design"
"Advanced Reporting","Raportare avansată"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Câștigă noi informații și preia comanda performanțelor afacerii tale, folosind rapoartele dinamice despre produs, comandă și client personalizate pentru datele clientului tău."
"Go to Advanced Reporting","Mergeți la Raportare Avansată"
"Analytics","Date analitice"
"API","API"
"Configuration","Configurație"
"Business Intelligence","Business Intelligence"
"BI Essentials","Esentiale BI"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>."
"Advanced Reporting Service","Serviciu de raportare avansat"
"Time of day to send data","Ora zilei pentru a trimite date"
"Industry","Industrie"
"In order to personalize your Advanced Reporting experience, please select your industry.","Pentru a personaliza experiența dvs. Avansată de Raportare, vă rugăm să vă selectați industria."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Obține mai multe informații de la Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence vă oferă o cale simplă și clară către
                    a deveni condus de date.</br> Aflați mai multe despre <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">nivelurile Magento BI Essentials și BI Pro</a>."
"Auto Parts","Piese auto"
"Baby/Children’s Apparel, Gear and Toys","Îmbrăcăminte de bebeluşi/copii şi jucării"
"Beauty and Cosmetics","Înfrumusețare și produse cosmetice"
"Books, Music and Magazines","Cărți, muzică și reviste"
"Crafts and Stationery","Meşteşuguri şi papetărie"
"Consumer Electronics","Electronica de consum"
"Deal Site","Site de oferte"
"Fashion Apparel and Accessories","Îmbrăcăminte și accesorii de modă"
"Food, Beverage and Grocery","Alimente, băuturi și produse alimentare"
"Home Goods and Furniture","Bunuri pentru casă și mobilă"
"Home Improvement","Îmbunătăţirea locuinţei"
"Jewelry and Watches","Bijuterii şi ceasuri"
"Mass Merchant","Comerciant în masă"
"Office Supplies","Produse pentru birou"
"Outdoor and Camping Gear","Echipament pentru exterior și pentru camping"
"Pet Goods","Bunuri pentru animale de companie"
"Pharma and Medical Devices","Dispozitive farmaceutice și medicale"
"Technology B2B","Tehnologie B2B"
"Other","Altele"
"The time value is using an unsupported format. Enter a supported format and try again.","Valoarea timpului este un format neacceptat. Introduceți un format acceptat și încercați din nou."
"Please select an industry.","Vă rugăm selectaţi o industrie."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","Datele nu sunt valide. Introduceți datele ca un text sau date care pot fi convertite într-un text și încercați din nou."
"The data is invalid. Enter the data as a string and try again.","Datele nu sunt valide. Introduceți datele ca text și încercați din nou."
"The data is invalid. Use a valid cipher method and try again.","Datele nu sunt valide. Utilizați o metodă validă de criptare și încercați din nou."
"Enter the encryption key and try again.","Introduceți cheia de criptare și încercați din nou."
"The ""%1"" source doesn't exist.","Sursa ""%1"" nu există."
"Retry Synchronization","Reîncercați sincronizarea"
