"Subscription status","Prenumerations status"
"Sorry, there has been an error processing your request. Please try again later.","Tyvärr, har det varit ett fel uppstod när din begäran bearbetades. Försök igen senare."
"Time value has an unsupported format","Time value has an unsupported format"
"Cron settings can't be saved","Cron inställningarna kan inte sparas"
"There was an error save new configuration value.","Det gick inte spara nya konfigurationsvärde."
"Please select a vertical.","Please select a vertical."
"--Please Select--","--Vänligen Välj--"
"Command was not found.","Command was not found."
"Input data must be string or convertible into string.","Input data must be string or convertible into string."
"Input data must be non-empty string.","Input data must be non-empty string."
"Not valid cipher method.","Not valid cipher method."
"Encryption key can't be empty.","Encryption key can't be empty."
"Source ""%1"" is not exist","Source ""%1"" is not exist"
"These arguments can't be empty ""%1""","De här argumenten kan inte lämnas tomma ""%1"""
"Cannot find predefined integration user!","Kan inte hitta fördefinierade integrering användaren!"
"File is not ready yet.","Filen är inte klar än."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Din bas-URL har ändrats och dina rapporter uppdateras. Avancerad rapportering blir tillgängliga när den här ändringen har behandlats. Försök igen senare."
"Failed to synchronize data to the Magento Business Intelligence service. ","Det gick inte att synkronisera data till tjänsten Magento Business Intelligence. "
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Retry Synchronization</a>"
"TestMessage","Testmeddelande"
"Apps and Games","Appar och Spel"
"Athletic/Sporting Goods","Idrotts-, och sportartiklar"
"Art and Design","Konst och Design"
"Advanced Reporting","Avancerad rapportering"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Få nya insikter och ta kommandot över ditt företags prestanda, med hjälp av vår dynamiska produkt; ordrar och kundrapporter anpassade till dina kunddata."
"Go to Advanced Reporting","Gå till avancerad rapportering"
"Analytics","Analytiker"
"API","API"
"Configuration","Konfiguration"
"Business Intelligence","Business Intelligence"
"BI Essentials","Bl Essentials"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>."
"Advanced Reporting Service","Service för avancerad rapportering"
"Time of day to send data","När ska data skickas"
"Industry","Industri"
"In order to personalize your Advanced Reporting experience, please select your industry.","För att personifiera din Advanced Reporting-upplevelse, vänligen välj din bransch."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Få mer insikt från Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers."
"Auto Parts","Automatiska delar"
"Baby/Children’s Apparel, Gear and Toys","Spädbarn/barnkläder, tillbehör och leksaker"
"Beauty and Cosmetics","Skönhet och kosmetika"
"Books, Music and Magazines","Böcker, musik och tidningar"
"Crafts and Stationery","Hantverk och brevpapper"
"Consumer Electronics","Hemelektronik"
"Deal Site","Realisations-sida"
"Fashion Apparel and Accessories","Modekläder och tillbehör"
"Food, Beverage and Grocery","Mat, dryck och specerier"
"Home Goods and Furniture","Hushåll och möbler"
"Home Improvement","Heminredning"
"Jewelry and Watches","Smycken och klockor"
"Mass Merchant","Multi-handlare"
"Office Supplies","Kontorsmaterial"
"Outdoor and Camping Gear","Utomhus och campingredskap"
"Pet Goods","Djurartiklar"
"Pharma and Medical Devices","Pharma och medicintekniska produkter"
"Technology B2B","Teknologi B2B"
"Other","Other"
"The time value is using an unsupported format. Enter a supported format and try again.","The time value is using an unsupported format. Enter a supported format and try again."
"Please select an industry.","Please select an industry."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","The data is invalid. Enter the data as a string or data that can be converted into a string and try again."
"The data is invalid. Enter the data as a string and try again.","The data is invalid. Enter the data as a string and try again."
"The data is invalid. Use a valid cipher method and try again.","The data is invalid. Use a valid cipher method and try again."
"Enter the encryption key and try again.","Enter the encryption key and try again."
"The ""%1"" source doesn't exist.","The ""%1"" source doesn't exist."
"Retry Synchronization","Retry Synchronization"
