"Subscription status","Abonnementstatus"
"Sorry, there has been an error processing your request. Please try again later.","Es tut uns leid, bei der Bearbeitung Ihrer Anfrage ist ein Fehler aufgetreten. Bitte versuchen Sie es später erneut."
"Time value has an unsupported format","Time value has an unsupported format"
"Cron settings can't be saved","Cron-Einstellungen konnten nicht gespeichert werden"
"There was an error save new configuration value.","Beim Speichern der Konfigurationswerte ist ein Fehler aufgetreten."
"Please select a vertical.","Please select a vertical."
"--Please Select--","-- Bitte wählen --"
"Command was not found.","Command was not found."
"Input data must be string or convertible into string.","Input data must be string or convertible into string."
"Input data must be non-empty string.","Input data must be non-empty string."
"Not valid cipher method.","Not valid cipher method."
"Encryption key can't be empty.","Encryption key can't be empty."
"Source ""%1"" is not exist","Source ""%1"" is not exist"
"These arguments can't be empty ""%1""","Diese Argumente dürfen nicht leer sein ""%1"""
"Cannot find predefined integration user!","Vordefinierter Integrationsbenutzer konnte nicht gefunden werden!"
"File is not ready yet.","Die Datei ist noch nicht bereit."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Ihre Basis-URL wurde geändert und Ihre Berichte werden aktualisiert. Das ""Advanced Reporting"" wird verfügbar sein, sobald diese Änderung verarbeitet wurde. Bitte versuchen Sie es später erneut."
"Failed to synchronize data to the Magento Business Intelligence service. ","Fehler beim Synchronisieren der Daten mit dem Magento Business Intelligence-Dienst. "
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Retry Synchronization</a>"
"TestMessage","Testnachricht"
"Apps and Games","Apps und Games"
"Athletic/Sporting Goods","Sportartikel"
"Art and Design","Kunst und Design"
"Advanced Reporting","Advanced Reporting"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Gewinnen Sie neue Einblicke und übernehmen Sie das Kommando über Ihre Geschäftsentwicklung, mit unseren dynamischen Berichten zu Produkten, Bestellungen und Kunden, zugeschnitten auf Ihre Daten."
"Go to Advanced Reporting","Zum ""Advanced Reporting"""
"Analytics","Statistiken"
"API","API"
"Configuration","Konfiguration"
"Business Intelligence","Business Intelligence"
"BI Essentials","BI Essentials"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>."
"Advanced Reporting Service","""Advanced Reporting"" Service"
"Time of day to send data","Uhrzeit, zu der Daten gesendet werden"
"Industry","Branche"
"In order to personalize your Advanced Reporting experience, please select your industry.","Um Ihr ""Advanced Reporting"" optimal einstellen zu können, wählen Sie bitte Ihre Branche."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Erfahren Sie mehr von der Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers."
"Auto Parts","Autoteile"
"Baby/Children’s Apparel, Gear and Toys","Baby-/Kinderbekleidung, Ausrüstung und Spielzeug"
"Beauty and Cosmetics","Beauty und Kosmetik"
"Books, Music and Magazines","Bücher, Musik und Magazine"
"Crafts and Stationery","Kunsthandwerk und Schreibwaren"
"Consumer Electronics","Unterhaltungselektronik"
"Deal Site","Deal-Website"
"Fashion Apparel and Accessories","Mode Bekleidung und Accessoires"
"Food, Beverage and Grocery","Lebensmittel, Getränke und Lebensmittelgeschäfte"
"Home Goods and Furniture","Hausrat und Möbel"
"Home Improvement","Heimwerkerbedarf"
"Jewelry and Watches","Schmuck und Uhren"
"Mass Merchant","Großhandel"
"Office Supplies","Bürobedarf"
"Outdoor and Camping Gear","Outdoor- und Camping-Ausrüstung"
"Pet Goods","Heimtierbedarf"
"Pharma and Medical Devices","Pharma- und Medizinprodukte"
"Technology B2B","Technologie B2B"
"Other","Andere"
"The time value is using an unsupported format. Enter a supported format and try again.","Der Zeitwert verwendet ein nicht unterstütztes Format. Geben Sie ein unterstütztes Format ein und versuchen Sie es erneut."
"Please select an industry.","Bitte wählen Sie eine Branche aus."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","Die Daten sind ungültig. Geben Sie die Daten als String ein oder als Daten, die in einen String umgewandelt werden können, und versuchen Sie es erneut."
"The data is invalid. Enter the data as a string and try again.","Die Daten sind ungültig. Geben Sie die Daten als String ein, und versuchen Sie es erneut."
"The data is invalid. Use a valid cipher method and try again.","Die Daten sind ungültig. Verwenden Sie eine gültige Chiffrierungsmethode und versuchen Sie es erneut."
"Enter the encryption key and try again.","Geben Sie den Kodierungsschlüssel ein und versuchen Sie es erneut."
"The ""%1"" source doesn't exist.","Die Quelle ""%1"" existiert nicht."
"Retry Synchronization","Synchronisierung erneut versuchen"
