"Subscription status","Obuna holati"
"Sorry, there has been an error processing your request. Please try again later.","Kechirasiz, so'rovingizni bajarishda xatolik yuz berdi. Keyinroq qayta urinib ko'ring."
"Time value has an unsupported format","Time value has an unsupported format"
"Cron settings can't be saved","Cron sozlamalarini saqlab bo'lmaydi"
"There was an error save new configuration value.","Yangi konfiguratsiya qiymatini saqlab bo'lmadi."
"Please select a vertical.","Please select a vertical."
"--Please Select--","--Iltimos tanlang--"
"Command was not found.","Command was not found."
"Input data must be string or convertible into string.","Input data must be string or convertible into string."
"Input data must be non-empty string.","Input data must be non-empty string."
"Not valid cipher method.","Not valid cipher method."
"Encryption key can't be empty.","Encryption key can't be empty."
"Source ""%1"" is not exist","Source ""%1"" is not exist"
"These arguments can't be empty ""%1""","Ushbu dalillar ""%1"" bo'sh bo'lishi mumkin emas"
"Cannot find predefined integration user!","Oldindan belgilangan integratsiya foydalanuvchi topa olmaydi!"
"File is not ready yet.","Fayl hali tayyor emas."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Sizning taglavhangiz o'zgartirildi va sizning hisobotingiz yangilandi. Ushbu o'zgarish qayta ishlanganidan so'ng Kengaytirilgan hisobotlar mavjud bo'ladi. Iltimos keyinroq qayta urinib ko'ring."
"Failed to synchronize data to the Magento Business Intelligence service. ","Ma'lumotni Magento Business Intelligence xizmati bilan sinxronlashtirish mumkin bo'lmadi. "
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Retry Synchronization</a>"
"TestMessage","Sinov xabari"
"Apps and Games","Ilovalar va o'yinlar"
"Athletic/Sporting Goods","Sport tovarlari"
"Art and Design","San'at va Dizayn"
"Advanced Reporting","Kengaytirilgan hisobot"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Mahsulotlar, buyurtmalar va mijozlar haqidagi dinamik hisobotlardan foydalanib, yangi g'oyalarni oling va ish samaradorligini tekshiring."
"Go to Advanced Reporting","Kengaytirilgan hisobotga o'ting"
"Analytics","Tahlillar"
"API","API"
"Configuration","Konfiguratsiya"
"Business Intelligence","Biznes tahlili"
"BI Essentials","BI asoslari"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>."
"Advanced Reporting Service","Kengaytirilgan Yozuvlar Xizmati"
"Time of day to send data","Ma'lumot yuborish vaqti"
"Industry","Sanoat"
"In order to personalize your Advanced Reporting experience, please select your industry.","Tajribangizni rivojlangan hisobot bilan shaxsiylashtirish uchun sizning sanoatni tanlang."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Magento Business Intelligence haqida ko'proq bilish</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers."
"Auto Parts","Avtomatik ehtiyot qismlar"
"Baby/Children’s Apparel, Gear and Toys","Bolalar kiyimlari, bolalar kiyimlari va o'yinchoqlar"
"Beauty and Cosmetics","Go'zallik va kosmetika"
"Books, Music and Magazines","Kitob, musiqa va jurnallar"
"Crafts and Stationery","Qo'l san'atlari va ish yuritish"
"Consumer Electronics","Tijorat Elektronika"
"Deal Site","Eng afzali"
"Fashion Apparel and Accessories","Moda liboslari va aksessuarlari"
"Food, Beverage and Grocery","Oziq-ovqat, ichimliklar va oziq-ovqat mahsulotlari"
"Home Goods and Furniture","Uy-ro'zg'or va Mebel"
"Home Improvement","Uyni takomillashtirish"
"Jewelry and Watches","Zargarlik va soatlar"
"Mass Merchant","Ommaviy savdogar"
"Office Supplies","Ofis jihozlari"
"Outdoor and Camping Gear","Xobbi, dam olish sport"
"Pet Goods","Uy hayvonlari"
"Pharma and Medical Devices","Dori va tibbiy asboblar"
"Technology B2B","Texnologiya B2B"
"Other","Other"
"The time value is using an unsupported format. Enter a supported format and try again.","The time value is using an unsupported format. Enter a supported format and try again."
"Please select an industry.","Please select an industry."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","The data is invalid. Enter the data as a string or data that can be converted into a string and try again."
"The data is invalid. Enter the data as a string and try again.","The data is invalid. Enter the data as a string and try again."
"The data is invalid. Use a valid cipher method and try again.","The data is invalid. Use a valid cipher method and try again."
"Enter the encryption key and try again.","Enter the encryption key and try again."
"The ""%1"" source doesn't exist.","The ""%1"" source doesn't exist."
"Retry Synchronization","Retry Synchronization"
