"Subscription status","දායකත්ව තත්ත්වය"
"Sorry, there has been an error processing your request. Please try again later.","සමාවන්න, ඔබගේ ඉල්ලීම සැකසීමේදී දෝෂයක් සිදුවී ඇත. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"The time value is using an unsupported format. Enter a supported format and try again.","කාල අගය සහාය නොදක්වන ආකෘතියක් භාවිතා කරයි. සහාය දක්වන ආකෘතියක් ඇතුළු කර නැවත උත්සාහ කරන්න."
"Cron settings can't be saved","Cron සැකසුම් සුරැකිය නොහැක"
"There was an error save new configuration value.","නව වින්‍යාස අගය සුරැකීමේ දෝෂයක් ඇති විය."
"Please select an industry.","කරුණාකර කර්මාන්තයක් තෝරන්න."
"--Please Select--","--කරුණාකර තෝරන්න--"
"Command ""%1"" was not found.","""%1"" විධානය හමු නොවීය."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","දත්ත වලංගු නැත. දත්ත තන්තුවක් ලෙස හෝ තන්තුවක් බවට පරිවර්තනය කළ හැකි දත්ත ඇතුළත් කර නැවත උත්සාහ කරන්න."
"The data is invalid. Enter the data as a string and try again.","දත්ත වලංගු නැත. තන්තුවක් ලෙස දත්ත ඇතුලත් කර නැවත උත්සාහ කරන්න."
"The data is invalid. Use a valid cipher method and try again.","දත්ත වලංගු නැත. වලංගු කේතාංක ක්‍රමයක් භාවිතා කර නැවත උත්සාහ කරන්න."
"Enter the encryption key and try again.","සංකේතාංකන යතුර ඇතුළත් කර නැවත උත්සාහ කරන්න."
"The ""%1"" source doesn't exist.","""%1"" මූලාශ්‍රය නොපවතී."
"These arguments can't be empty ""%1""","මෙම තර්ක හිස් විය නොහැක ""%1"""
"Cannot find predefined integration user!","පූර්ව නිශ්චිත ඒකාබද්ධ පරිශීලක සොයා ගත නොහැක!"
"File is not ready yet.","ගොනුව තවමත් සූදානම් නැත."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","ඔබගේ මූලික URL වෙනස් කර ඇති අතර ඔබගේ වාර්තා යාවත්කාලීන වෙමින් පවතී. මෙම වෙනස සැකසූ පසු උසස් වාර්තාකරණය ලබා ගත හැකි වනු ඇත. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"Failed to synchronize data to the Magento Business Intelligence service. ","Magento Business Intelligence සේවාව වෙත දත්ත සමමුහුර්ත කිරීමට අසමත් විය. "
"Retry Synchronization","සමමුහුර්තකරණය නැවත උත්සාහ කරන්න"
"TestMessage","පරීක්ෂණ පණිවිඩය"
"Apps and Games","යෙදුම් සහ ක්‍රීඩා"
"Athletic/Sporting Goods","මලල ක්‍රීඩා/ක්‍රීඩා භාණ්ඩ"
"Art and Design","කලාව සහ නිර්මාණ"
"Advanced Reporting","උසස් වාර්තාකරණය"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","අපගේ ගතික නිෂ්පාදන, ඇණවුම, සහ ඔබේ පාරිභෝගික දත්තවලට අනුව සකස් කරන ලද පාරිභෝගික වාර්තා භාවිතා කරමින් නව අවබෝධයක් ලබාගෙන ඔබේ ව්‍යාපාරයේ කාර්ය සාධනය පිළිබඳ විධානයක් ලබා ගන්න."
"Go to Advanced Reporting","උසස් වාර්තාකරණය වෙත යන්න"
"Analytics","විශ්ලේෂණ"
"API","API"
"Configuration","මානකරනය"
"Business Intelligence","ව්යාපාර බුද්ධිය"
"BI Essentials","BI Essentials"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a target=""_blank"" href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","මෙම සේවාව ඔබේ ව්‍යාපාරය පිළිබඳ පොහොසත් අවබෝධයක් සහිත ගතික වාර්තා කට්ටලයක් සපයයි.

                ""උසස් වාර්තාකරණය වෙත යන්න"" සබැඳිය ක්ලික් කිරීමෙන් පරිපාලක පැනලයෙන් පිටත පුද්ගලාරෝපිත උපකරණ පුවරුවකට ඔබගේ වාර්තා ආරක්ෂිතව ප්‍රවේශ විය හැක. </br> වැඩි විස්තර සඳහා, අපගේ <a target=""_blank"" href=""https://magento.com/legal/terms/cloud-terms"">
                නියමයන් සහ කොන්දේසි</a>බලන්න."
"Advanced Reporting Service","උසස් වාර්තාකරණ සේවාව"
"Time of day to send data","දත්ත යැවීමට දවසේ වේලාව"
"Industry Data","කර්මාන්ත දත්ත"
"Industry","කර්මාන්ත"
"In order to personalize your Advanced Reporting experience, please select your industry.","ඔබේ උසස් වාර්තාකරණ අත්දැකීම පුද්ගලීකරණය කිරීම සඳහා, කරුණාකර ඔබේ කර්මාන්තය තෝරන්න."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Magento Business Intelligence</strong>වෙතින් තවත් අවබෝධයක් ලබා ගන්න"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence මඟින් ඔබට
                    වැඩි දත්තයක් බවට පත් වීමට සරල සහ පැහැදිලි මාර්ගයක් සපයයි.</br> Magento BI Essentials සහ BI Pro</a> ස්ථර <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">ගැන තව දැන ගන්න."
"Auto Parts","වාහන අමතර කොටස්"
"Baby/Children’s Apparel, Gear and Toys","ළදරු/ළමා ඇඳුම්, ආම්පන්න සහ සෙල්ලම් බඩු"
"Beauty and Cosmetics","රූපලාවන්‍ය සහ ආලේපන"
"Books, Music and Magazines","පොත්, සංගීතය සහ සඟරා"
"Crafts and Stationery","අත්කම් සහ ලිපි ද්රව්ය"
"Consumer Electronics","පාරිභෝගික ඉලෙක්ට්රොනික උපකරණ"
"Deal Site","ගනුදෙනු අඩවිය"
"Fashion Apparel and Accessories","විලාසිතා ඇඟලුම් සහ උපාංග"
"Food, Beverage and Grocery","ආහාර, බීම සහ සිල්ලර බඩු"
"Home Goods and Furniture","ගෘහ භාණ්ඩ සහ ගෘහ භාණ්ඩ"
"Home Improvement","නිවාස වැඩිදියුණු කිරීම"
"Jewelry and Watches","ස්වර්ණාභරණ සහ ඔරලෝසු"
"Mass Merchant","මහා වෙළෙන්දා"
"Office Supplies","කාර්යාල සැපයුම්"
"Outdoor and Camping Gear","එළිමහන් සහ කඳවුරු ආම්පන්න"
"Pet Goods","සුරතල් භාණ්ඩ"
"Pharma and Medical Devices","ඖෂධ සහ වෛද්ය උපකරණ"
"Technology B2B","තාක්ෂණය B2B"
"Other","වෙනත්"
