"Subscription status","Stato dell'abbonamento"
"Sorry, there has been an error processing your request. Please try again later.","Siamo spiacenti, si è verificato un errore durante l'elaborazione della tua richiesta. Per favore riprova più tardi."
"Sorry, there was an error processing your registration request to Magento Analytics. Please try again later.","Sorry, there was an error processing your registration request to Magento Analytics. Please try again later."
"Error occurred during postponement notification","Error occurred during postponement notification"
"Time value has an unsupported format","Il valore temporale ha un formato non supportato"
"Cron settings can't be saved","Le impostazioni di Cron non possono essere salvate"
"There was an error save new configuration value.","Si è verificato un errore durante il salvataggio del nuovo valore di configurazione."
"Please select an industry.","Si prega di selezionare un settore."
"--Please Select--","--Seleziona--"
"Command %1"" was not found.""","Command %1"" was not found."""
"Input data must be string or convertible into string.","I dati di input devono essere stringa o convertibili in stringa."
"Input data must be non-empty string.","I dati di input devono essere una stringa non vuota."
"Not valid cipher method.","Metodo di cifratura non valido."
"Encryption key can't be empty.","La chiave di crittografia non può essere vuota."
"Source ""%1"" is not exist","L'origine ""% 1"" non esiste"
"These arguments can't be empty ""%1""","Questi argomenti non possono essere uguali a ""% 1"""
"Cannot find predefined integration user!","Impossibile trovare integrazione predefinite utente!"
"File is not ready yet.","Il file non è ancora pronto."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","L'URL di base è stato modificato e i tuoi rapporti sono in corso di aggiornamento. I rapporti avanzati saranno disponibili una volta che questa modifica è stata elaborata. Per favore riprova più tardi."
"Failed to synchronize data to the Magento Business Intelligence service. ","Impossibile sincronizzare i dati con il servizio Magento Business Intelligence."
"Retry Synchronization","Riprova a sincronizzare"
"TestMessage","Messaggio di Test"
"Error message","Error message"
"Apps and Games","Applicazioni e giochi"
"Athletic/Sporting Goods","Prodotti Sportivi"
"Art and Design","Arte e Design"
"Advanced Reporting","Rapporti Avanzati"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Ottieni nuovi informazioni e prende il comando di prestazioni del vostro business, utilizzando i nostri prodotti dinamici, ordini e rapporti dei clienti personalizzati in base ai dati dei tuoi clienti."
"View details","View details"
"Go to Advanced Reporting","Vai ai Rapporti Avanzati"
"An error occurred while subscription process.","An error occurred while subscription process."
"Analytics","Analytics"
"API","API"
"Configuration","Configurazione"
"Business Intelligence","Business Intelligence"
"BI Essentials","Essenziali Business intelligence"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our
                <a href=""https://magento.com/legal/terms/privacy"">terms and conditions</a>.
                ","This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our
                <a href=""https://magento.com/legal/terms/privacy"">terms and conditions</a>.
                "
"Advanced Reporting Service","Servizio Rapporti Avanzati"
"Industry","Settore"
"Time of day to send data","Ora del giorno per inviare i dati"
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Ottieni ulteriori informazioni da Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">BI Essentials</a> tier.","Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">BI Essentials</a> tier."
"Auto Parts","Ricambi auto"
"Baby/Children’s Apparel, Gear and Toys","Bambino/Bambini abbigliamento, Attrezzi e Giocattoli"
"Beauty and Cosmetics","Bellezza e Cosmetici"
"Books, Music and Magazines","Libri, Musica e Riviste"
"Crafts and Stationery","Artigianato e articoli di cancelleria"
"Consumer Electronics","Elettronica"
"Deal Site","Sito di Offerte"
"Fashion Apparel and Accessories","Abbigliamento alla Moda e Accessori"
"Food, Beverage and Grocery","Cibo, Bevande e Alimentari"
"Home Goods and Furniture","Mobili e prodotti per la casa"
"Home Improvement","Fai da Te"
"Jewelry and Watches","Gioielli e Orologi"
"Mass Merchant","Merchandise"
"Office Supplies","Articoli per ufficio"
"Outdoor and Camping Gear","Attrezzature da campeggio e accessori"
"Pet Goods","Prodotti per animali domestici"
"Pharma and Medical Devices","Farmaci e dispositivi medici"
"Technology B2B","Tecnologia B2B"
"Analytics Subscription","Analytics Subscription"
"powered by Magento Business Intelligence","powered by Magento Business Intelligence"
"Are you sure you want to opt out?","Are you sure you want to opt out?"
"Cancel","Cancel"
"Opt out","Opt out"
"<p>Advanced Reporting in included,
                    free of charge, in your Magento software. When you opt out, we collect no product, order, and
                    customer data to generate our dynamic reports.</p><p>To opt in later: You can always turn on Advanced
                    Reporting in you Admin Panel.</p>","<p>Advanced Reporting in included,
                    free of charge, in your Magento software. When you opt out, we collect no product, order, and
                    customer data to generate our dynamic reports.</p><p>To opt in later: You can always turn on Advanced
                    Reporting in you Admin Panel.</p>"
"In order to personalize your Advanced Reporting experience, please select your industry.","Al fine di personalizzare la tua esperienza Advanced Reporting, si prega di selezionare il tuo settore."
