"Subscription status","Estado de suscripción"
"Sorry, there has been an error processing your request. Please try again later.","Lo sentimos, ha habido un error al procesar su petición. Por favor Inténtalo más tarde."
"The time value is using an unsupported format. Enter a supported format and try again.","El valor de hora está utilizando un formato no soportado. Introduzca un formato compatible y vuelva a intentarlo."
"Cron settings can't be saved","La configuración de Cron no se puede guardar"
"There was an error save new configuration value.","Hubo un error al guardar el nuevo valor de configuración."
"Please select an industry.","Seleccione una industria."
"--Please Select--","--Por favor seleccione--"
"Command ""%1"" was not found.","Comando ""%1"" no encontrado."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","Los datos no son válidos. Introduzca los datos como una cadena o datos que se puedan convertir en una cadena y vuelva a intentarlo."
"The data is invalid. Enter the data as a string and try again.","Los datos no son válidos. Introduzca los datos como una cadena y vuelva a intentarlo."
"The data is invalid. Use a valid cipher method and try again.","The data is invalid. Use a valid cipher method and try again."
"Enter the encryption key and try again.","Enter the encryption key and try again."
"The ""%1"" source doesn't exist.","The ""%1"" source doesn't exist."
"These arguments can't be empty ""%1""","Estos argumentos no pueden quedar vacíos ""%1"""
"Cannot find predefined integration user!","¡No se puede encontrar el usuario de integración predefinido!"
"File is not ready yet.","El archivo todavía no esta preparado."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","La URL base ha cambiado y los informes están siendo actualizados. Los informes avanzados estarán disponibles cuando los cambios hayan sido procesados. Por favor inténtelo mas tarde."
"Failed to synchronize data to the Magento Business Intelligence service. ","Fallo al sincronizar los datos al servicio de Magento Business Intelligence. "
"Retry Synchronization","Reintentar sincronización"
"TestMessage","MensajeDePrueba"
"Apps and Games","Aplicaciones y juegos"
"Athletic/Sporting Goods","Artículos deportivos"
"Art and Design","Arte y diseño"
"Advanced Reporting","Informes avanzados"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Gane nuevas visitas y coge las riendas del rendimiento de tu negocio, usando nuestros informes dinámicos de productos, pedidos y clientes adaptados a los datos de sus clientes."
"Go to Advanced Reporting","Ir a Informes Avanzados"
"Analytics","Análisis"
"API","API"
"Configuration","Configuración"
"Business Intelligence","Inteligencia de Negocio"
"BI Essentials","Esenciales BI"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a target=""_blank"" href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a target=""_blank"" href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>."
"Advanced Reporting Service","Servicio de informes avanzados"
"Time of day to send data","Hora del día para enviar los datos"
"Industry Data","Industry Data"
"Industry","Tipo de negocio"
"In order to personalize your Advanced Reporting experience, please select your industry.","Para personalizar la experiencia en informes avanzados, por favor seleccione el tipo de negocio."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Obtén mas ideas con Magento Business Intelligence</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers."
"Auto Parts","Piezas de automóvil"
"Baby/Children’s Apparel, Gear and Toys","Ropa de bebés y niños, engranaje y juguetes"
"Beauty and Cosmetics","Belleza y cosmética"
"Books, Music and Magazines","Libros, música y revistas"
"Crafts and Stationery","Artesanías y artículos de papelería"
"Consumer Electronics","Consumibles electronicos"
"Deal Site","Sitio de ofertas"
"Fashion Apparel and Accessories","Accesorios y ropa de moda"
"Food, Beverage and Grocery","Alimentos, bebidas y comestibles"
"Home Goods and Furniture","Muebles y artículos para el hogar"
"Home Improvement","Mejoras para el hogar"
"Jewelry and Watches","Joyas y relojes"
"Mass Merchant","Comerciante al por mayor"
"Office Supplies","Material de oficina"
"Outdoor and Camping Gear","Engranaje al aire libre y Camping"
"Pet Goods","Productos para mascotas"
"Pharma and Medical Devices","Industria farmacéutica y dispositivos médicos"
"Technology B2B","Tecnología B2B"
"Other","Other"
