"Subscription status","Abonelik durumu"
"Sorry, there has been an error processing your request. Please try again later.","Üzgünüm, İsteğiniz işlenirken bir hata oluştu. Lütfen daha sonra yeniden deneyin."
"Sorry, there was an error processing your registration request to Magento Analytics. Please try again later.","Sorry, there was an error processing your registration request to Magento Analytics. Please try again later."
"Error occurred during postponement notification","Error occurred during postponement notification"
"Time value has an unsupported format","Saat değeri desteklenmeyen bir biçime sahiptir"
"Cron settings can't be saved","Cron ayarları kaydedilemiyor"
"There was an error save new configuration value.","Yeni ayarları kaydederken hata oluştu."
"Please select an industry.","Lütfen bir endüstri seçin."
"--Please Select--","--Lütfen Seçiniz--"
"Command %1"" was not found.""","Command %1"" was not found."""
"Input data must be string or convertible into string.","Giriş verileri dizi veya diziye dönüştürülebilir olmalıdır."
"Input data must be non-empty string.","Giriş verisii boş olmayan bir dizi olmalıdır."
"Not valid cipher method.","Geçerli olmayan şifreleme yöntemi."
"Encryption key can't be empty.","Şifreleme anahtarı boş olamaz."
"Source ""%1"" is not exist","Kaynak ''%1'' mevcut değil"
"These arguments can't be empty ""%1""","Bu parametreler boş olamaz ''%1''"
"Cannot find predefined integration user!","Önceden tanımlanmış Tümleştirme kullanıcısı bulamıyorum!"
"File is not ready yet.","Dosya henüz hazır değil."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Temel URL'niz değiştirildi ve raporlarınız güncelleniyor. Bu değişiklik işleme konulduktan sonra Gelişmiş Raporlama kullanılabilir olacaktır. Lütfen daha sonra tekrar deneyiniz."
"Failed to synchronize data to the Magento Business Intelligence service. ","Magento Business Intelligence servisine veri senkronizasyonu başarısız oldu. "
"Retry Synchronization","Senkronizasyon Tekrar Denemesi"
"TestMessage","Deneme Mesajı"
"Error message","Error message"
"Apps and Games","Uygulamalar ve Oyunlar"
"Athletic/Sporting Goods","Spor/spor malzemeleri"
"Art and Design","Sanat ve tasarım"
"Advanced Reporting","Gelişmiş Raporlama"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Müşteri verilerinize uyarlanmış dinamik ürünümüzü, siparişimizi ve müşteri raporlarımızı kullanarak yeni bilgiler edinin ve iş performansınızın idaresini ele alın."
"View details","View details"
"Go to Advanced Reporting","Gelişmiş Raporlamaya Git"
"An error occurred while subscription process.","An error occurred while subscription process."
"Analytics","İstatistikler"
"API","API"
"Configuration","Yapılandırma"
"Business Intelligence","İş Zekası"
"BI Essentials","BI Ana Hatları"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our
                <a href=""https://magento.com/legal/terms/privacy"">terms and conditions</a>.
                ","This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our
                <a href=""https://magento.com/legal/terms/privacy"">terms and conditions</a>.
                "
"Advanced Reporting Service","Gelişmiş Raporlama Hizmeti"
"Industry","Endüstri"
"Time of day to send data","Veri göndermek için günün saati"
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>Magento İş Zekası'ndan daha fazla bilgi edinin </strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">BI Essentials</a> tier.","Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">BI Essentials</a> tier."
"Auto Parts","Otomatik Parçalar"
"Baby/Children’s Apparel, Gear and Toys","Bebek/Çocuk Giyim, Çark ve Oyuncaklar"
"Beauty and Cosmetics","Güzellik ve Kozmetik"
"Books, Music and Magazines","Kitaplar, Müzik ve Dergiler"
"Crafts and Stationery","El Sanatları ve Kırtasiye"
"Consumer Electronics","Ticari Elektronik"
"Deal Site","Anlaşma Sitesi"
"Fashion Apparel and Accessories","Moda Giyimi ve Aksesuarları"
"Food, Beverage and Grocery","Yiyecek, İçecek ve Bakkal"
"Home Goods and Furniture","Ev Eşyaları ve Mobilya"
"Home Improvement","Ev İyileştirmesi"
"Jewelry and Watches","Mücevher ve Saatler"
"Mass Merchant","Kitle Satıcısı"
"Office Supplies","Ofis Malzemeleri"
"Outdoor and Camping Gear","Açık alan ve Kamp Çarkı"
"Pet Goods","Evcil Hayvan Eşyaları"
"Pharma and Medical Devices","İlaç ve Tıbbi Cihazlar"
"Technology B2B","Teknoloji B2B"
"Analytics Subscription","Analytics Subscription"
"powered by Magento Business Intelligence","powered by Magento Business Intelligence"
"Are you sure you want to opt out?","Are you sure you want to opt out?"
"Cancel","Cancel"
"Opt out","Opt out"
"<p>Advanced Reporting in included,
                    free of charge, in your Magento software. When you opt out, we collect no product, order, and
                    customer data to generate our dynamic reports.</p><p>To opt in later: You can always turn on Advanced
                    Reporting in you Admin Panel.</p>","<p>Advanced Reporting in included,
                    free of charge, in your Magento software. When you opt out, we collect no product, order, and
                    customer data to generate our dynamic reports.</p><p>To opt in later: You can always turn on Advanced
                    Reporting in you Admin Panel.</p>"
"In order to personalize your Advanced Reporting experience, please select your industry.","Gelişmiş Raporlama deneyiminizi kişiselleştirmek için lütfen sektörünüzü seçin."
