"Change Encryption Key","Thay đổi mã khóa"
"Encryption Key","Khoá mật mã"
"New Encryption Key","Khoá mật mã mới"
"The encryption key is used to protect passwords and other sensitive data.","Khoá mật mã được sử dụng để bảo vệ mật khẩu và dữ liệu nhạy cảm khác."
"Auto-generate a Key","Tự động tạo ra một chìa khóa"
"No","Không"
"Yes","Có"
"The generated key will be displayed after changing.","Chìa khóa được tạo ra sẽ được hiển thị sau khi thay đổi."
"New Key","Khoá mới"
"Deployment configuration file is not writable.","Triển khai cấu hình tập tin không phải là có thể ghi được."
"Please enter an encryption key.","Vui lòng nhập một mã khóa mã hóa."
"The encryption key has been changed.","Mã khóa đã được thay đổi."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","Đây là chìa khóa mã hóa mới của bạn: %1. Hãy chắc chắn bạn đã ghi nó lại và chăm sóc nó!"
"Manage Encryption Key","Quản lý các khoá mật mã"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
