"Change Encryption Key","Şifreleme anahtarını değiştir"
"Encryption Key","Şifreleme Anahtar Kelimesi"
"New Encryption Key","Yeni Şifreleme Anahtarı"
"The encryption key is used to protect passwords and other sensitive data.","Şifreleme anahtarı, şifreleri ve diğer hassas verileri korumak için kullanılır."
"Auto-generate a Key","Otomatik Anahtar oluşturma"
"No","Hayır"
"Yes","Evet"
"The generated key will be displayed after changing.","Oluşturulan anahtar değiştirildikten sonra görüntülenir."
"New Key","Yeni Anahtar"
"Deployment configuration file is not writable.","Dağıtım yapılandırma dosyası yazılabilir değil."
"Please enter an encryption key.","Lütfen bir şifreleme anahtarını girin."
"The encryption key has been changed.","Şifreleme anahtarı değiştirildi."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","Bu yeni şifreleme anahtarınız:% 1. Yazdığınızdan emin olun ve ona iyi bakın!"
"Manage Encryption Key","Şifreleme Anahtarını Yönet"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
