"Change Encryption Key","Ubah Kunci Enkripsi"
"Encryption Key","Kunci enkripsi"
"New Encryption Key","Kunci Enkripsi Baru"
"The encryption key is used to protect passwords and other sensitive data.","Kunci enkripsi digunakan untuk melindungi kata sandi dan data sensitif lainnya."
"Auto-generate a Key","Auto-menghasilkan kunci"
"No","Tidak"
"Yes","Ya"
"The generated key will be displayed after changing.","Tombol yang dihasilkan akan ditampilkan setelah berubah."
"New Key","Kunci baru"
"Deployment configuration file is not writable.","File konfigurasi penerapan tidak dapat ditulis."
"Please enter an encryption key.","Masukkan kunci enkripsi."
"The encryption key has been changed.","Kunci enkripsi telah diubah."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","Ini adalah kunci enkripsi baru Anda: %1. Pastikan untuk menuliskannya dan merawatnya dengan baik!"
"Manage Encryption Key","Kelola Kunci Enkripsi"
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
