"Account Activity","Aktivity účtu"
"All other open sessions for this account were terminated.","Další otevřené relace tohoto účtu byly ukončeny."
"We couldn't logout because of an error.","Odhlášení nelze provést z důvodu chyby."
"Someone logged into this account from another device or browser. Your current session is terminated.","Někdo se přihlásil k tomuto účtu z jiného zařízení nebo prohlížeče. Vaše relace byla ukončena."
"Your current session is terminated by another user of this account.","Vaše aktuální relace byla ukončena jiným uživatelem tohoto účtu."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"Your current session has been expired.","Vaše aktuální relace vypršela."
"By IP and Email","Podle IP a e-mailu"
"By IP","Podle IP"
"By Email","Podle e-mailu"
"None","Nic"
"Too many password reset requests. Please wait and try again or contact %1.","Too many password reset requests. Please wait and try again or contact %1."
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Nesplatná třída kontroly zabezpečení. Je třeba implementovat SecurityCheckerInterface"
"some error","nějaká chyba"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","Tento účet správce je otevřen na více místech. Všimněte si, že ostatní místa mohou být jiné prohlížeče nebo relace na stejném počítači."
"Concurrent session information:","Informace o souběžných relacích:"
"IP Address","IP adresa"
"Time of session start","Čas zahájení relace"
"Are you sure that you want to log out all other sessions?","Skutečně chcete všechny ostatní relace odhlásit?"
"Log out all other sessions","Odhlásit ostatní relace"
"This computer is using IP address %1.","Tento počítač používá IP adresu %1."
"Admin Account Sharing","Sdílení účtu správce"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","Pokud ano, můžete se přihlásit z více počítačů ke stejnému účtu. Pokud ne, zvýšíte tím bezpečnost."
"Password Reset Protection Type","Password Reset Protection Type"
"Max Number of Password Reset Requests","Max Number of Password Reset Requests"
"Limit the number of password reset request per hour. Use 0 to disable.","Limit počtu požadavků na obnovu hesla za hodinu. Omezení vypnete zadáním 0."
"Min Time Between Password Reset Requests","Min Time Between Password Reset Requests"
"Delay in minutes between password reset requests. Use 0 to disable.","Čas v minutách mezi požadavky na obnovu hesla. Omezení vypnete zadáním 0."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"We received too many requests for password resets. Please wait and try again later or contact %1.","We received too many requests for password resets. Please wait and try again later or contact %1."
