"Account Activity","Hoạt động tài khoản"
"All other open sessions for this account were terminated.","Tất cả các buổi mở khác cho tài khoản này đã chấm dứt."
"We couldn't logout because of an error.","Chúng tôi không thể đăng xuất do một lỗi."
"Someone logged into this account from another device or browser. Your current session is terminated.","Ai đó đăng nhập vào tài khoản này từ thiết bị hoặc trình duyệt khác. Phiên hiện tại của bạn kết thúc."
"Your current session is terminated by another user of this account.","Phiên hiện tại của bạn chấm dứt bởi người dùng khác của tài khoản này."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"Your current session has been expired.","Phiên hiện tại của bạn đã bị hết hạn."
"By IP and Email","Bởi IP và Email"
"By IP","Bởi IP"
"By Email","Bằng Email"
"None","Không cái nào"
"Too many password reset requests. Please wait and try again or contact %1.","Too many password reset requests. Please wait and try again or contact %1."
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Lớp kiểm tra an ninh không chính xác. Nó có để thực hiện giao diện kiểm tra an ninh"
"some error","có lỗi xảy ra"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","Tài khoản người quản trị này được mở trong nhiều hơn một vị trí. Lưu ý rằng các địa điểm khác có thể thực hiện trên cùng một máy tính hoặc trình duyệt khác nhau."
"Concurrent session information:","Phiên đồng thời truyền hình thông tin:"
"IP Address","Địa chỉ IP"
"Time of session start","Thời gian bắt đầu phiên làm việc"
"Are you sure that you want to log out all other sessions?","Bạn có chắc chắn muốn đăng xuất tất cả các phiên làm việc khác không?"
"Log out all other sessions","Đăng xuất trong tất cả các buổi khác"
"This computer is using IP address %1.","Máy tính này là sử dụng địa chỉ IP %1."
"Admin Account Sharing","Chia sẻ Tài khoản quản trị"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","Nếu thiết lập để có, bạn có thể đăng nhập từ nhiều máy tính vào cùng một tài khoản. Mặc định thiết lập không cải thiện an ninh."
"Password Reset Protection Type","Loại hình bảo vệ đặt lại mật khẩu"
"Max Number of Password Reset Requests","Tối đa số lượng yêu cầu đặt lại mật khẩu"
"Limit the number of password reset request per hour. Use 0 to disable.","Giới hạn số lượng yêu cầu đặt lại mật khẩu mỗi giờ. Sử dụng 0 để vô hiệu hóa."
"Min Time Between Password Reset Requests","Phút thời gian giữa yêu cầu đặt lại mật khẩu"
"Delay in minutes between password reset requests. Use 0 to disable.","Trfi hoãn vài phút giữa các yêu cầu đặt lại mật khẩu. Sử dụng 0 để vô hiệu hóa."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"We received too many requests for password resets. Please wait and try again later or contact %1.","We received too many requests for password resets. Please wait and try again later or contact %1."
