"Account Activity","Налог Ацтивитy"
"All other open sessions for this account were terminated.","Све отхер опен сессионс фор тхис аццоунт wере терминатед."
"We couldn't logout because of an error.","We couldn't logout because of an error."
"Someone logged into this account from another device or browser. Your current session is terminated.","Someone logged into this account from another device or browser. Your current session is terminated."
"Your current session is terminated by another user of this account.","Your current session is terminated by another user of this account."
"Your account is temporarily disabled.","Ваш налог је привремено онемогућен."
"Your current session has been expired.","Ваша тренутна сесија је истекла."
"By IP and Email","Бy ИП анд Е-пошта"
"By IP","By IP"
"By Email","Бy Е-пошта"
"None","Ништа"
"Too many password reset requests. Please wait and try again or contact %1.","Тоо манy пассwорд ресет реqуестс. Сачекајте анд покушајте поново ор цонтацт %1."
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Нетачан Сецуритy Цхецкер цласс. Ит хас то имплемент СецуритyЦхецкерИнтерфаце"
"some error","нека грешка"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","Тхис администратор аццоунт ис опен ин море тхан оне лоцатион. Напомена тхат отхер лоцатионс мигхт бе дифферент броwсерс ор сессионс он тхе саме цомпутер."
"Concurrent session information:","Concurrent session information:"
"IP Address","ИП адреса"
"Time of session start","Време оф сессион старт"
"Are you sure that you want to log out all other sessions?","Да ли сте сигурни тхат желите да лог оут алл отхер сессионс?"
"Log out all other sessions","Ођави све друге сесије"
"This computer is using IP address %1.","This computer is using IP address %1."
"Admin Account Sharing","Админ Налог Схаринг"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","Иф сет то Да, yоу цан лог ин фром мултипле цомпутерс инто саме аццоунт. Подразумевано сеттинг Не импровес сецуритy."
"Password Reset Protection Type","Тип заштите ресетовања лозинке"
"Max Number of Password Reset Requests","Макс. број захтева за ресет лозинке"
"Limit the number of password reset request per hour. Use 0 to disable.","Limit the number of password reset request per hour. Use 0 to disable."
"Min Time Between Password Reset Requests","Мин Време Бетwеен Лозинка Ресетуј Реqуестс"
"Delay in minutes between password reset requests. Use 0 to disable.","Delay in minutes between password reset requests. Use 0 to disable."
"Your account is temporarily disabled. Please try again later.","Yоур аццоунт ис темпорарилy дисаблед. Покушајте поново латер."
"We received too many requests for password resets. Please wait and try again later or contact %1.","Wе рецеивед тоо манy реqуестс фор пассwорд ресетс. Сачекајте анд покушајте поново латер ор цонтацт %1."
