"Account Activity","فعالیت حساب"
"All other open sessions for this account were terminated.","تمام جلسات دیگر باز برای این حساب پایان داده شد."
"We couldn't logout because of an error.","ما نمی توانستیم به دلیل خطا از سیستم خارج شویم."
"Someone logged into this account from another device or browser. Your current session is terminated.","یک نفر از دستگاه یا مرورگر دیگر به این حساب وارد شده است. جلسه فعلی شما خاتمه یافته است."
"Your current session is terminated by another user of this account.","جلسه فعلی شما توسط کاربر دیگری از این حساب متوقف می شود."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"Your current session has been expired.","جلسه فعلی شما منقضی شده است."
"By IP and Email","توسط آی پی و ایمیل"
"By IP","توسط آی پی"
"By Email","توسط ایمیل"
"None","هیچ یک"
"Too many password reset requests. Please wait and try again or contact %1.","Too many password reset requests. Please wait and try again or contact %1."
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","کلاس Checker Security غیرقانونی است این باید رابط امنیتی را اجرا کند"
"some error","چند خطا"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","این حساب مدیر در بیش از یک مکان باز است. توجه داشته باشید که مکان های دیگر ممکن است مرورگرهای مختلف یا جلسات در یک کامپیوتر باشند."
"Concurrent session information:","اطلاعات جلسه همزمان:"
"IP Address","آدرس IP"
"Time of session start","زمان شروع جلسه"
"Are you sure that you want to log out all other sessions?","آیا مطمئن هستید که میخواهید تمام جلسات دیگر را خارج کنید?"
"Log out all other sessions","خروج از تمام جلسات دیگر"
"This computer is using IP address %1.","این رایانه از آی پی آدرس %1 استفاده می کند."
"Admin Account Sharing","اشتراک گذاری حساب مدیریت"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","اگر بله را انتخاب کنید، می توانید از چندین رایانه به یک حساب کاربری وارد شوید. تنظیم پیش فرض بدون امنیت را بهبود می بخشد."
"Password Reset Protection Type","نوع پشتیبانی تنظیم مجدد رمز عبور"
"Max Number of Password Reset Requests","حداکثر تعداد درخواست های بازنشانی رمز عبور"
"Limit the number of password reset request per hour. Use 0 to disable.","محدود کردن تعداد درخواست بازنشانی رمز عبور در هر ساعت. از 0 برای غیرفعال کردن استفاده کنید."
"Min Time Between Password Reset Requests","حداقل زمان بین درخواست های بازنشانی رمز عبور"
"Delay in minutes between password reset requests. Use 0 to disable.","درخواستهای بازنشانی رمز عبور را در عرض چند دقیقه ببندید. از 0 برای غیرفعال کردن استفاده کنید."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"We received too many requests for password resets. Please wait and try again later or contact %1.","We received too many requests for password resets. Please wait and try again later or contact %1."
