"Account Activity","ගිණුම් ක්‍රියාකාරකම්"
"All other open sessions for this account were terminated.","මෙම ගිණුම සඳහා අනෙකුත් සියලුම විවෘත සැසි අවසන් කරන ලදී."
"We couldn't logout because of an error.","දෝෂයක් නිසා අපට පිටවීමට නොහැකි විය."
"Someone logged into this account from another device or browser. Your current session is terminated.","යමෙකු වෙනත් උපාංගයකින් හෝ බ්‍රවුසරයකින් මෙම ගිණුමට ඇතුළු වී ඇත. ඔබගේ වත්මන් සැසිය අවසන් වේ."
"Your current session is terminated by another user of this account.","ඔබගේ වත්මන් සැසිය මෙම ගිණුමේ වෙනත් පරිශීලකයෙකු විසින් අවසන් කර ඇත."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"Your current session has been expired.","ඔබගේ වත්මන් සැසිය කල් ඉකුත් වී ඇත."
"By IP and Email","IP සහ විද්‍යුත් තැපෑලෙන්"
"By IP","IP මගින්"
"By Email","විද්‍යුත් තැපෑලෙන්"
"None","කිසිවක් නැත"
"Too many password reset requests. Please wait and try again or contact %1.","Too many password reset requests. Please wait and try again or contact %1."
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","වැරදි ආරක්ෂක පරීක්ෂක පන්තිය. එය SecurityCheckerInterface ක්‍රියාත්මක කළ යුතුය"
"some error","යම් දෝෂයක්"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","මෙම පරිපාලක ගිණුම එක් ස්ථානයකට වඩා විවෘතව ඇත. වෙනත් ස්ථාන එකම පරිගණකයේ විවිධ බ්‍රව්සර් හෝ සැසි විය හැකි බව සලකන්න."
"Concurrent session information:","සමගාමී සැසි තොරතුරු:"
"IP Address","IP ලිපිනය"
"Time of session start","සැසියේ ආරම්භයේ වේලාව"
"Are you sure that you want to log out all other sessions?","ඔබට අනෙක් සියලුම සැසිවලින් ඉවත් වීමට අවශ්‍ය බව විශ්වාසද?"
"Log out all other sessions","අනෙකුත් සියලුම සැසි වලින් ඉවත් වන්න"
"This computer is using IP address %1.","මෙම පරිගණකය IP ලිපිනය %1භාවිතා කරයි."
"Admin Account Sharing","පරිපාලක ගිණුම් බෙදාගැනීම"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","ඔව් ලෙස සකසා ඇත්නම්, ඔබට පරිගණක කිහිපයකින් එකම ගිණුමකට ලොග් විය හැක. පෙරනිමි සැකසුම් No ආරක්ෂාව වැඩි දියුණු කරයි."
"Password Reset Protection Type","මුරපද යළි පිහිටුවීමේ ආරක්ෂණ වර්ගය"
"Max Number of Password Reset Requests","මුරපද යළි පිහිටුවීමේ ඉල්ලීම් උපරිම ගණන"
"Limit the number of password reset request per hour. Use 0 to disable.","පැයකට මුරපද යළි පිහිටුවීමේ ඉල්ලීම් ගණන සීමා කරන්න. අක්රිය කිරීමට 0 භාවිතා කරන්න."
"Min Time Between Password Reset Requests","මුරපද යළි පිහිටුවීමේ ඉල්ලීම් අතර අවම කාලය"
"Delay in minutes between password reset requests. Use 0 to disable.","මුරපද යළි පිහිටුවීමේ ඉල්ලීම් අතර මිනිත්තු කිහිපයකින් ප්‍රමාදය. අක්රිය කිරීමට 0 භාවිතා කරන්න."
"Your account is temporarily disabled. Please try again later.","ඔබගේ ගිණුම තාවකාලිකව අබල කර ඇත. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"We received too many requests for password resets. Please wait and try again later or contact %1.","මුරපද යළි පිහිටුවීම සඳහා අපට බොහෝ ඉල්ලීම් ලැබී ඇත. කරුණාකර රැඳී සිට පසුව නැවත උත්සාහ කරන්න නැතහොත් %1අමතන්න."
