"Account Activity","Actividad de la cuenta"
"All other open sessions for this account were terminated.","Otras de las sesiones abiertas de esta cuenta fueron terminadas."
"We couldn't logout because of an error.","No podíamos cerrar la sesión debido a un error."
"Someone logged into this account from another device or browser. Your current session is terminated.","Alguien está en esta cuenta desde otro dispositivo o navegador. Se termina la sesión actual."
"Your current session is terminated by another user of this account.","La sesión actual finaliza con otro usuario de esta cuenta."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"Your current session has been expired.","Expiró la sesión actual."
"By IP and Email","Por IP y correo electrónico"
"By IP","Por IP"
"By Email","Por correo electrónico"
"None","Ninguno"
"Too many password reset requests. Please wait and try again or contact %1.","Too many password reset requests. Please wait and try again or contact %1."
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Clase de Comprobador de seguridad incorrecta. Tiene que implementar SecurityCheckerInterface"
"some error","algún error"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","Esta cuenta de administrador está abierta en más de una ubicación. Tenga en cuenta que podrían ser diferentes navegadores o sesiones en el mismo equipo."
"Concurrent session information:","Información de sesión concurrente:"
"IP Address","Dirección IP"
"Time of session start","Tiempo de inicio de sesión"
"Are you sure that you want to log out all other sessions?","¿Está seguro que desea desconectarse de todas las otras sesiones?"
"Log out all other sessions","Desconectarse de otras sesiones"
"This computer is using IP address %1.","Este equipo utiliza IP dirección %1."
"Admin Account Sharing","Compartir cuentas de administrador"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","Si establece en sí, puede acceder desde varios ordenadores en la misma cuenta. Omisión No mejora la seguridad."
"Password Reset Protection Type","Tipo de protección de restablecimiento de contraseña"
"Max Number of Password Reset Requests","Número máximo de solicitudes de restablecer contraseña"
"Limit the number of password reset request per hour. Use 0 to disable.","Limitar el número de solicitud de restablecimiento de contraseña por hora. Utilice 0 para desactivar."
"Min Time Between Password Reset Requests","Límite de tiempo entre las solicitudes de restablecimiento de contraseña"
"Delay in minutes between password reset requests. Use 0 to disable.","Retardo en minutos entre contraseña restablece las solicitudes. Utilice 0 para desactivar."
"Your account is temporarily disabled. Please try again later.","Su cuenta está temporalmente deshabilitada. Por favor, inténtelo de nuevo más tarde."
"We received too many requests for password resets. Please wait and try again later or contact %1.","Hemos recibido demasiadas solicitudes para restablecer la contraseña. Espere y vuelva a intentarlo más tarde o póngase en contacto con %1."
