"Conditions Combination","කොන්දේසි සංයෝජනය"
"Product Attribute","නිෂ්පාදන ගුණාංගය"
"SKU","SKU"
"Please choose a condition to add.","කරුණාකර එකතු කිරීමට කොන්දේසියක් තෝරන්න."
"Add to Cart","ගැලට එක් කරන්න"
"In stock","ගබඩාවේ ඇත"
"Out of stock","තොග අවසන්"
"Add to Wish List","පැතුම් ලැයිස්තුවට එක් කරන්න"
"Add to Compare","සංසන්දනය කිරීමට එකතු කරන්න"
"Catalog Products List","නාමාවලි නිෂ්පාදන ලැයිස්තුව"
"List of Products","නිෂ්පාදන ලැයිස්තුව"
"Title","ශීර්ෂය"
"Display Page Control","සංදර්ශක පිටු පාලනය"
"Number of Products per Page","පිටුවකට නිෂ්පාදන ගණන"
"Number of Products to Display","ප්‍රදර්ශනය කළ යුතු නිෂ්පාදන ගණන"
"Template","සැකිල්ල"
"Products Grid Template","නිෂ්පාදන ජාල සැකිල්ල"
"Cache Lifetime (Seconds)","හැඹිලි ආයු කාලය (තත්පර)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Conditions","කොන්දේසි"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","විජට් යාවත්කාලීන අතර තත්පර 
                    කාලය.
                    <br/>සකසා නොමැති නම්, තත්පර 86400 (පැය 24) ට සමාන වේ. විජට් ක්ෂණිකව යාවත්කාලීන කිරීමට, හැඹිලි කළමනාකරණය වෙත ගොස් බ්ලොක් HTML ප්‍රතිදාන හැඹිලි ඉවත් කරන්න.
                    <br/>Widget හැඹිලිය නැවුම් කරන තෙක් නිශ්චිත කොන්දේසි වලට ගැලපෙන නිෂ්පාදන නොපෙන්වයි.
                "
