"Invalid store requested.","Tienda solicitada inválida."
"Current store is not active.","Tienda actual no está activa."
"Requested store is inactive","La tienda solicitada esta inactiva"
"Requested store is not found","Tienda solicitada no se encuentra"
"Environment emulation nesting is not allowed.","No se permite el anidamiento de emulación del entorno."
"%1","%1"
"Website was not found","No se encontró el sitio web"
"Group was not found","Grupo no fue encontrado"
"Store was not found","Tienda no fue encontrada"
"Class for type ""%1"" was not declared","La clase para el tipo ""%1"" no fue declarada"
"%1 should implement %2","%1 debe implementar %2"
"The following stores are not associated with a root category: ' . . '. For the store to be displayed in the storefront, it must be associated with a root category.","Las siguientes tiendas no están asociadas a una categoría raíz: '. . '. Para que la tienda se muestre en el escaparate, debe asociarse con una categoría raíz."
"Invalid scope object","Objeto de alcance no inválido"
"Group with the same code","Grupo con el mismo código"
"Store with the same code","Tienda con el mismo código"
"Website with the same code","Ya existe un sitio web con el mismo código"
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","El código del sitio web sólo debe contener letras (a-z), números (0-9) o guiones bajos (_), el primer carácter debe ser una letra."
"Name is required","Se requiere nombre"
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","El código de la tienda sólo puede contener letras (a-z), números (0-9) o guiones bajos (_). El primer carácter debe ser una letra."
"Store is inactive","La tienda está inactiva"
"Invalid store parameter.","Parámetro de tienda inválido."
"Default store is inactive","La tienda predeterminada esta inactiva"
"All Store Views","Todas las vistas de la tienda"
"-- Please Select --","--Seleccione--"
"Admin","Administrar"
"Default website is not defined","El sitio web predeterminado no está definido"
"More than one default website is defined","Más de un sitio web predeterminado está definido"
"no such entity exception","no hay tal excepción de entidad"
"Your Language:","Su idioma:"
"Your Language","Su idioma"
"Language","Lenguaje"
"Select Store","Seleccionar tienda"
"Configuration","Configuración"
"Various XML configurations that were collected across modules and merged","Varias configuraciones de XML que se recolectaron a través de módulos y se combinaron"
"Layouts","Diseños"
"Layout building instructions","Instrucciones para creación de layout"
"Blocks HTML output","Salida de bloques HTML"
"Page blocks HTML","HTML de Bloques de página"
"Collections Data","Datos de la Colección"
"Collection data files","Archivos de colección de datos"
"Reflection Data","Datos de reflexión"
"API interfaces reflection data","Datos de API de reflejo de interfase"
"Database DDL operations","Operaciones DDL de la base de datos"
"Results of DDL queries, such as describing tables or indexes","Resultados de las consultas DDL, como descripción de las tablas o índices"
"Only default scope allowed","Sólo alcance predeterminado permitido"
"Various XML configurations that were collected across modules and merged.","Varias configuraciones de XML que se recolectaron a través de módulos y se combinaron."
"Layout building instructions.","Instrucciones para creación de layout."
"Page blocks HTML.","HTML de Bloques de página."
"Collection data files.","Archivos de colección de datos."
"API interfaces reflection data.","Datos de API de reflejo de interfase."
"Results of DDL queries, such as describing tables or indexes.","Resultados de las consultas DDL, como descripción de las tablas o índices."
"The store cannot be switched.","La tienda no puede cambiarse."
"The store that was requested wasn't found. Verify the store and try again.","La tienda solicitada no fue encontrada. Verifica la tienda y vuelve a intentarlo."
"The website wasn't found. Verify the website and try again.","El sitio web no fue encontrado. Verifique el sitio web y vuelva a intentarlo."
"The group wasn't found. Verify the group and try again.","El grupo no fue encontrado. Verifica el grupo y vuelve a intentarlo."
"The store wasn't found. Verify the store and try again.","La tienda no fue encontrada. Verifica la tienda y vuelve a intentarlo."
"The class for ""%1"" type wasn't declared. Enter the class and try again.","La clase para el tipo ""%1"" no fue declarada. Introduzca la clase y vuelve a intentarlo."
"The scope object is invalid. Verify the scope object and try again.","El objeto de alcance no es válido. Verifique el objeto de alcance e intente de nuevo."
"The default website isn't defined. Set the website and try again.","El sitio web predeterminado no está definido. Configurar el sitio web y vuelva a intentarlo."
"The default website is invalid. Make sure no more than one default is defined and try again.","El sitio web predeterminado no es válido. Asegúrese de que no se haya definido más de un valor predeterminado y vuelva a intentarlo."
"Compiled Config","Configuración compilada"
"Compilation configuration","Configuración de compilación"
